Date,Time,Type,Location,Gm #,White,White Score,Dark,Dark Score,GMID
02-May-2026,8:00 AM,H bracket,BBMAC 1,17,H1 - Santa Barbara,5,H2 - Stanford,4,SDC-14u-girls-division-1-17
02-May-2026,8:00 AM,G bracket,BBMAC 2,34,G1 - Lamorinda A,5,G2 - Greenwich,2,SDC-14u-girls-division-1-34
02-May-2026,8:00 PM,Tournament game,BBMAC 1,33,Santa Barbara,13,Santa Cruz,7,SDC-14u-girls-division-1-33
02-May-2026,8:00 PM,Tournament game,BBMAC 2,50,Lamorinda A,4,Shores Black,5,SDC-14u-girls-division-1-50
02-May-2026,8:45 AM,A bracket,BBMAC 1,18,A1 - Newport Blue,14,A2 - Laguna Beach,2,SDC-14u-girls-division-1-18
02-May-2026,8:45 AM,B bracket,BBMAC 2,35,B1 - Patriots A,24,B3 - CC United,5,SDC-14u-girls-division-1-35
02-May-2026,9:30 AM,H bracket,BBMAC 1,19,H4 - PAC Premier,9,H3 - La Jolla United,5,SDC-14u-girls-division-1-19
02-May-2026,9:30 AM,D bracket,BBMAC 2,36,D1 - San Clemente Red,13,D2 - South Coast Red,6,SDC-14u-girls-division-1-36
03-May-2026,10:15 AM,19th,BBMAC 1,54,SJ Express,3,Davis,12,SDC-14u-girls-division-1-54
03-May-2026,10:15 AM,Y bracket,BBMAC 2,62,Y1 - Los Al Garnet,3,Y3 - Rose Bowl Red,2,SDC-14u-girls-division-1-62
03-May-2026,11:00 AM,5th,BBMAC 1,55,Santa Barbara,7,Shores Black,6,SDC-14u-girls-division-1-55
03-May-2026,11:00 AM,21st,BBMAC 2,63,South Coast Red,7,CC United,2,SDC-14u-girls-division-1-63
03-May-2026,11:45 AM,7th,BBMAC 1,56,Santa Cruz,5,Lamorinda A,6,SDC-14u-girls-division-1-56
03-May-2026,11:45 AM,23rd,BBMAC 2,64,PAC Premier,9,Socal Black,3,SDC-14u-girls-division-1-64
03-May-2026,12:30 PM,13th,BBMAC 1,57,SD Dons,8,Greenwich,4,SDC-14u-girls-division-1-57
03-May-2026,12:30 PM,9th,BBMAC 2,65,Stanford,2,CDM,1,SDC-14u-girls-division-1-65
03-May-2026,1:15 PM,15th,BBMAC 1,58,Shore Aquatics,6,Commerce,8,SDC-14u-girls-division-1-58
03-May-2026,1:15 PM,11th,BBMAC 2,66,CHAWP,8,Shores Gold,6,SDC-14u-girls-division-1-66
03-May-2026,2:10 PM,1st,SOUTHWESTERN COLLEGE 1,69,Newport Blue,11,Patriots A,4,SDC-14u-girls-division-1-69
03-May-2026,2:25 PM,3rd,SOUTHWESTERN COLLEGE 2,70,San Clemente Red,6,908 Yellow,8,SDC-14u-girls-division-1-70
03-May-2026,8:00 AM,Tournament game,BBMAC 1,51,SD Dons,7,Shore Aquatics,4,SDC-14u-girls-division-1-51
03-May-2026,8:00 AM,Tournament game,BBMAC 2,59,Stanford,6,CHAWP,4,SDC-14u-girls-division-1-59
03-May-2026,8:45 AM,Tournament game,BBMAC 1,52,Greenwich,6,Commerce,5,SDC-14u-girls-division-1-52
03-May-2026,8:45 AM,Tournament game,BBMAC 2,60,Shores Gold,3,CDM,5,SDC-14u-girls-division-1-60
03-May-2026,9:30 AM,17th,BBMAC 1,53,Laguna Beach,7,Del Mar,6,SDC-14u-girls-division-1-53
03-May-2026,9:30 AM,Y bracket,BBMAC 2,61,Y2 - Foothill Red,4,Y4 - La Jolla United,6,SDC-14u-girls-division-1-61
03-May-2026,9:30 AM,Semifinal,SOUTHWESTERN COLLEGE 1,67,Newport Blue,11,San Clemente Red,2,SDC-14u-girls-division-1-67
03-May-2026,9:30 AM,Semifinal,SOUTHWESTERN COLLEGE 2,68,Patriots A,7,908 Yellow,6,SDC-14u-girls-division-1-68
