"18U BOYS D2 HOT! RESULTS BRACKETS A A1-SANTA CRUZ A2-THUNDER A3-ORWP SEEDING A","24 TEAMS GOOGLE SCHEDULES LIVE STREAMS B B1-CT PREMIER B2-MISSION B3-CENTRAL COAST B","60 GAMES SUBMIT SCORES LOGIN C C1-FOOTHILL CLUB A C2-CLOVIS RED C3-BIG VALLEY C","24+24+12 TICKETS D D1-ALAMEDA D2-SET D3-ROSE BOWL D","7 minute quarters OFFICIAL MERCHANDISE E E1-OLYMPUS E2-FARALLON E3-TSM E","CUSTOM SUITS F F1-SJ FOUNDATION F2-RAIN CITY F3-VANGUARD A F","G G1-PEGASUS G2-CARLSBAD G3-COMMERCE G","H H1-SUPREME H2-CVU H3-LONGHORN ORANGE H","","","","","","","","","","","","","","","","","",""
"27-Jun","5:00 PM","WOOLLETT LEFT","18BD243","W#J2/J7-CARLSBAD","8","W#J3/J6-VANGUARD A","11","2v3 semi","18U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","6:00 PM","WOOLLETT LEFT","18BD245","L#M4/M5-ROSE BOWL","11","L#M1/M8-CVU","17","21v24 semi","18U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","7:00 PM","WOOLLETT LEFT","18BD247","W#M1/M8-THUNDER","11","W#M4/M5-FARALLON","6","17v20 semi","18U_BOYS_D2","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"27-Jun","8:00 AM","MARINA HS","18BD226","K5(2ndE)-TSM","17","K4(2ndD)-ALAMEDA","14","12v13 QF","18U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","9:00 AM","MARINA HS","18BD228","K8(2ndH)-SUPREME","7","K1(2ndA)-ORWP","3","9v16 QF","18U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","10:00 AM","MARINA HS","18BD230","K6(2ndF)-SJ FOUNDATION","15","K3(2ndC)-BIG VALLEY","10","11v14 QF","18U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","11:00 AM","MARINA HS","18BD232","K7(2ndG)-COMMERCE","15","K2(2ndB)-CT PREMIER","13","10v15 QF","18U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","12:00 PM","MARINA HS","18BD234","M3(3rdC)-CLOVIS RED","12.4","M6(3rdF)-RAIN CITY","12.3","19v22 QF","18U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","1:00 PM","MARINA HS","18BD236","M2(3rdB)-CENTRAL COAST","7","M7(3rdG)-PEGASUS","6","18v23 QF","18U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","2:00 PM","MARINA HS","18BD238","L#K5/K4-ALAMEDA","8","L#K8/K1-ORWP","11","13v16 semi","18U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","3:00 PM","MARINA HS","18BD240","W#K8/K1-SUPREME","11","W#K5/K4-TSM","9","9v12 semi","18U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","4:00 PM","MARINA HS","18BD242","L#K6/K3-BIG VALLEY","12","L#K7/K2-CT PREMIER","20","14v15 semi","18U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","5:00 PM","MARINA HS","18BD244","W#K7/K2-COMMERCE","11","W#K6/K3-SJ FOUNDATION","12","10v11 semi","18U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","6:00 PM","WESTMINSTER HS","18BD246","L#M3/M6-RAIN CITY","13","L#M2/M7-PEGASUS","10","22v23 semi","18U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","6:00 PM","MARINA HS","18BD248","W#M2/M7-CENTRAL COAST","6","W#M3/M6-CLOVIS RED","10","18v19 semi","18U_BOYS_D2","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"28-Jun","8:00 AM","WESTMINSTER HS","18BD249","L#44-COMMERCE","11","L#40-TSM","14","11th","18U_BOYS_D2","","","","","","","","","","","","","","","",""
"28-Jun","9:00 AM","WESTMINSTER HS","18BD251","W#40-SUPREME","9.4","W#44-SJ FOUNDATION","9.3","9th","18U_BOYS_D2","","","","","","","","","","","","","","","",""
"28-Jun","10:00 AM","WESTMINSTER HS","18BD253","L#41-MISSION","6","L#37-SET","7","7th","18U_BOYS_D2","","","","","","","","","","","","","","","",""
"28-Jun","11:00 AM","WESTMINSTER HS","18BD255","W#37-LONGHORN ORANGE","8","W#41-FOOTHILL CLUB A","11","5th","18U_BOYS_D2","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"28-Jun","12:00 PM","CORONA DEL MAR HS","18BD257","L#43-CARLSBAD","6","L#39-SANTA CRUZ","5","3rd","18U_BOYS_D2","","","","","","","","","","","","","","","",""
"28-Jun","1:00 PM","CORONA DEL MAR HS","18BD259","W#39-OLYMPUS","14","W#43-VANGUARD A","12","1st","18U_BOYS_D2","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"28-Jun","8:00 AM","MARINA HS","18BD250","L#46-PEGASUS","7","L#45-ROSE BOWL","12","23rd","18U_BOYS_D2","","","","","","","","","","","","","","","",""
"28-Jun","9:00 AM","MARINA HS","18BD252","W#45-CVU","8.5","W#46-RAIN CITY","8.4","21st","18U_BOYS_D2","","","","","","","","","","","","","","","",""
"28-Jun","10:00 AM","MARINA HS","18BD254","L#48-CENTRAL COAST","12","L#47-FARALLON","6","19th","18U_BOYS_D2","","","","","","","","","","","","","","","",""
"28-Jun","11:00 AM","MARINA HS","18BD256","W#47-THUNDER","8.3","W#48-CLOVIS RED","8.5","17th","18U_BOYS_D2","","","","","","","","","","","","","","","",""
"28-Jun","12:00 PM","MARINA HS","18BD258","L#42-BIG VALLEY","16","L#38-ALAMEDA","18","15th","18U_BOYS_D2","","","","","","","","","","","","","","","",""
"28-Jun","1:00 PM","MARINA HS","18BD260","W#38-ORWP","7","W#42-CT PREMIER","12","13th","18U_BOYS_D2","","","","","","","","","","","","","","","",""
"","","","","","","OLYMPUS","","","","","","","","","","","","","","","","","","",""
"","","","","","","VANGUARD A","","","","","","","","","","","","","","","","","","",""
"","","","","","","CARLSBAD","","","","","","","","","","","","","","","","","","",""
"","","","","","","SANTA CRUZ","","","","","","","","","","","","","","","","","","",""
"","","","","","","FOOTHILL CLUB A","","","","","","","","","","","","","","","","","","",""
"","","","","","","LONGHORN ORANGE","","","","","","","","","","","","","","","","","","",""
"","","","","","","SET","","","","","","","","","","","","","","","","","","",""
"","","","","","","MISSION","","","","","","","","","","","","","","","","","","",""
"","","","","","","SUPREME","","","","","","","","","","","","","","","","","","",""
"","","","","","","SJ FOUNDATION","","","","","","","","","","","","","","","","","","",""
"","","","","","","TSM","","","","","","","","","","","","","","","","","","",""
"","","","","","","COMMERCE","","","","","","","","","","","","","","","","","","",""
"","","","","","","CT PREMIER","","","","","","","","","","","","","","","","","","",""
"","","","","","","ORWP","","","","","","","","","","","","","","","","","","",""
"","","","","","","ALAMEDA","","","","","","","","","","","","","","","","","","",""
"","","","","","","BIG VALLEY","","","","","","","","","","","","","","","","","","",""
"","","","","","","CLOVIS RED","","","","","","","","","","","","","","","","","","",""
"","","","","","","THUNDER","","","","","","","","","","","","","","","","","","",""
"","","","","","","CENTRAL COAST","","","","","","","","","","","","","","","","","","",""
"","","","","","","FARALLON","","","","","","","","","","","","","","","","","","",""
"","","","","","","CVU","","","","","","","","","","","","","","","","","","",""
"","","","","","","RAIN CITY","","","","","","","","","","","","","","","","","","",""
"","","","","","","ROSE BOWL","","","","","","","","","","","","","","","","","","",""
"","","","","","","PEGASUS","","","","","","","","","","","","","","","","","","",""
