"16U BOYS D1 HOT! RESULTS BRACKETS A A1-BERKELEY A2-PATRIOT A A3-680 A SEEDING A","24 TEAMS GOOGLE SCHEDULES LIVE STREAMS B B1-MISSION B2-LAMORINDA B3-NEWPORT BEACH A B","64 GAMES SUBMIT SCORES LOGIN C C1-STANFORD A C2-LA PREMIER C3-AMERICAN RIVER A C","24+22+18 TICKETS D D1-LA JOLLA UNITED D2-CCU A D3-SAN DIEGO SHORES A D","7 minute quarters OFFICIAL MERCHANDISE E E1-CLOVIS E2-IMPERIAL E3-SANTA BARBARA E","CUSTOM SUITS F F1-VANGUARD A F2-SD DONS F3-CARLSBAD F","G G1-SJ FOUNDATION G2-THUNDER G3-TROJAN CARDINAL G","H H1-CIU H2-GREENWICH H3-SAND CANYON A H","","","","","","","","","","","","","","","","","",""
"27-Jun","4:00 PM","WOOLLETT NEAR RIGHT","16BD142","J1(L#Cross1)-CIU","6","J4(L#Cross4)-IMPERIAL","13","13-16 semi 16v13","16U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","5:00 PM","WOOLLETT NEAR RIGHT","16BD144","J2(L#Cross2)-TROJAN CARDINAL","10","J3(L#Cross3)-SD DONS","9","13-16 semi 15v14","16U_BOYS_D1","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"28-Jun","9:00 AM","WOOLLETT LEFT","16BD147","W#Qtr2-LA PREMIER","13","W#Qtr1-LAMORINDA","10","Semi1 1v4","16U_BOYS_D1","","","","","","","","","","","","","","","",""
"28-Jun","9:00 AM","WOOLLETT NEAR RIGHT","16BD150","W#Qtr4-MISSION","12","W#Qtr3-STANFORD A","9","Semi2 2v3","16U_BOYS_D1","","","","","","","","","","","","","","","",""
"28-Jun","12:00 PM","WOOLLETT NEAR RIGHT","16BD157","L#Semi1-LAMORINDA","5","L#Semi2-STANFORD A","12","3rd","16U_BOYS_D1","","","","","","","","","","","","","","","",""
"28-Jun","12:20 PM","WOOLLETT LEFT","16BD160","W#Semi1-LA PREMIER","14","W#Semi2-MISSION","13","1st","16U_BOYS_D1","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"28-Jun","8:00 AM","YORBA LINDA HS","16BD151","W#J1/J4-IMPERIAL","11.4","W#J2/J3-TROJAN CARDINAL","11.5","13th","16U_BOYS_D1","","","","","","","","","","","","","","","",""
"28-Jun","9:00 AM","YORBA LINDA HS","16BD153","L#J1/J4-CIU","16","L#J2/J3-SD DONS","2","15th","16U_BOYS_D1","","","","","","","","","","","","","","","",""
