"14U BOYS D3 HOT! RESULTS BRACKETS A A1-VEGAS RENEGADES A2-CVU A3-NORCAL B A","18 TEAMS GOOGLE SCHEDULES LIVE STREAMS B B1-680 B B2-SKIP B3-NORTH IRVINE B B","45 GAMES SUBMIT SCORES LOGIN C C1-VANGUARD B C2-SJ FOUNDATION C3-STANFORD C C","18+18+9 TICKETS D D1-LAWPC D2-DIABLO ALLIANCE B D3-680 C D","7 minute quarters OFFICIAL MERCHANDISE E E1-ALAMEDA E2-TITANS E3-SUPREME E","CUSTOM SUITS F F1-LAMORINDA B F2-SOUTH COAST WHITE F3-AMERICAN RIVER B F","","","","","","","","","","","","","","","","","","","",""
"26-Jun","3:00 PM","ESPERANZA HS","14BD317","C1-VANGUARD B","9.0","C2-SJ FOUNDATION","9.3","C bracket C1,C2","14U_BOYS_D3","","","","","","","","","","","","","","","",""
"26-Jun","4:00 PM","ESPERANZA HS","14BD318","F1-LAMORINDA B","13","F2-SOUTH COAST WHITE","7","F bracket F1,F2","14U_BOYS_D3","","","","","","","","","","","","","","","",""
"","","J","K","L","","","","","","","","","","","","","","","","","","","","",""
"","","J1(2ndA)-CVU","K1(2ndB)-680 B","L1(3rdA)-NORCAL B","","","","","","","","","","","","","","","","","","","","",""
"","","J2(2ndD)-DIABLO ALLIANCE B","K2(2ndC)-VANGUARD B","L2(3rdD)-680 C","","","","","","","","","","","","","","","","","","","","",""
"","","J3(2ndE)-TITANS","K3(2ndF)-SOUTH COAST WHITE","L3(3rdE)-SUPREME","","","","","","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"27-Jun","8:00 AM","FULLERTON HS","14BD319","G1(1stA)-VEGAS RENEGADES","16","G3(1stE)-ALAMEDA","10","G bracket G1,G3","14U_BOYS_D3","","","","","","","","","","","","","","","",""
"27-Jun","9:00 AM","FULLERTON HS","14BD321","H1(1stB)-SKIP","12","H3(1stF)-LAMORINDA B","10","H bracket H1,H3","14U_BOYS_D3","","","","","","","","","","","","","","","",""
"27-Jun","10:00 AM","FULLERTON HS","14BD323","L1(3rdA)-NORCAL B","5","L3(3rdE)-SUPREME","0","L bracket L1,L3","14U_BOYS_D3","","","","","","","","","","","","","","","",""
"27-Jun","11:00 AM","FULLERTON HS","14BD325","G2(1stD)-LAWPC","13","G3(1stE)-ALAMEDA","7","G bracket G2,G3","14U_BOYS_D3","","","","","","","","","","","","","","","",""
"27-Jun","12:00 PM","FULLERTON HS","14BD327","H2(1stC)-SJ FOUNDATION","9","H3(1stF)-LAMORINDA B","8","H bracket H2,H3","14U_BOYS_D3","","","","","","","","","","","","","","","",""
"27-Jun","1:00 PM","FULLERTON HS","14BD329","L2(3rdD)-680 C","10","L3(3rdE)-SUPREME","11","L bracket L2,L3","14U_BOYS_D3","","","","","","","","","","","","","","","",""
"27-Jun","2:00 PM","FULLERTON HS","14BD331","G1(1stA)-VEGAS RENEGADES","7","G2(1stD)-LAWPC","9","G bracket G1,G2","14U_BOYS_D3","","","","","","","","","","","","","","","",""
"27-Jun","3:00 PM","FULLERTON HS","14BD333","H1(1stB)-SKIP","10","H2(1stC)-SJ FOUNDATION","4","H bracket H1,H2","14U_BOYS_D3","","","","","","","","","","","","","","","",""
"27-Jun","4:00 PM","FULLERTON HS","14BD335","L1(3rdA)-NORCAL B","14","L2(3rdD)-680 C","7","L bracket L1,L2","14U_BOYS_D3","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"27-Jun","8:00 AM","ESPERANZA HS","14BD320","J1(2ndA)-CVU","6","J3(2ndE)-TITANS","10","J bracket J1,J3","14U_BOYS_D3","","","","GD all 0","","","","","","","","","","","",""
"27-Jun","9:00 AM","ESPERANZA HS","14BD322","K1(2ndB)-680 B","10","K3(2ndF)-SOUTH COAST WHITE","6","K bracket K1,K3","14U_BOYS_D3","4","","1","J1","","","15,11","","6","15","21","3rd H2H","","","",""
"27-Jun","10:00 AM","ESPERANZA HS","14BD324","M1(3rdB)-NORTH IRVINE B","6","M3(3rdF)-AMERICAN RIVER B","8","M bracket M1,M3","14U_BOYS_D3","","4","","J2","","13,9","11,,15","","13","11","24","1st","","","",""
"27-Jun","11:00 AM","ESPERANZA HS","14BD326","J2(2ndD)-DIABLO ALLIANCE B","13","J3(2ndE)-TITANS","9","J bracket J2,J3","14U_BOYS_D3","1","1","4","J3","","9,13","","","10","9","19","2nd H2H","","","",""
"27-Jun","12:00 PM","ESPERANZA HS","14BD328","K2(2ndC)-VANGUARD B","5","K3(2ndF)-SOUTH COAST WHITE","7","K bracket K2,K3","14U_BOYS_D3","","","","","","","","","","","","","","","",""
"27-Jun","1:00 PM","ESPERANZA HS","14BD330","M2(3rdC)-STANFORD C","8","M3(3rdF)-AMERICAN RIVER B","4","M bracket M2,M3","14U_BOYS_D3","2","","4","K1","6","","","","","","","","","","",""
"27-Jun","2:00 PM","ESPERANZA HS","14BD332","J1(2ndA)-CVU","15","J2(2ndD)-DIABLO ALLIANCE B","11","J bracket J1,J2","14U_BOYS_D3","3","1","","K2","4","","","","","","","","","","",""
"27-Jun","3:00 PM","ESPERANZA HS","14BD334","K1(2ndB)-680 B","8.4","K2(2ndC)-VANGUARD B","8.5","K bracket K1,K2","14U_BOYS_D3","","4","1","K3","5","","","","","","","","","","",""
"27-Jun","4:00 PM","ESPERANZA HS","14BD336","M1(3rdB)-NORTH IRVINE B","11","M2(3rdC)-STANFORD C","12","M bracket M1,M2","14U_BOYS_D3","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"28-Jun","8:00 AM","ESPERANZA HS","14BD340","1stJ-DIABLO ALLIANCE B","4","1stK-680 B","20","7th","14U_BOYS_D3","","","","","","","","","","","","","","","",""
"28-Jun","9:00 AM","ESPERANZA HS","14BD339","3rdG-ALAMEDA","13","3rdH-LAMORINDA B","11","5th","14U_BOYS_D3","","","","","","","","","","","","","","","",""
"28-Jun","10:00 AM","ESPERANZA HS","14BD341","2ndJ-TITANS","6","2ndK-SOUTH COAST WHITE","17","9th","14U_BOYS_D3","","","","","","","","","","","","","","","",""
"28-Jun","11:00 AM","ESPERANZA HS","14BD342","3rdJ-CVU","11","3rdK-VANGUARD B","14","11th","14U_BOYS_D3","","","","","","","","","","","","","","","",""
"28-Jun","12:00 PM","ESPERANZA HS","14BD343","1stL-NORCAL B","10","1stM-STANFORD C","4","13th","14U_BOYS_D3","","","","","","","","","","","","","","","",""
"28-Jun","1:00 PM","ESPERANZA HS","14BD344","2ndL-SUPREME","7","2ndM-AMERICAN RIVER B","4","15th","14U_BOYS_D3","","","","","","","","","","","","","","","",""
"28-Jun","2:00 PM","ESPERANZA HS","14BD345","3rdL-680 C","21","3rdM-NORTH IRVINE B","20","17th","14U_BOYS_D3","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"28-Jun","12:00 PM","FULLERTON HS","14BD337","2ndG-VEGAS RENEGADES","8","2ndH-SJ FOUNDATION","5","3rd","14U_BOYS_D3","","","","","","","","","","","","","","","",""
"28-Jun","1:00 PM","FULLERTON HS","14BD338","1stG-LAWPC","4","1stH-SKIP","5","1st","14U_BOYS_D3","","","","","","","","","","","","","","","",""
"","","","","","","SKIP","","","","","","","","","","","","","","","","","","",""
"","","","","","","LAWPC","","","","","","","","","","","","","","","","","","",""
"","","","","","","VEGAS RENEGADES","","","","","","","","","","","","","","","","","","",""
"","","","","","","SJ FOUNDATION","","","","","","","","","","","","","","","","","","",""
"","","","","","","ALAMEDA","","","","","","","","","","","","","","","","","","",""
"","","","","","","LAMORINDA B","","","","","","","","","","","","","","","","","","",""
"","","","","","","680 B","","","","","","","","","","","","","","","","","","",""
"","","","","","","DIABLO ALLIANCE B","","","","","","","","","","","","","","","","","","",""
"","","","","","","SOUTH COAST WHITE","","","","","","","","","","","","","","","","","","",""
"","","","","","","TITANS","","","","","","","","","","","","","","","","","","",""
"","","","","","","VANGUARD B","","","","","","","","","","","","","","","","","","",""
"","","","","","","CVU","","","","","","","","","","","","","","","","","","",""
"","","","","","","NORCAL B","","","","","","","","","","","","","","","","","","",""
"","","","","","","STANFORD C","","","","","","","","","","","","","","","","","","",""
"","","","","","","SUPREME","","","","","","","","","","","","","","","","","","",""
"","","","","","","AMERICAN RIVER B","","","","","","","","","","","","","","","","","","",""
"","","","","","","680 C","","","","","","","","","","","","","","","","","","",""
"","","","","","","NORTH IRVINE B","","","","","","","","","","","","","","","","","","",""
