"14U BOYS D1 HOT! RESULTS BRACKETS A A1-PATRIOT A A2-VANGUARD A A3-CIU SEEDING A","24 TEAMS GOOGLE SCHEDULES LIVE STREAMS B B1-LA JOLLA UNITED A B2-NEWPORT BEACH A B3-LAMORINDA B","64 GAMES SUBMIT SCORES LOGIN C C1-SD DONS C2-OVAC C3-NORCAL A C","24+22+18 TICKETS D D1-LA PREMIER D2-MISSION A D3-SAN DIEGO SHORES D","7 minute quarters OFFICIAL MERCHANDISE E E1-908 E2-STANFORD A E3-SAN CLEMENTE E","CUSTOM SUITS F F1-COMMERCE F2-SOUTH COAST RED F3-DIABLO ALLIANCE A F","G G1-NORTH IRVINE A G2-SOCAL G3-DAVIS G","H H1-CDM H2-CCU A H3-PEGASUS H","","","","","","","","","","","","","","","","","",""
"","","","","J 13th-16th","","M 21st-24th","","P 5,6,7,8","","","","","","","","","","","","","","","","",""
"","","","","J1(L#Cross1)-VANGUARD A","","M1(3rdE)-SAN CLEMENTE","","P1(L#Qtr4)-LA PREMIER","","","","","","","","","","","","","","","","",""
"","","","","J2(L#Cross2)-NORTH IRVINE A","","M2(3rdF)-DIABLO ALLIANCE A","","P2(L#Qtr2)-CIU","","","","","","","","","","","","","","","","",""
"","","","","J3(L#Cross3)-COMMERCE","","M3(3rdG)-SOCAL","","P3(L#Qtr1)-NEWPORT BEACH A","","","","","","","","","","","","","","","","",""
"","","","","J4(L#Cross4)-SAN DIEGO SHORES","","M4(3rdH)-PEGASUS","","P4(L#Qtr3)-PATRIOT A","","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"27-Jun","8:00 AM","CORONA DEL MAR HS","14BD126","K1(2ndE)-STANFORD A","11","K4(2ndH)-CDM","10","17-20 RR K1,K4","14U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","9:00 AM","CORONA DEL MAR HS","14BD128","K2(2ndF)-SOUTH COAST RED","16","K3(2ndG)-DAVIS","7","17-20 RR K2,K3","14U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","10:00 AM","CORONA DEL MAR HS","14BD130","M1(3rdE)-SAN CLEMENTE","18","M4(3rdH)-PEGASUS","12","21-24 RR M1,M4","14U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","11:00 AM","CORONA DEL MAR HS","14BD132","M2(3rdF)-DIABLO ALLIANCE A","21","M3(3rdG)-SOCAL","6","21-24 RR M2,M3","14U_BOYS_D1","","","","","","","","","","","","","","","",""
