"18U BOYS D1 HOT! RESULTS BRACKETS A A1-STANFORD A A2-CIU A3-SD DONS SEEDING A","24 TEAMS GOOGLE SCHEDULES LIVE STREAMS B B1-SAN DIEGO SHORES B2-ATHERTON B3-SHAQ B","64 GAMES SUBMIT SCORES LOGIN C C1-LAMORINDA C2-TROJAN CARDINAL A C3-AETOS C","24+22+18 TICKETS D D1-LA JOLLA UNITED A D2-CCU A D3-NEWPORT BEACH D","7 minute quarters OFFICIAL MERCHANDISE E E1-LA PREMIER E2-SAN JOSE EXPRESS E3-SAN FRANCISCO E","CUSTOM SUITS F F1-IMPERIAL F2-DIABLO ALLIANCE F3-SOUTH COAST F","G G1-CLOVIS G2-NORTH IRVINE G3-SAND CANYON G","H H1-NORCAL H2-GREENWICH H3-AMERICAN RIVER H","","","","","","","","","","","","","","","","","",""
"","","","","J3(L#Cross3)-TROJAN CARDINAL A","","M3(3rdG)-SAND CANYON","","P3(L#Qtr1)-SAN DIEGO SHORES","","","","","","","","","","","","","","","","",""
"","","","","J4(L#Cross4)-LA PREMIER","","M4(3rdH)-AMERICAN RIVER","","P4(L#Qtr3)-LAMORINDA","","","","","","","","","","","","","","","","",""
"","","LOCATION","BAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"27-Jun","8:00 AM","WESTMINSTER HS","18BD126","K1(2ndE)-SAN FRANCISCO","10","K4(2ndH)-NORCAL","13","17-20 RR K1,K4","18U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","9:00 AM","WESTMINSTER HS","18BD128","K2(2ndF)-DIABLO ALLIANCE","13","K3(2ndG)-NORTH IRVINE","20","17-20 RR K2,K3","18U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","10:00 AM","WESTMINSTER HS","18BD130","M1(3rdE)-SAN JOSE EXPRESS","8","M4(3rdH)-AMERICAN RIVER","14","21-24 RR M1,M4","18U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","11:00 AM","WESTMINSTER HS","18BD132","M2(3rdF)-SOUTH COAST","12","M3(3rdG)-SAND CANYON","11","21-24 RR M2,M3","18U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","12:00 PM","WESTMINSTER HS","18BD134","K1(2ndE)-SAN FRANCISCO","10","K3(2ndG)-NORTH IRVINE","16","17-20 RR K1,K3","18U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","1:00 PM","WESTMINSTER HS","18BD136","K2(2ndF)-DIABLO ALLIANCE","5","K4(2ndH)-NORCAL","9","17-20 RR K2,K4","18U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","2:00 PM","WESTMINSTER HS","18BD138","M1(3rdE)-SAN JOSE EXPRESS","13","M3(3rdG)-SAND CANYON","12","21-24 RR M1,M3","18U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","3:00 PM","WESTMINSTER HS","18BD140","M2(3rdF)-SOUTH COAST","10","M4(3rdH)-AMERICAN RIVER","9","21-24 RR M2,M4","18U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","4:00 PM","WESTMINSTER HS","18BD142","J1(L#Cross1)-CIU","12","J4(L#Cross4)-LA PREMIER","11","13-16 semi 16v13","18U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","5:00 PM","WESTMINSTER HS","18BD144","J2(L#Cross2)-CLOVIS","8","J3(L#Cross3)-TROJAN CARDINAL A","9","13-16 semi 15v14","18U_BOYS_D1","","","","","","","","","","","","","","","",""
"","","LOCATION","BAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"28-Jun","10:00 AM","WOOLLETT LEFT","18BD147","W#Qtr2-STANFORD A","15","W#Qtr1-CCU A","14","Semi1 1v4","18U_BOYS_D1","","","","","","","","","","","","","","","",""
"28-Jun","10:00 AM","WOOLLETT NEAR RIGHT","18BD150","W#Qtr4-ATHERTON","11","W#Qtr3-SD DONS","12","Semi2 2v3","18U_BOYS_D1","","","","","","","","","","","","","","","",""
"28-Jun","1:00 PM","WOOLLETT NEAR RIGHT","18BD157","L#Semi1-CCU A","10","L#Semi2-ATHERTON","13","3rd","18U_BOYS_D1","","","","","","","","","","","","","","","",""
"28-Jun","1:30 PM","WOOLLETT LEFT","18BD160","W#Semi1-STANFORD A","11","W#Semi2-SD DONS","10","1st","18U_BOYS_D1","","","","","","","","","","","","","","","",""
"","","LOCATION","BAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"28-Jun","8:00 AM","NEWPORT HARBOR HS","18BD149","N1(L#Playin3)-GREENWICH","7","N4(L#Playin2)-LA JOLLA UNITED A","5","9th-12th semi 9v12","18U_BOYS_D1","","","","","","","","","","","","","","","",""
"28-Jun","9:00 AM","NEWPORT HARBOR HS","18BD152","N2(L#Playin4)-SHAQ","9","N3(L#Playin1)-IMPERIAL","11","9th-12th semi 10v11","18U_BOYS_D1","","","","","","","","","","","","","","","",""
"28-Jun","10:00 AM","NEWPORT HARBOR HS","18BD154","P1(L#Qtr4)-NEWPORT BEACH","16","P4(L#Qtr3)-LAMORINDA","11","5th-8th semi 5v8","18U_BOYS_D1","","","","","","","","","","","","","","","",""
"28-Jun","11:00 AM","NEWPORT HARBOR HS","18BD156","P2(L#Qtr2)-AETOS","10","P3(L#Qtr1)-SAN DIEGO SHORES","11","5th-8th semi 6v7","18U_BOYS_D1","","","","","","","","","","","","","","","",""
"28-Jun","12:00 PM","NEWPORT HARBOR HS","18BD159","W#N1/N4-GREENWICH","11","W#N2/N3-IMPERIAL","9","9th","18U_BOYS_D1","","","","","","","","","","","","","","","",""
"28-Jun","1:00 PM","NEWPORT HARBOR HS","18BD162","L#N1/N4-LA JOLLA UNITED A","6","L#N2/N3-SHAQ","9","11th","18U_BOYS_D1","","","","","","","","","","","","","","","",""
"28-Jun","2:00 PM","NEWPORT HARBOR HS","18BD163","W#P1/P4-NEWPORT BEACH","16","W#P2/P3-SAN DIEGO SHORES","10","5th","18U_BOYS_D1","","","","","","","","","","","","","","","",""
"28-Jun","3:00 PM","NEWPORT HARBOR HS","18BD164","L#P1/P4-LAMORINDA","14","L#P2/P3-AETOS","8","7th","18U_BOYS_D1","","","","","","","","","","","","","","","",""
"","","LOCATION","BAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
