"12U BOYS D1 HOT! RESULTS BRACKETS A A1-MISSION A A2-SAN JOSE EXPRESS A3-908 SEEDING A","24 TEAMS GOOGLE SCHEDULES LIVE STREAMS B B1-VANGUARD B2-CCU A B3-RANCHO TSUNAMI B","64 GAMES SUBMIT SCORES LOGIN C C1-SD DONS A C2-NORTH IRVINE C3-PATRIOT A C","24+22+18 TICKETS D D1-STANFORD A D2-SOCAL D3-NEWPORT BEACH A D","6 minute quarters OFFICIAL MERCHANDISE E E1-SAN DIEGO SHORES E2-LA JOLLA UNITED E3-DAVIS E","CUSTOM SUITS F F1-SAN CLEMENTE A F2-SD DONS B F3-SANTA BARBARA F","G G1-LAMORINDA A G2-CDM G3-LA PREMIER G","H H1-680 A H2-TEMPLE CITY H3-ROSE BOWL H","","","","","","","","","","","","","","","","","",""
"28-Jun","12:35 PM","WOOLLETT FAR RIGHT","12BD157","L#Semi1-MISSION A","7","L#Semi2-VANGUARD","6","3rd","12U_BOYS_D1","","","","","","","","","","","","","","","",""
"28-Jun","2:40 PM","WOOLLETT LEFT","12BD160","W#Semi1-STANFORD A","8","W#Semi2-SD DONS A","12","1st","12U_BOYS_D1","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"28-Jun","8:00 AM","SAN CLEMENTE HS","12BD151","W#J1/J4-SAN DIEGO SHORES","4","W#J2/J3-CDM","12","13th","12U_BOYS_D1","","","","","","","","","","","","","","","",""
"28-Jun","8:55 AM","SAN CLEMENTE HS","12BD153","L#J1/J4-908","7","L#J2/J3-PATRIOT A","5","15th","12U_BOYS_D1","","","","","","","","","","","","","","","",""
"28-Jun","9:50 AM","SAN CLEMENTE HS","12BD155","K1(2ndE)-LA JOLLA UNITED","3","K2(2ndF)-SD DONS B","7","17-20 RR K1,K2","12U_BOYS_D1","","","","","","","","","","","","","","","",""
"28-Jun","10:45 AM","SAN CLEMENTE HS","12BD158","K3(2ndG)-LAMORINDA A","5","K4(2ndH)-680 A","7","17-20 RR K3,K4","12U_BOYS_D1","","","","","","","","","","","","","","","",""
"28-Jun","11:40 AM","SAN CLEMENTE HS","12BD161","M1(3rdE)-DAVIS","12","M2(3rdF)-SANTA BARBARA","6","21-24 RR M1,M2","12U_BOYS_D1","","","","","","","","","","","","","","","",""
"28-Jun","12:35 PM","SAN CLEMENTE HS","12BD148","M3(3rdG)-LA PREMIER","13","M4(3rdH)-TEMPLE CITY","8","21-24 RR M3,M4","12U_BOYS_D1","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"28-Jun","8:00 AM","ALISO NIGUEL HS","12BD149","N1(L#Playin3)-ROSE BOWL","4.2","N4(L#Playin2)-SOCAL","4.4","9th-12th semi 9v12","12U_BOYS_D1","","","","","","","","","","","","","","","",""
"28-Jun","8:55 AM","ALISO NIGUEL HS","12BD152","N2(L#Playin4)-CCU A","6","N3(L#Playin1)-NEWPORT BEACH A","4","9th-12th semi 10v11","12U_BOYS_D1","","","","","","","","","","","","","","","",""
"28-Jun","9:50 AM","ALISO NIGUEL HS","12BD154","P1(L#Qtr4)-SAN CLEMENTE A","7","P4(L#Qtr3)-SAN JOSE EXPRESS","12","5th-8th semi 5v8","12U_BOYS_D1","","","","","","","","","","","","","","","",""
"28-Jun","10:45 AM","ALISO NIGUEL HS","12BD156","P2(L#Qtr2)-NORTH IRVINE","11","P3(L#Qtr1)-RANCHO TSUNAMI","5","5th-8th semi 6v7","12U_BOYS_D1","","","","","","","","","","","","","","","",""
"28-Jun","11:40 AM","ALISO NIGUEL HS","12BD159","W#N1/N4-SOCAL","7","W#N2/N3-CCU A","8","9th","12U_BOYS_D1","","","","","","","","","","","","","","","",""
"28-Jun","12:35 PM","ALISO NIGUEL HS","12BD162","L#N1/N4-ROSE BOWL","6.3","L#N2/N3-NEWPORT BEACH A","6.0","11th","12U_BOYS_D1","","","","","","","","","","","","","","","",""
"28-Jun","1:30 PM","ALISO NIGUEL HS","12BD163","W#P1/P4-SAN JOSE EXPRESS","9","W#P2/P3-NORTH IRVINE","8","5th","12U_BOYS_D1","","","","","","","","","","","","","","","",""
"28-Jun","2:25 PM","ALISO NIGUEL HS","12BD164","L#P1/P4-SAN CLEMENTE A","9","L#P2/P3-RANCHO TSUNAMI","7","7th","12U_BOYS_D1","","","","","","","","","","","","","","","",""
"","","","","","","SAN JOSE EXPRESS","","","","","","","","","","","","","","","","","","",""
"","","","","","","NORTH IRVINE","","","","","","","","","","","","","","","","","","",""
"","","","","","","MISSION A","","","","","","","","","","","","","","","","","","",""
"","","","","","","VANGUARD","","","","","","","","","","","","","","","","","","",""
"","","","","","","SAN JOSE EXPRESS","","","","","","","","","","","","","","","","","","",""
"","","","","","","NORTH IRVINE","","","","","","","","","","","","","","","","","","",""
"","","","","","","SAN CLEMENTE A","","","","","","","","","","","","","","","","","","",""
"","","","","","","RANCHO TSUNAMI","","","","","","","","","","","","","","","","","","",""
"","","","","","","CCU A","","","","","","","","","","","","","","","","","","",""
"","","","","","","SOCAL","","","","","","","","","","","","","","","","","","",""
"","","","","","","ROSE BOWL","","","","","","","","","","","","","","","","","","",""
"","","","","","","NEWPORT BEACH A","","","","","","","","","","","","","","","","","","",""
"","","","","","","CDM","","","","","","","","","","","","","","","","","","",""
"","","","","","","SAN DIEGO SHORES","","","","","","","","","","","","","","","","","","",""
"","","","","","","908","","","","","","","","","","","","","","","","","","",""
"","","","","","","PATRIOT A","","","","","","","","","","","","","","","","","","",""
