DATE,TIME,LOCATION,GAME#,WHITE,S,DARK,S,COMMENTS,DIVISION,SORTKEY
19-Jun,9:00 AM,WESTMINSTER HS,14GD103,B1-LAMORINDA A,7,B3-SAN DIEGO SHORES A,6,"B bracket B1,B3",14U_GIRLS_D1,202606190900
19-Jun,9:00 AM,SERVITE HS,14GD104,E1-CCU,8,E3-TEMPLE CITY,7,"E bracket E1,E3",14U_GIRLS_D1,202606190900
19-Jun,10:00 AM,WESTMINSTER HS,14GD105,C1-PATRIOT A,18,C3-SAN DIEGO DONS,3,"C bracket C1,C3",14U_GIRLS_D1,202606191000
19-Jun,10:00 AM,SERVITE HS,14GD106,F1-CDM,13,F3-LAGUNA BEACH,12,"F bracket F1,F3",14U_GIRLS_D1,202606191000
19-Jun,11:00 AM,WESTMINSTER HS,14GD107,A2-ARROYO GRANDE,5,A3-GREENWICH,9,"A bracket A2,A3",14U_GIRLS_D1,202606191100
19-Jun,11:00 AM,SERVITE HS,14GD108,D2-SAN CLEMENTE A,8,D3-COMMERCE,10,"D bracket D2,D3",14U_GIRLS_D1,202606191100
19-Jun,12:00 PM,WESTMINSTER HS,14GD109,B2-SANTA BARBARA,13,B3-SAN DIEGO SHORES A,9,"B bracket B2,B3",14U_GIRLS_D1,202606191200
19-Jun,12:00 PM,SERVITE HS,14GD110,E2-SHORE AQUATICS,11,E3-TEMPLE CITY,5,"E bracket E2,E3",14U_GIRLS_D1,202606191200
19-Jun,1:00 PM,WESTMINSTER HS,14GD111,C2-STANFORD A,5,C3-SAN DIEGO DONS,2,"C bracket C2,C3",14U_GIRLS_D1,202606191300
19-Jun,1:00 PM,SERVITE HS,14GD112,F2-SAN JOSE EXPRESS,9,F3-LAGUNA BEACH,10,"F bracket F2,F3",14U_GIRLS_D1,202606191300
19-Jun,2:00 PM,WESTMINSTER HS,14GD113,A1-908,20,A2-ARROYO GRANDE,4,"A bracket A1,A2",14U_GIRLS_D1,202606191400
19-Jun,2:00 PM,SERVITE HS,14GD114,D1-SANTA CRUZ,15,D2-SAN CLEMENTE A,14,"D bracket D1,D2",14U_GIRLS_D1,202606191400
19-Jun,3:00 PM,WESTMINSTER HS,14GD115,B1-LAMORINDA A,8,B2-SANTA BARBARA,6,"B bracket B1,B2",14U_GIRLS_D1,202606191500
19-Jun,3:00 PM,SERVITE HS,14GD116,E1-CCU,5,E2-SHORE AQUATICS,9,"E bracket E1,E2",14U_GIRLS_D1,202606191500
19-Jun,4:00 PM,WESTMINSTER HS,14GD117,C1-PATRIOT A,9,C2-STANFORD A,6,"C bracket C1,C2",14U_GIRLS_D1,202606191600
19-Jun,4:00 PM,SERVITE HS,14GD118,F1-CDM,10,F2-SAN JOSE EXPRESS,7,"F bracket F1,F2",14U_GIRLS_D1,202606191600
20-Jun,8:00 AM,SERVITE HS,14GD119,3rdA-ARROYO GRANDE,13,2ndE-CCU,9,Cross 1 9v16,14U_GIRLS_D1,202606200800
20-Jun,8:00 AM,BECKMAN HS,14GD120,3rdB-SAN DIEGO SHORES A,14,2ndF-LAGUNA BEACH,6,Cross 2 10v15,14U_GIRLS_D1,202606200800
20-Jun,9:00 AM,SERVITE HS,14GD121,3rdD-SAN CLEMENTE A,11,1stE-SHORE AQUATICS,4,Cross 4 12v13,14U_GIRLS_D1,202606200900
20-Jun,9:00 AM,BECKMAN HS,14GD122,3rdC-SAN DIEGO DONS,11,1stF-CDM,2,Cross 3 11v14,14U_GIRLS_D1,202606200900
20-Jun,11:00 AM,SERVITE HS,14GD123,2ndB-SANTA BARBARA,18,W#3A/2E-ARROYO GRANDE,6,Play in 3,14U_GIRLS_D1,202606201100
