slug,displayName,region,website,logo,rankedTeams,bestRank,avgCPI,topTeam,topTeamGroup
san-francisco,San Francisco,Peninsula / San Francisco,,assets/logos/canonical/san-francisco.webp,2,27,1615.0,San Francisco,18U Boys
asphalt-green,Asphalt Green,Out of State,,assets/logos/canonical/asphalt-green.webp,4,29,1626.1,Asphalt Green,16U Girls
devils-gate,Devils Gate,Los Angeles,,assets/logos/canonical/devils-gate.webp,2,29,1652.1,Devils Gate A,14U Boys
pac-orange,PAC Orange,Orange County,,assets/logos/canonical/pac-orange.webp,2,29,1613.0,PAC Orange,18U Boys
san-mateo,San Mateo,Peninsula / San Francisco,,assets/logos/canonical/san-mateo.webp,1,30,1670.9,San Mateo,12U Boys
rogue-619,Rogue 619,San Diego,,assets/logos/canonical/rogue-619.webp,1,31,1899.4,Rogue 619,14U Girls
san-jose-express,San Jose Express,Peninsula / San Francisco,,assets/logos/canonical/san-jose-express.webp,1,33,1884.1,San Jose Express,14U Girls
smac,Smac,Los Angeles,,assets/logos/canonical/smac.webp,1,33,1655.6,SMAC Black,12U Boys
route-66,Route 66,Inland Empire,,assets/logos/canonical/route-66.webp,1,34,1496.5,Route 66,18U Boys
sj-foundation,SJ Foundation,Peninsula / San Francisco,,assets/logos/canonical/sj-foundation.webp,4,34,1581.0,San Jose Foundation Black,12U Boys
olympus,Olympus,Out of State,,assets/logos/canonical/olympus.webp,1,35,1478.5,Olympus,18U Boys
american-river,American River Water Polo Club,Sacramento,https://www.arwpc.com/,assets/logos/canonical/american-river.webp,4,36,1600.5,American River,18U Boys
cmac,Cmac,Orange County,,assets/logos/canonical/cmac.webp,3,36,1566.4,CMAC,12U Girls
monarch-wpc,Monarch WPC,Central Valley,,assets/logos/canonical/monarch-wpc.webp,1,36,1690.6,Monarch WPC,16U Boys
mavericks,Mavericks,Peninsula / San Francisco,,assets/logos/canonical/mavericks.webp,1,37,1853.5,Mavericks,14U Girls
pegasus,Pegasus,Peninsula / San Francisco,,assets/logos/canonical/pegasus.webp,1,37,1775.4,Pegasus A,14U Boys
whittier,Whittier,Los Angeles,,assets/logos/canonical/whittier.webp,2,37,1491.1,Whittier,12U Girls
lawpc,Los Angeles Water Polo Club,Los Angeles,https://www.losangeleswaterpolo.com/,assets/logos/canonical/lawpc.webp,2,38,1659.3,LAWPC A,14U Boys
pac-premier,PAC Premier,Orange County,,assets/logos/canonical/pac-premier.webp,1,38,1845.9,PAC Premier,14U Girls
san-jose-wpf,San Jose Wpf,Peninsula / San Francisco,,assets/logos/canonical/san-jose-wpf.webp,1,38,1638.3,San Jose Wpf,12U Boys
