group,rank,team,slug,club,latest_record,old_rank,new_rank,movement,quiksilver_weight,movement_cap_note,flags,review_question,manual_decision,notes
14U Girls,24,San Clemente Black,san-clemente-black-14u-girls,San Clemente,4-1,,,-1,,,team_depth_guardrail|manual_review_14u_girls_same_team_alias_merge|manual_review_14u_girls_depth_guardrail|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap,Confirm alias/team identity and whether lightweight movement should stand.,,
14U Girls,25,Long Beach Shore,long-beach-shore-14u-girls,Long Beach Shore,2 of 5,,,2,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap,Confirm alias/team identity and whether lightweight movement should stand.,,
14U Girls,26,Viking,viking-14u-girls,Viking,3-3-1,,,-1,,,manual_review_14u_girls_same_team_alias_merge|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap,Confirm alias/team identity and whether lightweight movement should stand.,,
14U Girls,27,PV Black,pv-black-14u-girls,PV,3-2-1,,,-1,,,manual_review_14u_girls_same_team_alias_merge|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,1,Patriot,patriot-16u-boys,Patriot,2-1,,,1,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,2,Imperial,imperial-16u-boys,Imperial,8 of 18,,,-1,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,3,Vanguard,vanguard-16u-boys,Vanguard,3 of 18,,,6,,,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,4,San Diego Shores,san-diego-shores-16u-boys,San Diego Shores,2 of 18,,,6,,,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,5,Mission,mission-16u-boys,Mission,6 of 18,,,-2,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,6,Stanford A,stanford-a-16u-boys,Stanford,2-0,,,-1,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,7,Berkeley WPC,berkeley-wpc-16u-boys,Berkeley WPC,5 of 18,,,-1,,,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,8,Trojan,trojan-16u-boys,Trojan,11 of 18,,,-4,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,9,ORWP A,orwp-a-16u-boys,ORWP,3-1,,,-2,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,10,LA Premier,la-premier-16u-boys,LA Premier,15 of 18,,,-2,,,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,15,CIU Gold,ciu-gold-16u-boys,CIU,1 of 18,,,10,,,manual_review_depth_guardrail|manual_review_top25_depth_team|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,16,Carlsbad,carlsbad-16u-boys,Carlsbad,3-2,,,-1,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,17,Rose Bowl,rose-bowl-16u-boys,Rose Bowl,9 of 18,,,-1,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,18,San Clemente,san-clemente-16u-boys,San Clemente,3-1,,,-1,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,19,Greenwich,greenwich-16u-boys,Greenwich,3-2,,,-1,,,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,20,La Jolla United,la-jolla-united-16u-boys,La Jolla United,4 of 18,,,0,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_new_team_candidate_conflict|quiksilver_cup_2026_provisional_entry|identity_review|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,21,OCWPC Blue,ocwpc-blue-16u-boys,OCWPC,3-2,,,-2,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,22,Aetos,aetos-16u-boys,Aetos,3-1,,,-2,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,23,Thunder,thunder-16u-boys,Thunder,3-2,,,-2,,,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,24,Commerce,commerce-16u-boys,Commerce,17 of 18,,,-2,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,25,Vanguard Blue,vanguard-blue-16u-boys,Vanguard,3-1,,,-2,,,manual_review_depth_guardrail|manual_review_top25_depth_team|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,26,Trojan B,trojan-b-16u-boys,Trojan,1-3,,,-2,,,manual_review_depth_guardrail|manual_review_top25_depth_team|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,27,CDM,cdm-16u-boys,CDM,3-2,,,-1,,,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,28,680 A,680-a-16u-boys,680,12 of 18,,,-1,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,29,Palos Verdes,palos-verdes-16u-boys,Palos Verdes,1-2,,,-1,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,30,SHAQ,shaq-16u-boys,SHAQ,2-2,,,-1,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,31,Sand Canyon A,sand-canyon-a-16u-boys,Sand Canyon,10 of 18,,,-1,,,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,32,CC United,cc-united-16u-boys,CC United,13 of 18,,,-1,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,33,Supreme,supreme-16u-boys,Supreme,3-0,,,-1,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,34,Asphalt Green,asphalt-green-16u-boys,Asphalt Green,3-1,,,-1,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,35,Back Bay,back-bay-16u-boys,Back Bay,2-1,,,-1,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,36,Monarch WPC,monarch-wpc-16u-boys,Monarch WPC,0-0,,,-1,,,manual_review_d2_tier_guardrail|manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,37,CMAC,cmac-16u-boys,CMAC,2-2,,,-1,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,38,SoCal,socal-16u-boys,SoCal,2-3,,,-1,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,39,CT Premier,ct-premier-16u-boys,CT Premier,2-2,,,-1,,,manual_review_d2_tier_guardrail|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,40,BOA,boa-16u-boys,BOA,0-0,,,-1,,,manual_review_d2_tier_guardrail|manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,41,Sand Canyon,sand-canyon-16u-boys,Sand Canyon,0-0,,,-1,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,42,Stanford B,stanford-b-16u-boys,Stanford,3-1,,,-1,,,manual_review_depth_guardrail|manual_review_d2_tier_guardrail|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,43,CC United Blue,cc-united-blue-16u-boys,CC United,3-0,,,-1,,,manual_review_depth_guardrail|manual_review_d2_tier_guardrail|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,44,CHAWP B,chawp-b-16u-boys,CHAWP,2-2,,,-1,,,manual_review_depth_guardrail|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,45,Trilogy,trilogy-16u-boys,Trilogy,2-1,,,-1,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,46,La Jolla United Gold,la-jolla-united-gold-16u-boys,La Jolla United,7 of 18,,,-1,,,manual_review_depth_guardrail|manual_review_d2_tier_guardrail|quiksilver_cup_2026_evidence_added|quiksilver_alias_corrected_7_29|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,47,Foothill,foothill-16u-boys,Foothill,2-2,,,-1,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,48,SD ECA,sd-eca-16u-boys,SD ECA,3-5,,,-1,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,49,SD Dons,sd-dons-16u-boys,SD Dons,1-2,,,-1,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,50,LV Legends,lv-legends-16u-boys,LV Legends,2-3,,,-1,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,51,South Coast B,south-coast-b-16u-boys,South Coast,1-2,,,-1,,,manual_review_depth_guardrail|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,52,Sj Foundation,sj-foundation-16u-boys,Sj Foundation,1-4,,,-1,,,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,53,Vanguard Silver,vanguard-silver-16u-boys,Vanguard,4-1,,,-1,,,manual_review_depth_guardrail|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
