group,team,slug,club,old_rank,new_rank,movement,old_cpi,new_cpi,cpi_change,latest_tournament,latest_record,field_size,quiksilver_weight,movement_cap_note,flags
18U Girls,San Diego Shores,san-diego-shores-18u-girls,San Diego Shores,,16,0,,1710.9,0.0,Quiksilver Cup,3 of 12,12,0.32,"medium-field cap; champion +6, runner-up/new team mid-table",quiksilver_cup_2026_new_team_candidate|medium_field_weight_cap|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
18U Girls,SBWPC B,sbwpc-b-18u-girls,SBWPC,14,17,-3,1716.1,1706.8,-9.3,US Club Championships,3-1,12,0.32,"medium-field cap; champion +6, runner-up/new team mid-table",manual_review_depth_guardrail|manual_review_top25_depth_team|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
18U Girls,CHAWP B,chawp-b-18u-girls,CHAWP,16,20,-4,1710.9,1654.7,-56.2,US Club Championships,2-2,12,0.32,"medium-field cap; champion +6, runner-up/new team mid-table",manual_review_depth_guardrail|manual_review_top25_depth_team|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
18U Girls,Davis,davis-18u-girls,Davis,17,21,-4,1706.8,1652.6,-54.2,US Club Championships,1-1,12,0.32,"medium-field cap; champion +6, runner-up/new team mid-table",manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
18U Girls,Mid Valley,mid-valley-18u-girls,Mid Valley,,22,0,,1632.1,0.0,Quiksilver Cup,5 of 12,12,0.32,"medium-field cap; champion +6, runner-up/new team mid-table",quiksilver_cup_2026_new_team_candidate|medium_field_weight_cap|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
18U Girls,SoCal Gold,socal-gold-18u-girls,SoCal,20,23,-3,1654.7,1613.5,-41.2,US Club Championships,1-1,12,0.32,"medium-field cap; champion +6, runner-up/new team mid-table",manual_review_depth_guardrail|manual_review_low_game_count|manual_review_top25_depth_team|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
18U Girls,Clovis,clovis-18u-girls,Clovis,21,24,-3,1652.6,1598.2,-54.4,US Club Championships,1-3,12,0.32,"medium-field cap; champion +6, runner-up/new team mid-table",quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
18U Girls,OVAC,ovac-18u-girls,OVAC,22,25,-3,1632.1,1577.9,-54.2,Futures Super Finals,2-3,12,0.32,"medium-field cap; champion +6, runner-up/new team mid-table",manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
18U Girls,San Clemente,san-clemente-18u-girls,San Clemente,23,26,-3,1613.5,1572.3,-41.2,Futures Super Finals,2-3,12,0.32,"medium-field cap; champion +6, runner-up/new team mid-table",quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
18U Girls,Bulldog,bulldog-18u-girls,Bulldog,24,27,-3,1598.2,1571.9,-26.3,Quiksilver Cup,10 of 12,12,0.32,"medium-field cap; champion +6, runner-up/new team mid-table",quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
18U Girls,South Coast,south-coast-18u-girls,South Coast,25,28,-3,1577.9,1534.6,-43.3,Futures Super Finals,2-2,12,0.32,"medium-field cap; champion +6, runner-up/new team mid-table",quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
18U Girls,Patriot,patriot-18u-girls,Patriot,26,29,-3,1572.3,1516.6,-55.7,Quiksilver Cup,11 of 12,12,0.32,"medium-field cap; champion +6, runner-up/new team mid-table",quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
18U Girls,LB Viking White,lb-viking-white-18u-girls,Viking,27,30,-3,1571.9,1506.0,-65.9,CCA JO Quals,5-0,12,0.32,"medium-field cap; champion +6, runner-up/new team mid-table",manual_review_depth_guardrail|manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
18U Girls,CHAWP,chawp-18u-girls,CHAWP,28,31,-3,1534.6,1499.6,-35.0,US Club Championships,0-2,12,0.32,"medium-field cap; champion +6, runner-up/new team mid-table",manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
18U Girls,SBWPC C,sbwpc-c-18u-girls,SBWPC,29,32,-3,1516.6,1449.9,-66.7,US Club Championships,0-2,12,0.32,"medium-field cap; champion +6, runner-up/new team mid-table",manual_review_depth_guardrail|manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
18U Girls,Asphalt Green,asphalt-green-18u-girls,Asphalt Green,30,33,-3,1506.0,1418.0,-88.0,Futures Super Finals,1-4,12,0.32,"medium-field cap; champion +6, runner-up/new team mid-table",manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
18U Girls,Commerce,commerce-18u-girls,Commerce,31,34,-3,1499.6,1360.0,-139.6,US Club Championships,0-2,12,0.32,"medium-field cap; champion +6, runner-up/new team mid-table",manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
18U Girls,North Irvine,north-irvine-18u-girls,North Irvine,32,35,-3,1449.9,1360.0,-89.9,Quiksilver Cup,12 of 12,12,0.32,"medium-field cap; champion +6, runner-up/new team mid-table",quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
18U Girls,Thunder,thunder-18u-girls,Thunder,33,36,-3,1418.0,1360.0,-58.0,Futures Super Finals,0-5,12,0.32,"medium-field cap; champion +6, runner-up/new team mid-table",manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
18U Girls,Sand Canyon,sand-canyon-18u-girls,Sand Canyon,34,37,-3,1360.0,1360.0,0.0,Futures Super Finals,0-4,12,0.32,"medium-field cap; champion +6, runner-up/new team mid-table",quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
