group,team,slug,club,old_rank,new_rank,movement,old_cpi,new_cpi,cpi_change,latest_tournament,latest_record,field_size,quiksilver_weight,movement_cap_note,flags
14U Boys,San Clemente A,san-clemente-a,San Clemente,23,24,-1,1881.7,1878.0,-3.7,Futures Super Finals,3-2,16,0.38,top finishers +2 to +6; poor finish max -2 to -4 unless identity confirmed,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
14U Girls,Stanford A,stanford-a-14u-girls,Stanford,3,2,1,2128.8,2139.5,10.7,Futures Super Finals,3-3,5,0.22,"small-field cap; winner +4, runner-up +2, top-team poor finish max -2",futures_usclub_crossover|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap
14U Girls,908,908-14u-girls,908,2,3,-1,2139.5,2128.8,-10.7,Quiksilver Cup,4 of 5,5,0.22,"small-field cap; winner +4, runner-up +2, top-team poor finish max -2",futures_usclub_crossover|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap
14U Girls,Arroyo Grande,arroyo-grande-14u-girls,Arroyo Grande,22,18,4,1969.1,2000.6,31.5,Quiksilver Cup,1 of 5,5,0.22,"small-field cap; winner +4, runner-up +2, top-team poor finish max -2",quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap
14U Girls,Davis,davis-14u-girls,Davis,18,19,-1,2000.6,1992.7,-7.9,US Club Championships,2-4,5,0.22,"small-field cap; winner +4, runner-up +2, top-team poor finish max -2",quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap
14U Girls,South Coast Red,south-coast-red-14u-girls,South Coast,19,20,-1,1992.7,1984.8,-7.9,CCA JO Qualifier,3-2,5,0.22,"small-field cap; winner +4, runner-up +2, top-team poor finish max -2",manual_review_14u_girls_same_team_alias_merge|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap
14U Girls,San Diego Shores Gold,san-diego-shores-gold-14u-girls,San Diego Shores,20,21,-1,1984.8,1976.9,-7.9,US Club Championships,3-3,5,0.22,"small-field cap; winner +4, runner-up +2, top-team poor finish max -2",team_depth_guardrail|manual_review_14u_girls_same_team_alias_merge|manual_review_14u_girls_depth_guardrail|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap
14U Girls,Rose Bowl,rose-bowl-14u-girls,Rose Bowl,21,22,-1,1976.9,1969.1,-7.8,Futures Super Finals,4-1,5,0.22,"small-field cap; winner +4, runner-up +2, top-team poor finish max -2",futures_usclub_crossover|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap
14U Girls,Foothill Red,foothill-red-14u-girls,Foothill Club,24,23,1,1953.5,1961.3,7.8,Quiksilver Cup,3 of 5,5,0.22,"small-field cap; winner +4, runner-up +2, top-team poor finish max -2",quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap
14U Girls,San Clemente Black,san-clemente-black-14u-girls,San Clemente,23,24,-1,1961.3,1953.5,-7.8,SOPAC JO Qualifier,4-1,5,0.22,"small-field cap; winner +4, runner-up +2, top-team poor finish max -2",team_depth_guardrail|manual_review_14u_girls_same_team_alias_merge|manual_review_14u_girls_depth_guardrail|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap
14U Girls,Long Beach Shore,long-beach-shore-14u-girls,Long Beach Shore,27,25,2,1930.2,1945.7,15.5,Quiksilver Cup,2 of 5,5,0.22,"small-field cap; winner +4, runner-up +2, top-team poor finish max -2",quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap
14U Girls,Viking,viking-14u-girls,Viking,25,26,-1,1945.7,1937.9,-7.8,CCA JO Qualifier,3-3-1,5,0.22,"small-field cap; winner +4, runner-up +2, top-team poor finish max -2",manual_review_14u_girls_same_team_alias_merge|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap
14U Girls,PV Black,pv-black-14u-girls,PV,26,27,-1,1937.9,1930.2,-7.7,CCA JO Qualifier,3-2-1,5,0.22,"small-field cap; winner +4, runner-up +2, top-team poor finish max -2",manual_review_14u_girls_same_team_alias_merge|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap
16U Boys,Patriot,patriot-16u-boys,Patriot,2,1,1,2015.6,2150.0,134.4,Futures Super Finals,2-1,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,Imperial,imperial-16u-boys,Imperial,1,2,-1,2150.0,2015.6,-134.4,Quiksilver Cup,8 of 18,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,Vanguard,vanguard-16u-boys,Vanguard,9,3,6,1914.6,2009.9,95.3,Quiksilver Cup,3 of 18,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,San Diego Shores,san-diego-shores-16u-boys,San Diego Shores,10,4,6,1884.3,1985.2,100.9,Quiksilver Cup,2 of 18,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
