group,postRank,team,club,teamDepth,preRank,movement,joDerivedRank,joDivision,joSubdivision,joDivisionFinish,joSubdivisionFinish,latestTournamentRecord,sourceTeam
12U Boys,74,Carlsbad B,Carlsbad,2,,0,74,Classic,Bronze,26,2,6-3,Carlsbad B
12U Boys,75,Stanford C,Stanford,3,,0,75,Classic,Bronze,27,3,6-4,Stanford White
12U Boys,76,680 C,680,3,50,-26,76,Classic,Bronze,28,4,6-5,680 White
12U Boys,77,CC United C,CC United,3,,0,77,Classic,Bronze,29,5,4-4,CC United White
12U Boys,78,La Jolla United B,La Jolla United,2,83,5,78,Classic,Bronze,30,6,4-6,La Jolla United B
12U Boys,79,North Irvine B,North Irvine,2,82,3,79,Classic,Bronze,31,7,4-4,North Irvine Red
12U Boys,80,Park City,Park City,1,,0,80,Classic,Bronze,32,8,2-6,Park City
12U Boys,81,Punahou,Punahou,1,,0,81,Classic,Bronze,33,9,5-3,Punahou
12U Boys,82,Thunder,Thunder,1,,0,82,Classic,Bronze,34,10,4-4,Texas Thunder
12U Boys,83,OCWPC B,OCWPC,2,,0,83,Classic,Bronze,35,11,4-4,OCWPC Red
12U Boys,84,SHAQ B,SHAQ,2,61,-23,84,Classic,Bronze,36,12,2-6,SHAQ White
12U Boys,85,American River,American River,1,,0,85,Classic,Bronze,37,13,3-4,American River
12U Boys,86,Santa Barbara B,Santa Barbara,2,,0,86,Classic,Bronze,38,14,2-5,Santa Barbara Wpc B
12U Boys,87,Clovis,Clovis,1,,0,87,Classic,Bronze,39,15,2-5,Clovis
12U Boys,88,Brooklyn Hustle,Brooklyn Hustle,1,,0,88,Classic,Bronze,40,16,1-6,Brookyln Hustle
12U Boys,89,908 B,908,2,,0,89,Classic,Bronze,41,17,5-3,908 Blue
12U Boys,90,CDM B,CDM,2,84,-6,90,Classic,Bronze,42,18,3-4,CDM White
12U Boys,91,Foothill B,Foothill,2,74,-17,91,Classic,Bronze,43,19,2-5,Foothill Black
12U Boys,92,ORWP B,ORWP,2,78,-14,92,Classic,Bronze,44,20,4-9,ORWP Red
12U Boys,93,Trojan B,Trojan,2,68,-25,92,Classic,Bronze,44,20,2-6,Trojan Gold
12U Boys,94,Diablo Alliance,Diablo Alliance,1,70,-24,93,Classic,Bronze,45,21,5-5,Diablo Alliance A
12U Boys,95,Yolo,Yolo,1,49,-46,95,Classic,Bronze,47,23,3-7,Yolo
12U Boys,96,680 D,680,4,72,-24,96,Classic,Bronze,48,24,4-6,680 Drivers
12U Boys,97,Lamorinda C,Lamorinda,3,,0,97,Classic,Bronze,49,25,2-6,Lamorinda C
12U Boys,98,SD Dons C,SD Dons,3,64,-34,98,Classic,Bronze,50,26,2-7,SD Dons Gold
12U Boys,99,Arroyo Grande,Arroyo Grande,1,,0,99,Classic,Bronze,51,27,3-5,Arroyo Grande
12U Boys,100,Davis B,Davis,2,,0,100,Classic,Bronze,52,28,1-7,Davis White
14U Boys,1,CIU,CIU,1,6,5,1,Championship,Platinum,1,1,7-1,Ciu Gold
14U Boys,2,La Jolla United A,La Jolla United,1,3,1,2,Championship,Platinum,2,2,7-2,La Jolla United
14U Boys,3,Newport Beach A,Newport Beach,1,4,1,3,Championship,Platinum,3,3,5-2,Newport Beach Blue
14U Boys,4,SD Dons A,SD Dons,1,7,3,4,Championship,Platinum,4,4,5-2,SD Dons Red
14U Boys,5,Mission A,Mission,1,2,-3,5,Championship,Platinum,5,5,5-2,Mission A
14U Boys,6,Patriot A,Patriot,1,10,4,7,Championship,Platinum,7,7,5-2,Patriot Navy
