group,rank,current_team,current_slug,current_club,current_club_slug,issue_types,same_group_possible_duplicate_matches,same_club_other_teams_in_group,recommended_action,decision,canonical_team_name,canonical_team_slug,canonical_club,canonical_club_slug,merge_into_existing_slug,keep_separate,notes
12U Girls,5,Back Bay Navy,back-bay-navy-12u-girls,Back Bay,back-bay,possible_duplicate_team_name|same_club_multiple_teams_in_group,Back Bay Black #27 (back-bay-black-12u-girls),Back Bay Black #27 depth=2,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,,,,,,,,
12U Girls,8,Stanford A,stanford-a-12u-girls,Stanford,stanford,possible_duplicate_team_name|same_club_multiple_teams_in_group,Stanford B #35 (stanford-b-12u-girls),Stanford B #35 depth=2,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,,,,,,,,
12U Girls,15,SBWPC A,sbwpc-a-12u-girls,SBWPC,sbwpc,manual_review_note_present|possible_duplicate_team_name|provisional_or_identity_review|same_club_multiple_teams_in_group,SBWPC B #32 (sbwpc-b-12u-girls),SBWPC B #32 depth=2,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Resolve before post-JO recalibration if possible.,,,,,,,,
12U Girls,22,Lamorinda B,lamorinda-b-12u-girls,Lamorinda,lamorinda,possible_duplicate_team_name|same_club_multiple_teams_in_group,Lamorinda A #3 (lamorinda-a-12u-girls); Lamorinda C #34 (lamorinda-c-12u-girls),Lamorinda A #3 depth=1; Lamorinda C #34 depth=3,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,,,,,,,,
12U Girls,23,Newport Beach White,newport-beach-white-12u-girls,Newport Beach,newport-beach,possible_duplicate_team_name|same_club_multiple_teams_in_group,Newport Beach A #1 (newport-beach-a-12u-girls),Newport Beach A #1 depth=1,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,,,,,,,,
12U Girls,27,Back Bay Black,back-bay-black-12u-girls,Back Bay,back-bay,possible_duplicate_team_name|same_club_multiple_teams_in_group,Back Bay Navy #5 (back-bay-navy-12u-girls),Back Bay Navy #5 depth=1,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,,,,,,,,
12U Girls,32,SBWPC B,sbwpc-b-12u-girls,SBWPC,sbwpc,possible_duplicate_team_name|same_club_multiple_teams_in_group,SBWPC A #15 (sbwpc-a-12u-girls),SBWPC A #15 depth=1,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,,,,,,,,
12U Girls,34,Lamorinda C,lamorinda-c-12u-girls,Lamorinda,lamorinda,possible_duplicate_team_name|same_club_multiple_teams_in_group,Lamorinda A #3 (lamorinda-a-12u-girls); Lamorinda B #22 (lamorinda-b-12u-girls),Lamorinda A #3 depth=1; Lamorinda B #22 depth=2,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,,,,,,,,
12U Girls,35,Stanford B,stanford-b-12u-girls,Stanford,stanford,possible_duplicate_team_name|same_club_multiple_teams_in_group,Stanford A #8 (stanford-a-12u-girls),Stanford A #8 depth=1,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,,,,,,,,
12U Girls,38,San Clemente Black,san-clemente-black-12u-girls,San Clemente,san-clemente,possible_duplicate_team_name|same_club_multiple_teams_in_group,San Clemente Red #4 (san-clemente-red-12u-girls),San Clemente Red #4 depth=1,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,,,,,,,,
14U Boys,1,NorCal A,norcal-a,NorCal,norcal,possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,NorCal B #58 (norcal-b); NorCal C #80 (norcal-c),NorCal B #58 depth=2; NorCal C #80 depth=3,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
14U Boys,2,Mission A,mission-a,Mission,mission,possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,Mission B #22 (mission-b),Mission B #22 depth=2,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
14U Boys,3,La Jolla United A,la-jolla-united-a,La Jolla United,la-jolla-united,possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,La Jolla United B #41 (la-jolla-united-b),La Jolla United B #41 depth=2,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
14U Boys,4,Newport Beach A,newport-beach-a,Newport Beach,newport-beach,possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,Newport Beach B #34 (newport-beach-b),Newport Beach B #34 depth=2,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
14U Boys,7,SD Dons A,sd-dons-a,SD Dons,sd-dons,possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,SD Dons B #65 (sd-dons-b),SD Dons B #65 depth=2,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
14U Boys,10,Patriot A,patriot-a,Patriot,patriot,possible_duplicate_team_name|same_club_multiple_teams_in_group,Patriot B #28 (patriot-b); Patriot Red #78 (patriot-red),Patriot B #28 depth=2,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,,,,,,,,
14U Boys,13,Stanford A,stanford-a,Stanford,stanford,possible_duplicate_team_name|same_club_multiple_teams_in_group,Stanford B #44 (stanford-b); Stanford C #64 (stanford-c),Stanford B #44 depth=2; Stanford C #64 depth=3,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,,,,,,,,
14U Boys,14,Vanguard A,vanguard-a,Vanguard,vanguard,possible_duplicate_team_name|same_club_multiple_teams_in_group,Vanguard B #43 (vanguard-b); Vanguard C #66 (vanguard-c),Vanguard B #43 depth=2; Vanguard C #66 depth=3,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,,,,,,,,
14U Boys,15,Lamorinda A,lamorinda-a,Lamorinda,lamorinda,possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,Lamorinda B #55 (lamorinda-b); Lamorinda C #103 (lamorinda-c),Lamorinda B #55 depth=2; Lamorinda C #103 depth=3,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
14U Boys,16,South Coast A,south-coast-a,South Coast,south-coast,possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,South Coast B #53 (south-coast-b); South Coast C #91 (south-coast-c),South Coast B #53 depth=2; South Coast C #91 depth=3,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
14U Boys,19,CC United A,cc-united-a,CC United,cc-united,possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,CC United B #35 (cc-united-b); CC United C #93 (cc-united-c),CC United B #35 depth=2; CC United C #93 depth=3,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
