DATE,TIME,LOCATION,GAME ID,WHITE TEAM,S,DARK TEAM,S,COMMENTS,DIVISION,SORTKEY
5-Oct,12:00 PM,TUSTIN HS 2,12Bau18,3rdA-PATRIOT RED,4,3rdC-SOUTH COAST RED,6,9-13th 3A/3C,12U_BOYS_GOLD,202510051200
5-Oct,12:10 PM,ESTANCIA HS 2,12Bau20,1stB-TSUNAMI,4,1stC-ORANGE COUNTY WPC BLUE,6,1-4 semi 1B/1C,12U_BOYS_GOLD,202510051210
5-Oct,12:50 PM,TUSTIN HS 2,12Bau19,4thD-SAN CLEMENTE BLACK,19,3rdB-LA JOLLA UNITED GOLD,6,9-13th 4D/3B,12U_BOYS_GOLD,202510051250
5-Oct,1:00 PM,ESTANCIA HS 2,12Bau23,2ndA-LAMORINDA A,5,2ndD-CCU BLUE,11,5-8 semi 2A/2D,12U_BOYS_GOLD,202510051300
5-Oct,1:50 PM,ESTANCIA HS 2,12Bau21,1stA-ROUTE 66,17,1stD-NSD STARS,13,1-4 semi 1A/1D,12U_BOYS_GOLD,202510051350
5-Oct,2:40 PM,ESTANCIA HS 2,12Bau27,L#22-STANFORD BLACK,15,L#23-LAMORINDA A,5,7th,12U_BOYS_GOLD,202510051440
5-Oct,3:30 PM,ESTANCIA HS 2,12Bau26,W#22-PAC ORANGE,9,W#23-CCU BLUE,10,5th,12U_BOYS_GOLD,202510051530
5-Oct,4:20 PM,ESTANCIA HS 2,12Bau24,L#20-TSUNAMI,10,L#21-NSD STARS,9,3rd,12U_BOYS_GOLD,202510051620
5-Oct,5:10 PM,ESTANCIA HS 2,12Bau25,W#20-ORANGE COUNTY WPC BLUE,5,W#21-ROUTE 66,12,1st,12U_BOYS_GOLD,202510051710
4-Oct,7:00 AM,WOOLLETT FAR RIGHT,12Bpt01,A1-VANGUARD BLUE,18,A3-SAN CLEMENTE RED,11,"A bracket A1,A3",12U_BOYS_PLATINUM,202510040700
4-Oct,7:50 AM,WOOLLETT FAR RIGHT,12Bpt02,B1-CCU BLACK,11,B3-NORTH IRVINE BLACK,6,"B bracket B1,B3",12U_BOYS_PLATINUM,202510040750
4-Oct,8:40 AM,WOOLLETT FAR RIGHT,12Bpt03,C2-MISSION WPC A,15,C3-LA JOLLA UNITED NAVY,3,"C bracket C2,C3",12U_BOYS_PLATINUM,202510040840
4-Oct,9:30 AM,WOOLLETT FAR RIGHT,12Bpt06,A1-VANGUARD BLUE,9,A2-STANFORD RED,7,"A bracket A1,A2",12U_BOYS_PLATINUM,202510040930
4-Oct,10:20 AM,WOOLLETT FAR RIGHT,12Bpt04,D1-SD SHORES BLACK,10,D4-CDM,12,"D bracket D1,D4",12U_BOYS_PLATINUM,202510041020
4-Oct,11:10 AM,WOOLLETT FAR RIGHT,12Bpt05,D2-SOCAL BLACK,10,D3-680 RED,4,"D bracket D2,D3",12U_BOYS_PLATINUM,202510041110
4-Oct,11:40 AM,TUSTIN HS 2,12Bpt07,A2-STANFORD RED,13,A3-SAN CLEMENTE RED,9,"A bracket A2,A3",12U_BOYS_PLATINUM,202510041140
4-Oct,12:30 PM,TUSTIN HS 2,12Bpt10,B1-CCU BLACK,13,B2-PATRIOT NAVY,8,"B bracket B1,B2",12U_BOYS_PLATINUM,202510041230
4-Oct,12:50 PM,WOOLLETT FAR RIGHT,12Bpt08,C1-ORWP,7,C2-MISSION WPC A,12,"C bracket C1,C2",12U_BOYS_PLATINUM,202510041250
4-Oct,1:40 PM,WOOLLETT FAR RIGHT,12Bpt09,D1-SD SHORES BLACK,11,D3-680 RED,7,"D bracket D1,D3",12U_BOYS_PLATINUM,202510041340
4-Oct,3:00 PM,TUSTIN HS 2,12Bpt11,D2-SOCAL BLACK,12,D4-CDM,8,"D bracket D2,D4",12U_BOYS_PLATINUM,202510041500
4-Oct,3:20 PM,WOOLLETT FAR RIGHT,12Bpt12,B2-PATRIOT NAVY,9,B3-NORTH IRVINE BLACK,10,"B bracket B2,B3",12U_BOYS_PLATINUM,202510041520
4-Oct,4:10 PM,WOOLLETT FAR RIGHT,12Bpt13,C1-ORWP,10,C3-LA JOLLA UNITED NAVY,2,"C bracket C1,C3",12U_BOYS_PLATINUM,202510041610
5-Oct,7:00 AM,WOOLLETT FAR RIGHT,12Bpt14,D3-680 RED,6.2,D4-CDM,6.3,"D bracket D3,D4",12U_BOYS_PLATINUM,202510050700
5-Oct,7:50 AM,WOOLLETT FAR RIGHT,12Bpt15,D1-SD SHORES BLACK,5,D2-SOCAL BLACK,14,"D bracket D1,D2",12U_BOYS_PLATINUM,202510050750
5-Oct,8:40 AM,WOOLLETT FAR RIGHT,12Bpt16,3rdB-PATRIOT NAVY,11,3rdC-LA JOLLA UNITED NAVY,4,9-13th 3B/3C,12U_BOYS_PLATINUM,202510050840
