DATE,TIME,LOCATION,GAME ID,WHITE TEAM,S,DARK TEAM,S,COMMENTS,DIVISION,,,,,,,,,,,,,,
5-Oct,4:10 PM,WOOLLETT NEAR LEFT,14Bpt31,N1(2ndG)-LA JOLLA UNITED NAVY,4,N2(2ndH)-MISSION WPC A,9,3rd,14U_BOYS_PLATINUM,,,,,,,,,,,,,,
5-Oct,5:00 PM,WOOLLETT NEAR LEFT,14Bpt32,O1(1stG)-NBWP BLUE,10,O2(1stH)-VANGUARD BLUE,9,1st,14U_BOYS_PLATINUM,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
5-Oct,7:00 AM,WOOLLETT NEAR RIGHT,14Bpt33,J1(2ndD)-DIABLO ALLIANCE RED,12,J3(2ndF)-680 RED,9,bracket,14U_BOYS_PLATINUM,,,,,,,,,,,,,,
5-Oct,7:50 AM,WOOLLETT NEAR RIGHT,14Bpt34,K1(3rdA)-CDM BLUE,8,K3(3rdC)-SOUTH COAST RED,4,bracket,14U_BOYS_PLATINUM,,,,,,,,,,,,,,
5-Oct,8:40 AM,WOOLLETT NEAR RIGHT,14Bpt35,L1(3rdD)-ORWP,15,L4(4thF)-NORTH IRVINE BLACK,12,bracket,14U_BOYS_PLATINUM,,,,,,,,,,,,,,
5-Oct,9:30 AM,WOOLLETT NEAR RIGHT,14Bpt36,L2(3rdE)-DEL MAR 13 BLUE,11.1,L3(3rdF)-PRIDE,11.4,bracket,14U_BOYS_PLATINUM,,,,,,,,,,,,,,
5-Oct,10:20 AM,WOOLLETT NEAR RIGHT,14Bpt37,J2(2ndE)-STANFORD RED,7,J3(2ndF)-680 RED,15,bracket,14U_BOYS_PLATINUM,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
5-Oct,12:50 PM,WOOLLETT NEAR RIGHT,14Bpt38,K2(3rdB)-ORANGE COUNTY WPC BLUE,6,K3(3rdC)-SOUTH COAST RED,7,bracket,14U_BOYS_PLATINUM,,,,,,,,,,,,,,
5-Oct,1:40 PM,WOOLLETT NEAR RIGHT,14Bpt39,L1(3rdD)-ORWP,6,L3(3rdF)-PRIDE,7,bracket,14U_BOYS_PLATINUM,,,,,,,,,,,,,,
5-Oct,2:30 PM,WOOLLETT NEAR RIGHT,14Bpt40,L2(3rdE)-DEL MAR 13 BLUE,8,L4(4thF)-NORTH IRVINE BLACK,14,bracket,14U_BOYS_PLATINUM,,,,,,,,,,,,,,
5-Oct,3:20 PM,WOOLLETT NEAR RIGHT,14Bpt41,J1(2ndD)-DIABLO ALLIANCE RED,15,J2(2ndE)-STANFORD RED,10,bracket,14U_BOYS_PLATINUM,,,,,,,,,,,,,,
5-Oct,4:10 PM,WOOLLETT NEAR RIGHT,14Bpt42,K1(3rdA)-CDM BLUE,7,K2(3rdB)-ORANGE COUNTY WPC BLUE,8,bracket,14U_BOYS_PLATINUM,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1st,NBWP BLUE,,,,,,,,,,,,,,
,,,,,,,,2nd,VANGUARD BLUE,,,,,,,,,,,,,,
,,,,,,,,3rd,MISSION WPC A,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
