DATE,TIME,LOCATION,GAME ID,WHITE TEAM,S,DARK TEAM,S,COMMENTS,DIVISION,
5-Oct,1:50 PM,COSTA MESA HS 1,14Bau41,L1(3rdD)-PRIDE 13,2,L2(3rdE)-TSUNAMI BLUE,11,"L bracket L1,L2",14U_BOYS_GOLD,
5-Oct,2:40 PM,COSTA MESA HS 1,14Bau44,J1(2ndD)-SHORES GOLD,6,J2(2ndE-MISSION WPC B,12,"J bracket J1,J2",14U_BOYS_GOLD,
5-Oct,3:30 PM,COSTA MESA HS 1,14Bau47,K1(3rdA)-STANFORD BLACK,3,K2(3rdB)-LA JOLLA UNITED GOLD,8,"K bracket K1,K2",14U_BOYS_GOLD,
,,,,,,,,,,
5-Oct,7:00 AM,TUSTIN HS 1,14Bau32,M1(4thF)-SOUTH COAST WHITE,9,M5(4thD)-680 WHITE,10,19th-23rd,14U_BOYS_GOLD,
5-Oct,7:50 AM,TUSTIN HS 1,14Bau35,M2(4thC)-DIABLO ALLIANCE BLACK,7,M4(4thE)-ROSE BOWL RED,10,19th-23rd,14U_BOYS_GOLD,
,,,,,,,,,,
5-Oct,10:20 AM,TUSTIN HS 1,14Bau42,M1(4thF)-SOUTH COAST WHITE,5,M3(4thB)-PAC ORANGE,1,19th-23rd,14U_BOYS_GOLD,
5-Oct,11:10 AM,TUSTIN HS 1,14Bau45,M2(4thC)-DIABLO ALLIANCE BLACK,10,M5(4thD)-680 WHITE,11,19th-23rd,14U_BOYS_GOLD,
,,,,,,,,,,
5-Oct,3:20 PM,TUSTIN HS 1,14Bau48,M3(4thB)-PAC ORANGE,7,M4(4thE)-ROSE BOWL RED,11,19th-23rd,14U_BOYS_GOLD,
,,,,,,,,,,
,,,,,,,,1st,PALOS VERDES BLACK,
,,,,,,,,2nd,SHORE AQUATICS,
,,,,,,,,3rd,SAN CLEMENTE RED,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
