"DATE","LOCATION","TIME","WHITE TEAM","S","DARK TEAM","S","COMMENTS","","","","","","","","","",""
"6/27/2026","EL MODENA HS","4:00 PM","Q2 -(4thE)- CHAWP BLUE","0","Q4 -(4thG)- COMMERCE","5","25-29 RR","","","","","","","","","",""
"","LOCATION","","WHITE TEAM","","DARK TEAM","","COMMENTS","","","","","","","","","",""
"6/27/2026","FULLERTON COLLEGE","8:00 AM","Q2 -(4thE)- CHAWP BLUE","8","Q3-(4thF)-LA JOLLA B","10","25-29 RR","","","","","","","","","",""
"6/27/2026","FULLERTON COLLEGE","9:00 AM","S1-(3rdA) - TSUNAMI","12","S4 -(3rdH) - SOCAL GOLD","6","","","","","","","","","","",""
"6/27/2026","FULLERTON COLLEGE","10:00 AM","S2-(3rdD) -DAVIS","9","S3 (3rdF) - SEASIDE","10","","","","","","","","","","",""
"6/27/2026","FULLERTON COLLEGE","11:00 AM","T1-(3rdB) -BULLDOG","7","T4- (3rdG) - DIABLO B","11","","","","","","","","","","",""
"6/27/2026","FULLERTON COLLEGE","12:00 PM","T2-(3rdC) - MID VALLEY","10","T3-(3rdE) - LA JOLLA A","11","","","","","","","","","","",""
"6/27/2026","FULLERTON COLLEGE","1:00 PM","S1-(3rdA) - TSUNAMI","5","S3 (3rdF) - SEASIDE","9","","","","","","","","","","",""
"6/27/2026","FULLERTON COLLEGE","2:00 PM","S2-(3rdD) -DAVIS","11","VS4 -(3rdH) - SOCAL GOLD","5","","","","","","","","","","",""
"6/27/2026","FULLERTON COLLEGE","3:00 PM","T1-(3rdB) -BULLDOG","7","T3-(3rdE) - LA JOLLA A","18","","","","","","","","","","",""
"6/27/2026","FULLERTON COLLEGE","4:00 PM","T2-(3rdC) - MID VALLEY","10","T4- (3rdG) - DIABLO B","8","","","","","","","","","","",""
"","LOCATION","","WHITE TEAM","","DARK TEAM","","COMMENTS","","","","","","","","","",""
"6/28/2026","CENTENNIAL HS","9:00 AM","WIN #11 - DIABLO A","10","WIN #12 - SBWPC A","12","1/2 W","","","","","","","","","",""
"6/28/2026","CENTENNIAL HS","10:00 AM","WIN #13 - REGENCY","10","WIN #14 - NEWPORT","12","1/2 X","","","","","","","","","",""
"6/28/2026","CENTENNIAL HS","3:00 PM","BB1-(2nd W) - DIABLO A","12","BB2-(2nd X) - REGENCY","16","3rd","","","","","","","","","",""
"6/28/2026","CENTENNIAL HS","4:00 PM","AA1-(1st W) - SBWPC A","13","AA2-(1st X) - NEWPORT","7","1st","","","","","","","","","",""
"","LOCATION","","WHITE TEAM","","DARK TEAM","","COMMENTS","","","","","","","","","",""
"6/28/2026","FULLERTON COLLEGE","8:00 AM","LOSE #11 - LAMORINDA","14","LOSE #12 - SD SHORES BLACK","10","3/4 W","","","","","","","","","",""
"6/28/2026","FULLERTON COLLEGE","9:00 AM","LOSE #13 - SOCAL BLACK","14","LOSE #14 - SBWPC B","5","3/4 X","","","","","","","","","",""
"6/28/2026","FULLERTON COLLEGE","10:00 AM","WIN #15 - STANFORD","12","WIN #16 - ROSE BOWL","11","1/2 Y","","","","","","","","","",""
"6/28/2026","FULLERTON COLLEGE","11:00 AM","WIN #17 - USA CADET","14","WIN #18 - CLOVIS","7","1/2 Z","","","","","","","","","",""
"6/28/2026","FULLERTON COLLEGE","12:00 PM","CC1-(3rd W)- LAMORINDA","7","CC2-(3rdX)- SOCAL BLACK","8","5th","","","","","","","","","",""
"6/28/2026","FULLERTON COLLEGE","1:00 PM","DD1-(4th W) - SD SHORES BLACK","8","DD2-(4th X) - SBWPC B","6","7th","","","","","","","","","",""
"6/28/2026","FULLERTON COLLEGE","2:00 PM","EE1-(1st Y) - STANFORD","11","EE2-(1st Z) -  USA CADET","21","9th","","","","","","","","","",""
"6/28/2026","FULLERTON COLLEGE","3:00 PM","FF1-(2nd Y) - ROSE BOWL","10","FF2-(2nd Z) - CLOVIS","12","11th","","","","","","","","","",""
"","LOCATION","","WHITE TEAM","","DARK TEAM","","COMMENTS","","","","","","","","","",""
"6/28/2026","FOOTHILL HS","8:00 AM","LOSE #15 - 680","6","LOSE #16 - GREENICH","12","3/4 Y","","","","","","","","","",""
"6/28/2026","FOOTHILL HS","9:00 AM","LOSE #17 - CHAWP WHITE","13","LOSE #18 - MISSION","12","3/4 Z","","","","","","","","","",""
"6/28/2026","FOOTHILL HS","10:00 AM","T1-(3rdB) -BULLDOG","3","T2-(3rdC) - MID VALLEY","9","","","","","","","","","","",""
"6/28/2026","FOOTHILL HS","11:00 AM","T3-(3rdE) - LA JOLLA A","11","T4- (3rdG) - DIABLO B","8","","","","","","","","","","",""
"6/28/2026","FOOTHILL HS","12:00 PM","LL1-(3rd Y)- GREENICH","11","LL2-(3rd Z)-CHAWP WHITE","12","13th","","","","","","","","","",""
"6/28/2026","FOOTHILL HS","1:00 PM","GG1-(4th Y) -  680","13","GG2-(4th Z) - MISSION","10","15th","","","","","","","","","",""
"6/28/2026","FOOTHILL HS","2:00 PM","HH1-(1st S)- SEASIDE","8","HH2-(1st T)- LA JOLLA A","16","17th","","","","","","","","","",""
"6/28/2026","FOOTHILL HS","3:00 PM","JJ1-(2nd S) - DAVIS","8.4","JJ2-(2nd T) - MID VALLEY","8.5","19th","","","","","","","","","",""
"","LOCATION","","WHITE TEAM","","DARK TEAM","","COMMENTS","","","","","","","","","",""
"6/28/2026","TUSTIN HS","8:00 AM","Q2 -(4thE)- CHAWP BLUE","6","Q5-(4thH)- SD SHORES GOLD","13","25-29 RR","","","","","","","","","",""
"6/28/2026","TUSTIN HS","9:00 AM","S1-(3rdA) - TSUNAMI","2","S2-(3rdD) -DAVIS","8","","","","","","","","","","",""
"6/28/2026","TUSTIN HS","10:00 AM","S3 (3rdF) - SEASIDE","7","S4 -(3rdH) - SOCAL GOLD","2","","","","","","","","","","",""
"6/28/2026","TUSTIN HS","11:00 AM","Q1-(4thD)- SBWPC C","9","Q2 -(4thE)- CHAWP BLUE","5","25-29 RR","","","","","","","","","",""
"6/28/2026","TUSTIN HS","12:00 PM","Q3-(4thF)-LA JOLLA B","22","Q4 -(4thG)- COMMERCE","5","25-29 RR","","","","","","","","","",""
"6/28/2026","TUSTIN HS","1:00 PM","KK1-(3rd S)- TSUNAMI","10","KK2-(3rd T)- DIABLO B","9","21st","","","","","","","","","",""
"6/28/2026","TUSTIN HS","2:00 PM","NN1-(4th S) - SOCAL GOLD","4","NN2-(4th T) - BULLDOG","7","23rd","","","","","","","","","",""
"6/28/2026","TUSTIN HS","3:00 PM","Q4 -(4thG)- COMMERCE","6","Q5-(4thH)- SD SHORES GOLD","16","25-29 RR","","","","","","","","","",""
"","LOCATION","","WHITE TEAM","","DARK TEAM","","COMMENTS","","","","","","","","","",""
"6/28/2026","EL MODENA HS","3:00 PM","Q1-(4thD)- SBWPC C","9","Q3-(4thF)-LA JOLLA B","6","25-29 RR","","","","","","","","","",""
