"DATE","LOCATION","TIME","WHITE TEAM","S","DARK TEAM","S","COMMENTS","","","","","","","","","",""
"6/26/2026","CORONA HS","4:15 PM","E1 - SOUTH COAST","15","E2 - CHAWP WHITE","9","","","","","","","","","","",""
"6/26/2026","CORONA HS","5:10 PM","F1 - TSUNAMI","7","F2 -  LA JOLLA","6","","","S","T","U ","","","","","",""
"","","","","","","","","","S1-(3rdA) - LAMORINDA B","T1-(3rdB) - ROSE BOWL","U1-(3rdC) - COMMERCE","","","","","",""
"","LOCATION","","WHITE TEAM","","DARK TEAM","","COMMENTS","","S2 (3rdF) - LA JOLLA ","T2-(3rdE) - SEASIDE","U2-(3rdD) - BULLDOG","","","","","",""
"6/27/2026","CENTENNIAL HS","8:00 AM","L1(1stD) - LAMORINDA A","8.5","L2(2ndC) - NEWPORT","8.4","","","S3 (3rdG) - FOOTHILL","T3 -(3rdH) - MID VALLEY","U3-(4thG)- TRILOGY","","","","","",""
"6/27/2026","CENTENNIAL HS","9:00 AM","K1(1stC) - STANFORD","11","K2(2ndD) - SBWPC B","7","","","S4-(4thH)- SD SHORES GOLD","","","","","","","",""
"6/27/2026","CENTENNIAL HS","10:00 AM","J1(1stB) -SBWPC A","14","J2(2ndA) - DIABLO","6","","","","","","","","","","",""
"6/27/2026","CENTENNIAL HS","11:00 AM","I1(1stA) - MISSION","22","I2(2ndB) - SD SHORES BLACK","11","","","","","","","","","","",""
"6/27/2026","CENTENNIAL HS","12:00 PM","W2-(1st L) - LAMORINDA A","14","W3-(1st M) - CHAWP","13","GAME #7","","W 1-8","X 1-8","","Y 9-16","Z 9-16","","","",""
"6/27/2026","CENTENNIAL HS","1:00 PM","X2-(1st K) - STANFORD","11","X3-(1st N) - SOUTH COAST","10","GAME #9","","W1-(1st I) -MISSION","X1-(1st J) - SBWPC A","","Y1-(2nd I) -  SD SHORES BLACK","Z1-(2nd J) -DIABLO","","","",""
"6/27/2026","CENTENNIAL HS","2:00 PM","X1-(1st J) - SBWPC A","8","X4-(1st O) - MERIDIAN","6","GAME #10","","W2-(1st L) - LAMORINDA A","X2-(1st K) - STANFORD","","Y2-(2nd L) - NEWPORT","Z2-(2nd K) - SBWPC B","","","",""
"6/27/2026","CENTENNIAL HS","3:00 PM","W1-(1st I) -MISSION","7.3","W4-(1st P) -  680","7.2","GAME #8","","W3-(1st M) - CHAWP","X3-(1st N) - SOUTH COAST","","Y3-(2nd M) - SOCAL","Z3-(2nd N) -TSUNAMI","","","",""
"6/27/2026","CENTENNIAL HS","4:00 PM","U2-(3rdD) - BULLDOG","14","U3-(4thG)- TRILOGY","2","","","W4-(1st P) -  680","X4-(1st O) - MERIDIAN","","Y4-(2nd P) - PATRIOT","Z4-(2nd O) - CIU","","","",""
"","LOCATION","","WHITE TEAM","","DARK TEAM","","COMMENTS","","","","","","","","","",""
"6/27/2026","CORONA HS","8:00 AM","U1-(3rdC) - COMMERCE","14","U3-(4thG)- TRILOGY","10","","","AA 1st","BB 3rd","CC 5th","DD 7th","","","","",""
"6/27/2026","CORONA HS","9:00 AM","M1(1stF) - SOCAL","8","M2(2ndE) - CHAWP","12","","","AA1-(1st W) - MISSION","BB1-(2nd W) - LAMORINDA A","CC1-(3rd W)- 680","DD1-(4th W) - CHAWP","","","","",""
"6/27/2026","CORONA HS","10:00 AM","N1(1stE) - SOUTH COAST","10","N2(2ndF) - TSUNAMI","5","","","AA2-(1st X) - SBWPC A","BB2-(2nd X) - STANFORD","CC2-(3rdX)- MERIDIAN","DD2-(4th X) - SOUTH COAST","","","","",""
"6/27/2026","CORONA HS","11:00 AM","O1(1stG) - MERIDIAN","12","O2(2ndH) - CIU","7","","","","","","","","","","",""
"6/27/2026","CORONA HS","12:00 PM","P1(1stH) -  680","12","P2(2ndG) -PATRIOT","6","","","","","","","","","","",""
"6/27/2026","CORONA HS","1:00 PM","U1-(3rdC) - COMMERCE","6","U2-(3rdD) - BULLDOG","18","","","EE 9th","FF 11th","LL 13th","GG 15th","","","","",""
"6/27/2026","CORONA HS","2:00 PM","Y2-(2nd L) - NEWPORT","14","Y3-(2nd M) - SOCAL","5","GAME #11","","EE1-(1st Y) -  NEWPORT","FF1-(2nd Y) -SD SHORES BLACK","LL1-(3rd Y)- PATRIOT","GG1-(4th Y) - SOCAL","","","","",""
"6/27/2026","CORONA HS","3:00 PM","Z2-(2nd K) - SBWPC B","13","Z3-(2nd N) -TSUNAMI","5","GAME #13","","EE2-(1st Z) - DIABLO","FF2-(2nd Z) - SBWPC B","LL2-(3rd Z)- TSNUAMI","GG2-(4th Z) - CIU","","","","",""
"6/27/2026","CORONA HS","4:00 PM","Z1-(2nd J) -DIABLO","9","Z4-(2nd O) - CIU","4","GAME #14","","","","","","","","","",""
"6/27/2026","CORONA HS","5:00 PM","Y1-(2nd I) -  SD SHORES BLACK","","Y4-(2nd P) - PATRIOT","7.4","GAME #12","","","","","","","","","",""
"","","","","","","","","","HH 17-19 RR","JJ 20-22 RR","KK 23-26","","","","","",""
"","LOCATION","","WHITE TEAM","","DARK TEAM","","COMMENTS","","HH1-(1st S)- LA JOLLA","JJ1-(2nd S) -LAMORINDA B","KK1-(3rd T)- SEASIDE","","","","","",""
"6/27/2026","EL MODENA HS","8:00 AM","T1-(3rdB) - ROSE BOWL","6","T3 -(3rdH) - MID VALLEY","8","","","HH2-(1st T)- MID VALLEY","JJ2-(2nd T) - ROSE BOWL","KK2-(3rd S)- FOOTHILL","","","","","",""
"6/27/2026","EL MODENA HS","9:00 AM","S1-(3rdA) - LAMORINDA B","16","S4-(4thH)- SD SHORES GOLD","2","GAME #15","","HH3-(1st U)- BULLDOG","JJ3-(2nd U) - COMMERCE","KK3-(3rd U)- TRILOGY","","","","","",""
"6/27/2026","EL MODENA HS","10:00 AM","S2 (3rdF) - LA JOLLA ","8","S3 (3rdG) - FOOTHILL","2","GAME #16","","","","KK4-(4th S) - SD SHORES GOLD","","","","","",""
"6/27/2026","EL MODENA HS","11:00 AM","T1-(3rdB) - ROSE BOWL","7","T2-(3rdE) - SEASIDE","4","","","","","","","","","","",""
"6/27/2026","EL MODENA HS","12:00 PM","LOSER #15 - SD SHORES GOLD","5","LOSER #16 - FOOTHILL","12","3/4 S","","","","","","","","","",""
"6/27/2026","EL MODENA HS","1:00 PM","WINNER #15 - LAMORINDA B","7","WINNER #16 - LA JOLLA","10","1/2 S","","","","","","","","","",""
"6/27/2026","EL MODENA HS","2:00 PM","T2-(3rdE) - SEASIDE","6","VT3 -(3rdH) - MID VALLEY","11","","","","","","","","","","",""
"","LOCATION","","WHITE TEAM","","DARK TEAM","","COMMENTS","","","","","","","","","",""
"6/28/2026","CENTENNIAL HS","1:00 PM","BB1-(2nd W) - LAMORINDA A","4.3","BB2-(2nd X) - STANFORD","4.2","3rd","","","","","","","","","",""
"6/28/2026","CENTENNIAL HS","2:00 PM","AA1-(1st W) - MISSION","9","AA2-(1st X) - SBWPC A","12","1st","","","","","","","","","",""
"","LOCATION","","WHITE TEAM","","DARK TEAM","","COMMENTS","","","","","","","","","",""
"6/28/2026","CORONA HS","8:00 AM","WIN #7 - LAMORINDA A","3","WIN #8 - MISSION","9","1/2 W","","","","","","","","","",""
"6/28/2026","CORONA HS","8:55 AM","WIN #9 - STANFORD","5","WIN #10 - SBWPC A","11","1/2 X","","","","","","","","","",""
"6/28/2026","CORONA HS","9:50 AM","LOSE #7 - CHAWP","3","LOSE #8 - 680","15","3/4 W","","","","","","","","","",""
"6/28/2026","CORONA HS","10:45 AM","LOSE #9 - SOUTH COAST","10","LOSE  #10 - MERIDIAN","12","3/4 X","","","","","","","","","",""
"6/28/2026","CORONA HS","11:40 AM","WIN #11 - NEWPORT","18","WIN #12 - SD SHORES BLACK","12","1/2 Y","","","","","","","","","",""
"6/28/2026","CORONA HS","12:35 PM","WIN #13 - SBWPC B","3","WIN #14 - DIABLO","10","1/2 Z","","","","","","","","","",""
"6/28/2026","CORONA HS","1:30 PM","CC1-(3rd W)- 680","8","CC2-(3rdX)- MERIDIAN","5","5th","","","","","","","","","",""
"6/28/2026","CORONA HS","2:25 PM","DD1-(4th W) - CHAWP","10","DD2-(4th X) - SOUTH COAST","14","7th","","","","","","","","","",""
"6/28/2026","CORONA HS","3:20 PM","EE1-(1st Y) -  NEWPORT","7","EE2-(1st Z) - DIABLO","9","9th","","","","","","","","","",""
"6/28/2026","CORONA HS","4:15 PM","FF1-(2nd Y) -SD SHORES BLACK","7","FF2-(2nd Z) - SBWPC B","9","11th","","","","","","","","","",""
"","LOCATION","","WHITE TEAM","","DARK TEAM","","COMMENTS","","","","","","","","","",""
"6/28/2026","NORCO HS","10:00 AM","LOSE #11 - SOCAL","8","LOSER #12 - PATRIOT","9","3/4 Y","","","","","","","","","",""
"6/28/2026","NORCO HS","11:00 AM","LOSE #13 - TSUNAMI","12","LOSE #14 - CIU","6","3/4 Z","","","","","","","","","",""
"6/28/2026","NORCO HS","2:00 PM","LL1-(3rd Y)- PATRIOT","8","LL2-(3rd Z)- TSNUAMI","6","13th","","","","","","","","","",""
"6/28/2026","NORCO HS","3:00 PM","GG1-(4th Y) - SOCAL","7.1","GG2-(4th Z) - CIU","7.3","15th","","","","","","","","","",""
"","LOCATION","","WHITE TEAM","","DARK TEAM","","COMMENTS","","","","","","","","","",""
"6/28/2026","EL MODENA HS","8:00 AM","HH1-(1st S)- LA JOLLA","3","HH3-(1st U)- BULLDOG","14","17-19 RR","","","","","","","","","",""
"6/28/2026","EL MODENA HS","9:00 AM","KK1-(3rd T)- SEASIDE","5","KK4-(4th S) - SD SHORES GOLD","0","GAME #17","","","","","","","","","",""
"6/28/2026","EL MODENA HS","10:00 AM","KK2-(3rd S)- FOOTHILL","8","KK3-(3rd U)- TRILOGY","5","GAME #18","","","","","","","","","",""
"6/28/2026","EL MODENA HS","11:00 AM","HH1-(1st S)- LA JOLLA","14","HH2-(1st T)- MID VALLEY","7","17-19 RR","","","","","","","","","",""
"6/28/2026","EL MODENA HS","12:00 PM","WIN #17 - SEASIDE","5","WIN #18 - FOOTHILL","12","23rd","","","","","","","","","",""
"6/28/2026","EL MODENA HS","1:00 PM","LOSE #17 - SD SHORES GOLD","0","LOSE #18 - TRILOGY","5","25th","","","","","","","","","",""
"6/28/2026","EL MODENA HS","2:00 PM","HH2-(1st T)- MID VALLEY","5","HH3-(1st U)- BULLDOG","14","17-19 RR","","","","","","","","","",""
"","LOCATION","","WHITE TEAM","","DARK TEAM","","COMMENTS","","","","","","","","","",""
"6/28/2026","LAKESIDE HS","8:00 AM","JJ1-(2nd S) -LAMORINDA B","15","JJ3-(2nd U) - COMMERCE","6","20-22 RR","","","","","","","","","",""
"6/28/2026","LAKESIDE HS","11:00 AM","JJ1-(2nd S) -LAMORINDA B","10","JJ2-(2nd T) - ROSE BOWL","13","20-22 RR","","","","","","","","","",""
"6/28/2026","LAKESIDE HS","1:00 PM","JJ2-(2nd T) - ROSE BOWL","10","JJ3-(2nd U) - COMMERCE","11","20-22 RR","","","","","","","","","",""
