Day 1,HOT! RESULTS,SUBMIT SCORES!,Quarter Lengths by Day,,,,,,,,
7/23/2026,1:40 PM,Group,CAPISTRANO VALLEY HS 1,34,W10,,W14,,ni_P2,58,16BQ-034
7/23/2026,2:30 PM,Group,CAPISTRANO VALLEY HS 1,38,L10,,L14,,54,cu_R2,16BQ-038
7/23/2026,3:20 PM,Group,CAPISTRANO VALLEY HS 1,42,W18,,W22,,ni_O2,54,16BQ-042
7/23/2026,4:10 PM,Group,CAPISTRANO VALLEY HS 1,46,L18,,L22,,58,cu_S2,16BQ-046
,BREAK,,,,,,,,,,
7/23/2026,5:50 PM,2-3 cross,CAPISTRANO VALLEY HS 1,50,L25,,W30,,ni_S3,cu_P1,16BQ-050
7/23/2026,6:40 PM,2-3 cross,CAPISTRANO VALLEY HS 1,54,L42,,W38,,ni_S2,cu_P2,16BQ-054
7/23/2026,7:30 PM,2-3 cross,CAPISTRANO VALLEY HS 1,58,L34,,W46,,ni_R2,cu_O2,16BQ-058
,,,,,,,,,,,
,,,TUSTIN HS 1,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/23/2026,7:00 AM,Group,TUSTIN HS 1,3,9-NORCAL TEAL,,40-SAND CANYON RED,,27,31,16BQ-003
7/23/2026,7:50 AM,Group,TUSTIN HS 1,7,16-CHAWP BLUE,,33-BLUE CRUSH,,27,31,16BQ-007
7/23/2026,8:40 AM,Group,TUSTIN HS 1,11,7-CMAC,,42-PALOS VERDES BLUE,,35,39,16BQ-011
7/23/2026,9:30 AM,Group,TUSTIN HS 1,15,18-DEVILS GATE,,31-SD SHORES WHITE,,35,39,16BQ-015
7/23/2026,10:20 AM,Group,TUSTIN HS 1,19,8-SMAC,,41-RAIN CITY,,43,47,16BQ-019
7/23/2026,11:10 AM,Group,TUSTIN HS 1,23,17-SACRAMENTO BLACK,,32-NWC,,43,47,16BQ-023
7/23/2026,12:00 PM,Group,TUSTIN HS 1,27,W3,,W7,,ni_M3,52,16BQ-027
7/23/2026,12:50 PM,Group,TUSTIN HS 1,31,L3,,L7,,51,cu_U1,16BQ-031
7/23/2026,1:40 PM,Group,TUSTIN HS 1,35,W11,,W15,,ni_N2,59,16BQ-035
7/23/2026,2:30 PM,Group,TUSTIN HS 1,39,L11,,L15,,55,cu_T2,16BQ-039
7/23/2026,3:20 PM,Group,TUSTIN HS 1,43,W19,,W23,,ni_M2,55,16BQ-043
7/23/2026,4:10 PM,Group,TUSTIN HS 1,47,L19,,L23,,59,cu_U2,16BQ-047
,BREAK,,,,,,,,,,
7/23/2026,5:50 PM,2-3 cross,TUSTIN HS 1,51,L28,,W31,,ni_T1,cu_M3,16BQ-051
7/23/2026,6:40 PM,2-3 cross,TUSTIN HS 1,55,L43,,W39,,ni_U2,cu_N2,16BQ-055
7/23/2026,7:30 PM,2-3 cross,TUSTIN HS 1,59,L35,,W47,,ni_T2,cu_M2,16BQ-059
,,,,,,,,,,,
,,,FULLERTON HS,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/23/2026,7:00 AM,Group,FULLERTON HS,4,10-SOCAL,,39-CHULA VISTA PREMIER,,28,32,16BQ-004
7/23/2026,7:50 AM,Group,FULLERTON HS,8,15-TEMPLE CITY YELLOW,,34-CC UNITED RED,,28,32,16BQ-008
7/23/2026,8:40 AM,Group,FULLERTON HS,12,11-AMERICAN RIVER GOLD,,38-NEWBERG,,36,40,16BQ-012
7/23/2026,9:30 AM,Group,FULLERTON HS,16,14-HIELAND,,35-CLOVIS B,,36,40,16BQ-016
7/23/2026,10:20 AM,Group,FULLERTON HS,20,12-VANGUARD WHITE,,37-BROOKLYN HUSTLE,,44,48,16BQ-020
7/23/2026,11:10 AM,Group,FULLERTON HS,24,13-LB SHORE BLACK,,36-LOYOLA,,44,48,16BQ-024
7/23/2026,12:00 PM,Group,FULLERTON HS,28,W4,,W8,,ni_N3,51,16BQ-028
7/23/2026,12:50 PM,Group,FULLERTON HS,32,L4,,L8,,52,cu_T1,16BQ-032
7/23/2026,1:40 PM,Group,FULLERTON HS,36,W12,,W16,,ni_O3,60,16BQ-036
7/23/2026,2:30 PM,Group,FULLERTON HS,40,L12,,L16,,56,cu_S1,16BQ-040
7/23/2026,3:20 PM,Group,FULLERTON HS,44,W20,,W24,,ni_P3,56,16BQ-044
7/23/2026,4:10 PM,Group,FULLERTON HS,48,L20,,L24,,60,cu_R1,16BQ-048
,,,,,,,,,,,
7/23/2026,5:50 PM,2-3 cross,FULLERTON HS,52,L27,,W32,,ni_U1,cu_N3,16BQ-052
7/23/2026,6:40 PM,2-3 cross,FULLERTON HS,56,L44,,W40,,ni_R1,cu_O3,16BQ-056
7/23/2026,7:30 PM,2-3 cross,FULLERTON HS,60,L36,,W48,,ni_S1,cu_P3,16BQ-060
,,,,,,,,,,,
Day 2,,,,,,,,,,,
7/24/2026,,,,,,,,,,,
,Nickel,,,,,,,,,,
,ni_M,ni_N,ni_O,ni_P,,,,,,,
1,W33,W41,W25,W26,,,,,,,
2,W43,W35,W42,W34,,,,,,,
3,W27,W28,W36,W44,,,,,,,
,,,,,,,,,,,
,ni_R,ni_S,ni_T,ni_U,,,,,,,
1,W56,W60,W51,W52,,,,,,,
2,W58,W54,W59,W55,,,,,,,
3,W49,W50,W53,W57,,,,,,,
,,,,,,,,,,,
,Copper,,,,,,,,,,
,cu_M,cu_N,cu_O,cu_P,,,,,,,
1,L53,L57,L49,L50,,,,,,,
2,L59,L55,L58,L54,,,,,,,
3,L51,L52,L56,L60,,,,,,,
,,,,,,,,,,,
,cu_R,cu_S,cu_T,cu_U,,,,,,,
1,L48,L40,L32,L31,,,,,,,
2,L38,L46,L39,L47,,,,,,,
3,L30,L29,L45,L37,,,,,,,
,,,,,,,,,,,
,,,GOLDEN WEST COLLEGE 1,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/24/2026,7:00 AM,Group,GOLDEN WEST COLLEGE 1,61,ni_M2,,ni_M3,,,,16BQ-061
7/24/2026,7:50 AM,Group,GOLDEN WEST COLLEGE 1,65,ni_N2,,ni_N3,,,,16BQ-065
7/24/2026,8:40 AM,Group,GOLDEN WEST COLLEGE 1,69,ni_S1,,ni_S2,,,,16BQ-069
7/24/2026,9:30 AM,Group,GOLDEN WEST COLLEGE 1,73,ni_R1,,ni_R2,,,,16BQ-073
7/24/2026,10:20 AM,Group,GOLDEN WEST COLLEGE 1,77,ni_M1,,ni_M3,,,,16BQ-077
7/24/2026,11:10 AM,Group,GOLDEN WEST COLLEGE 1,81,ni_N1,,ni_N3,,,,16BQ-081
7/24/2026,12:00 PM,Group,GOLDEN WEST COLLEGE 1,85,ni_S1,,ni_S3,,,,16BQ-085
7/24/2026,12:50 PM,Group,GOLDEN WEST COLLEGE 1,89,ni_R1,,ni_R3,,,,16BQ-089
7/24/2026,1:40 PM,Group,GOLDEN WEST COLLEGE 1,93,ni_M1,,ni_M2,,,,16BQ-093
7/24/2026,2:30 PM,Group,GOLDEN WEST COLLEGE 1,97,ni_N1,,ni_N2,,,,16BQ-097
7/24/2026,3:20 PM,Group,GOLDEN WEST COLLEGE 1,101,ni_S2,,ni_S3,,,,16BQ-101
7/24/2026,4:10 PM,Group,GOLDEN WEST COLLEGE 1,105,ni_R2,,ni_R3,,,,16BQ-105
,BREAK,,,,,,,,,,
`,BREAK,,,,,,,,,,
7/24/2026,6:40 PM,Play-in,GOLDEN WEST COLLEGE 1,109,3rd ni_M-,,1st ni_S-,,129,134,16BQ-109
7/24/2026,7:30 PM,Play-in,GOLDEN WEST COLLEGE 1,113,3rd ni_N-,,1st ni_R-,,121,126,16BQ-113
,,,,,,,,,,,
,,,PORTOLA HS 1,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/24/2026,7:00 AM,Group,PORTOLA HS 1,62,ni_O2,,ni_O3,,,,16BQ-062
7/24/2026,7:50 AM,Group,PORTOLA HS 1,66,ni_P2,,ni_P3,,,,16BQ-066
7/24/2026,8:40 AM,Group,PORTOLA HS 1,70,ni_U1,,ni_U2,,,,16BQ-070
7/24/2026,9:30 AM,Group,PORTOLA HS 1,74,ni_T1,,ni_T2,,,,16BQ-074
7/24/2026,10:20 AM,Group,PORTOLA HS 1,78,ni_O1,,ni_O3,,,,16BQ-078
7/24/2026,11:10 AM,Group,PORTOLA HS 1,82,ni_P1,,ni_P3,,,,16BQ-082
7/24/2026,12:00 PM,Group,PORTOLA HS 1,86,ni_U1,,ni_U3,,,,16BQ-086
7/24/2026,12:50 PM,Group,PORTOLA HS 1,90,ni_T1,,ni_T3,,,,16BQ-090
7/24/2026,1:40 PM,Group,PORTOLA HS 1,94,ni_O1,,ni_O2,,,,16BQ-094
7/24/2026,2:30 PM,Group,PORTOLA HS 1,98,ni_P1,,ni_P2,,,,16BQ-098
7/24/2026,3:20 PM,Group,PORTOLA HS 1,102,ni_U2,,ni_U3,,,,16BQ-102
7/24/2026,4:10 PM,Group,PORTOLA HS 1,106,ni_T2,,ni_T3,,,,16BQ-106
,BREAK,,,,,,,,,,
`,BREAK,,,,,,,,,,
7/24/2026,6:40 PM,Play-in,PORTOLA HS 1,110,3rd ni_O-,,1st ni_U-,,117,138,16BQ-110
7/24/2026,7:30 PM,Play-in,PORTOLA HS 1,114,3rd ni_P-,,1st ni_T-,,125,130,16BQ-114
,,,,,,,,,,,
,,,CAPISTRANO VALLEY HS 1,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/24/2026,7:00 AM,Group,CAPISTRANO VALLEY HS 1,63,cu_S1,,cu_S2,,,,16BQ-063
7/24/2026,7:50 AM,Group,CAPISTRANO VALLEY HS 1,67,cu_R1,,cu_R2,,,,16BQ-067
7/24/2026,8:40 AM,Group,CAPISTRANO VALLEY HS 1,71,cu_M2,,cu_M3,,,,16BQ-071
7/24/2026,9:30 AM,Group,CAPISTRANO VALLEY HS 1,75,cu_N2,,cu_N3,,,,16BQ-075
7/24/2026,10:20 AM,Group,CAPISTRANO VALLEY HS 1,79,cu_S1,,cu_S3,,,,16BQ-079
7/24/2026,11:10 AM,Group,CAPISTRANO VALLEY HS 1,83,cu_R1,,cu_R3,,,,16BQ-083
7/24/2026,12:00 PM,Group,CAPISTRANO VALLEY HS 1,87,cu_M1,,cu_M3,,,,16BQ-087
7/24/2026,12:50 PM,Group,CAPISTRANO VALLEY HS 1,91,cu_N1,,cu_N3,,,,16BQ-091
7/24/2026,1:40 PM,Group,CAPISTRANO VALLEY HS 1,95,cu_S2,,cu_S3,,,,16BQ-095
7/24/2026,2:30 PM,Group,CAPISTRANO VALLEY HS 1,99,cu_R2,,cu_R3,,,,16BQ-099
7/24/2026,3:20 PM,Group,CAPISTRANO VALLEY HS 1,103,cu_M1,,cu_M2,,,,16BQ-103
7/24/2026,4:10 PM,Group,CAPISTRANO VALLEY HS 1,107,cu_N1,,cu_N2,,,,16BQ-107
,BREAK,,,,,,,,,,
,BREAK,,,,,,,,,,
7/24/2026,6:40 PM,Play-in,CAPISTRANO VALLEY HS 1,111,3rd cu_M-,,1st cu_S-,,131,136,16BQ-111
7/24/2026,7:30 PM,Play-in,CAPISTRANO VALLEY HS 1,115,3rd cu_N-,,1st cu_R-,,123,128,16BQ-115
,,,,,,,,,,,
,,,BECKMAN HS 1,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/24/2026,7:00 AM,Group,BECKMAN HS 1,64,cu_U1,,cu_U2,,,,16BQ-064
7/24/2026,7:50 AM,Group,BECKMAN HS 1,68,cu_T1,,cu_T2,,,,16BQ-068
7/24/2026,8:40 AM,Group,BECKMAN HS 1,72,cu_O2,,cu_O3,,,,16BQ-072
7/24/2026,9:30 AM,Group,BECKMAN HS 1,76,cu_P2,,cu_P3,,,,16BQ-076
7/24/2026,10:20 AM,Group,BECKMAN HS 1,80,cu_U1,,cu_U3,,,,16BQ-080
7/24/2026,11:10 AM,Group,BECKMAN HS 1,84,cu_T1,,cu_T3,,,,16BQ-084
7/24/2026,12:00 PM,Group,BECKMAN HS 1,88,cu_O1,,cu_O3,,,,16BQ-088
7/24/2026,12:50 PM,Group,BECKMAN HS 1,92,cu_P1,,cu_P3,,,,16BQ-092
7/24/2026,1:40 PM,Group,BECKMAN HS 1,96,cu_U2,,cu_U3,,,,16BQ-096
7/24/2026,2:30 PM,Group,BECKMAN HS 1,100,cu_T2,,cu_T3,,,,16BQ-100
7/24/2026,3:20 PM,Group,BECKMAN HS 1,104,cu_O1,,cu_O2,,,,16BQ-104
7/24/2026,4:10 PM,Group,BECKMAN HS 1,108,cu_P1,,cu_P2,,,,16BQ-108
,BREAK,,,,,,,,,,
,BREAK,,,,,,,,,,
7/24/2026,6:40 PM,Play-in,BECKMAN HS 1,112,3rd cu_O-,,1st cu_U-,,119,140,16BQ-112
7/24/2026,7:30 PM,Play-in,BECKMAN HS 1,116,3rd cu_P-,,1st cu_T-,,127,132,16BQ-116
,,,,,,,,,,,
Day 3,,,,,,,,,,,
7/25/2026,,,,,,,,,,,
,,,GOLDEN WEST COLLEGE 1,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/25/2026,8:00 AM,5-8 v 9-12,GOLDEN WEST COLLEGE 1,117,2nd ni_P-,,W110,,141,149,16BQ-117
7/25/2026,9:00 AM,5-8 v 9-12,GOLDEN WEST COLLEGE 1,121,2nd ni_M-,,W113,,141,149,16BQ-121
7/25/2026,10:00 AM,5-8 v 9-12,GOLDEN WEST COLLEGE 1,125,2nd ni_O-,,W114,,145,153,16BQ-125
7/25/2026,11:00 AM,5-8 v 9-12,GOLDEN WEST COLLEGE 1,129,2nd ni_N-,,W109,,145,153,16BQ-129
7/25/2026,12:00 PM,1-2 v 3-4,GOLDEN WEST COLLEGE 1,133,1st ni_N-,,1st ni_O-,,174,157,16BQ-133
7/25/2026,1:00 PM,1-2 v 3-4,GOLDEN WEST COLLEGE 1,137,1st ni_M-,,1st ni_P-,,173,161,16BQ-137
7/25/2026,2:00 PM,5-6 v 7-8,GOLDEN WEST COLLEGE 1,141,W117,,W121,,157,185,16BQ-141
7/25/2026,3:00 PM,5-6 v 7-8,GOLDEN WEST COLLEGE 1,145,W125,,W129,,161,185,16BQ-145
7/25/2026,4:00 PM,9-12 semi,GOLDEN WEST COLLEGE 1,149,L121,,L117,,182,181,16BQ-149
7/25/2026,5:00 PM,9-12 semi,GOLDEN WEST COLLEGE 1,153,L129,,L125,,182,181,16BQ-153
7/25/2026,6:00 PM,play to semi,GOLDEN WEST COLLEGE 1,157,L133,,W141,,173,186,16BQ-157
7/25/2026,7:00 PM,play to semi,GOLDEN WEST COLLEGE 1,161,L137,,W145,,174,186,16BQ-161
,,,,,,,,,,,
,,,TUSTIN HS 1,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/25/2026,8:00 AM,21-24 RR,TUSTIN HS 1,118,3rd ni_U-,,3rd ni_R-,,,,16BQ-118
7/25/2026,9:00 AM,21-24 RR,TUSTIN HS 1,122,3rd ni_T-,,3rd ni_S-,,,,16BQ-122
7/25/2026,10:00 AM,13-20 qtr,TUSTIN HS 1,126,L113,,2nd ni_U-,,150,154,16BQ-126
7/25/2026,11:00 AM,13-20 qtr,TUSTIN HS 1,130,L114,,2nd ni_S-,,150,154,16BQ-130
7/25/2026,12:00 PM,13-20 qtr,TUSTIN HS 1,134,L109,,2nd ni_T-,,158,162,16BQ-134
7/25/2026,1:00 PM,13-20 qtr,TUSTIN HS 1,138,L110,,2nd ni_R-,,158,162,16BQ-138
7/25/2026,2:00 PM,21-24 RR,TUSTIN HS 1,142,3rd ni_U-,,3rd ni_S-,,,,16BQ-142
7/25/2026,3:00 PM,21-24 RR,TUSTIN HS 1,146,3rd ni_T-,,3rd ni_R-,,,,16BQ-146
7/25/2026,4:00 PM,13-16 semi,TUSTIN HS 1,150,W126,,W130,,178,177,16BQ-150
7/25/2026,5:00 PM,17-20 semi,TUSTIN HS 1,154,L130,,L126,,170,169,16BQ-154
7/25/2026,6:00 PM,13-16 semi,TUSTIN HS 1,158,W134,,W138,,178,177,16BQ-158
7/25/2026,7:00 PM,17-20 semi,TUSTIN HS 1,162,L138,,L134,,170,169,16BQ-162
,,,,,,,,,,,
,,,BECKMAN HS 1,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/25/2026,8:00 AM,5-8 v 9-12,BECKMAN HS 1,119,2nd cu_P-,,W112,,143,151,16BQ-119
7/25/2026,9:00 AM,5-8 v 9-12,BECKMAN HS 1,123,2nd cu_M-,,W115,,143,151,16BQ-123
7/25/2026,10:00 AM,5-8 v 9-12,BECKMAN HS 1,127,2nd cu_O-,,W116,,147,155,16BQ-127
7/25/2026,11:00 AM,5-8 v 9-12,BECKMAN HS 1,131,2nd cu_N-,,W111,,147,155,16BQ-131
7/25/2026,12:00 PM,1-2 v 3-4,BECKMAN HS 1,135,1st cu_N-,,1st cu_O-,,172,159,16BQ-135
7/25/2026,1:00 PM,1-2 v 3-4,BECKMAN HS 1,139,1st cu_M-,,1st cu_P-,,171,163,16BQ-139
7/25/2026,2:00 PM,5-6 v 7-8,BECKMAN HS 1,143,W119,,W123,,159,188,16BQ-143
7/25/2026,3:00 PM,5-6 v 7-8,BECKMAN HS 1,147,W127,,W131,,163,188,16BQ-147
7/25/2026,4:00 PM,9-12 semi,BECKMAN HS 1,151,L123,,L119,,183,184,16BQ-151
7/25/2026,5:00 PM,9-12 semi,BECKMAN HS 1,155,L131,,L127,,183,184,16BQ-155
7/25/2026,6:00 PM,play to semi,BECKMAN HS 1,159,L135,,W143,,171,187,16BQ-159
7/25/2026,7:00 PM,play to semi,BECKMAN HS 1,163,L139,,W147,,172,187,16BQ-163
,,,,,,,,,,,
,,,CAPISTRANO VALLEY HS 1,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/25/2026,8:00 AM,21-24 RR,CAPISTRANO VALLEY HS 1,120,3rd cu_U-,,3rd cu_R-,,,,16BQ-120
7/25/2026,9:00 AM,21-24 RR,CAPISTRANO VALLEY HS 1,124,3rd cu_T-,,3rd cu_S-,,,,16BQ-124
7/25/2026,10:00 AM,13-20 qtr,CAPISTRANO VALLEY HS 1,128,L115,,2nd cu_U-,,152,156,16BQ-128
7/25/2026,11:00 AM,13-20 qtr,CAPISTRANO VALLEY HS 1,132,L116,,2nd cu_S-,,152,156,16BQ-132
7/25/2026,12:00 PM,13-20 qtr,CAPISTRANO VALLEY HS 1,136,L111,,2nd cu_T-,,160,164,16BQ-136
7/25/2026,1:00 PM,13-20 qtr,CAPISTRANO VALLEY HS 1,140,L112,,2nd cu_R-,,160,164,16BQ-140
7/25/2026,2:00 PM,21-24 RR,CAPISTRANO VALLEY HS 1,144,3rd cu_U-,,3rd cu_S-,,,,16BQ-144
7/25/2026,3:00 PM,21-24 RR,CAPISTRANO VALLEY HS 1,148,3rd cu_T-,,3rd cu_R-,,,,16BQ-148
7/25/2026,4:00 PM,13-16 semi,CAPISTRANO VALLEY HS 1,152,W128,,W132,,179,180,16BQ-152
7/25/2026,5:00 PM,17-20 semi,CAPISTRANO VALLEY HS 1,156,L132,,L128,,175,176,16BQ-156
7/25/2026,6:00 PM,13-16 semi,CAPISTRANO VALLEY HS 1,160,W136,,W140,,179,180,16BQ-160
7/25/2026,7:00 PM,17-20 semi,CAPISTRANO VALLEY HS 1,164,L140,,L136,,175,176,16BQ-164
,,,,,,,,,,,
Day 4,,,,,,,,,,,
7/26/2026,,,,,,,,,,ni_,cu_
,,,TUSTIN HS 1,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/26/2026,7:00 AM,21-24 RR,TUSTIN HS 1,165,3rd ni_T-,,3rd ni_U-,,,,16BQ-165
7/26/2026,8:00 AM,21-24 RR,TUSTIN HS 1,166,3rd ni_R-,,3rd ni_S-,,,,16BQ-166
7/26/2026,9:00 AM,19th,TUSTIN HS 1,169,L154,,L162,,ni_19th,ni_20th,16BQ-169
7/26/2026,10:00 AM,17th,TUSTIN HS 1,170,W154,,W162,,ni_17th,ni_18th,16BQ-170
7/26/2026,11:00 AM,15th,TUSTIN HS 1,177,L150,,L158,,ni_15th,ni_16th,16BQ-177
7/26/2026,12:00 PM,13th,TUSTIN HS 1,178,W150,,W158,,ni_13th,ni_14th,16BQ-178
,,,,,,,,,,,
,,,CAPISTRANO VALLEY HS 1,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/26/2026,7:00 AM,21-24 RR,CAPISTRANO VALLEY HS 1,168,3rd cu_R-,,3rd cu_S-,,,,16BQ-168
7/26/2026,8:00 AM,5th,CAPISTRANO VALLEY HS 1,187,L159,,L163,,cu_5th,cu_6th,16BQ-187
7/26/2026,9:00 AM,7th,CAPISTRANO VALLEY HS 1,188,L143,,L147,,cu_7th,cu_8th,16BQ-188
7/26/2026,10:00 AM,9th,CAPISTRANO VALLEY HS 1,183,W151,,W155,,cu_9th,cu_10th,16BQ-183
7/26/2026,11:00 AM,11th,CAPISTRANO VALLEY HS 1,184,L151,,L155,,cu_11th,cu_12th,16BQ-184
7/26/2026,12:00 PM,13th,CAPISTRANO VALLEY HS 1,179,W152,,W160,,cu_13th,cu_14th,16BQ-179
7/26/2026,1:00 PM,15th,CAPISTRANO VALLEY HS 1,180,L152,,L160,,cu_15th,cu_16th,16BQ-180
,,,,,,,,,,,
,,,GOLDEN WEST COLLEGE 1,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/26/2026,7:00 AM,21-24 RR,GOLDEN WEST COLLEGE 1,167,3rd cu_T-,,3rd cu_U-,,,,16BQ-167
7/26/2026,8:00 AM,19th,GOLDEN WEST COLLEGE 1,176,L156,,L164,,cu_19th,cu_20th,16BQ-176
7/26/2026,9:00 AM,17th,GOLDEN WEST COLLEGE 1,175,W156,,W164,,cu_17th,cu_18th,16BQ-175
7/26/2026,10:00 AM,5th,GOLDEN WEST COLLEGE 1,186,L157,,L161,,ni_5th,ni_6th,16BQ-186
7/26/2026,11:00 AM,7th,GOLDEN WEST COLLEGE 1,185,L141,,L145,,ni_7th,ni_8th,16BQ-185
7/26/2026,12:00 PM,9th,GOLDEN WEST COLLEGE 1,182,W149,,W153,,ni_9th,ni_10th,16BQ-182
