Day 1,HOT! RESULTS,SUBMIT SCORES!,Quarter Lengths by Day,,,,,,,,
7/23/2026,,,6-6-7-7,,,,,,,,
,,,Seeds,,,,,,,,
A,B,C,D,,,,,,,,
A1(1)-CHAWP BLUE,B1(2)-TROJAN GOLD,C1(3)-TEAM SANTA MONICA,D1(4)-NSD STARS,,,,,,,,
A2(16)-NGEN,B2(15)-KERN PREMIER,C2(14)-LAMORINDA BRENTWOOD,D2(13)-SOVA,,,,,,,,
A3(17)-TRI VALLEY TRITONS,B3(18)-AMP,C3(19)-SAN JOSE ALMADEN,D3(20)-TRILOGY,,,,,,,,
,,,,,,,,,,,
E,F,G,H,,,,,,,,
E1(5)-FOOTHILL BLACK B,F1(6)-YETI,G1(7)-SACRAMENTO,H1(8)-SOUTH COUNTY,,,,,,,,
E2(12)-TRI VALLEY,F2(11)-PAC ORANGE,G2(10)-BIG VALLEY,H2(9)-ROUTE 66,,,,,,,,
E3(21)-TUALATIN HILLS,F3(22)-ECA,G3(23)-SFV,H3(24)-VALLEY UNITED,,,,,,,,
,,,,,,,,,,,18BQ
,,,,,,,,,,,
,,,ANAHEIM HS,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/25/2026,11:00 AM,5-8 v 9-12,YORBA LINDA HS,59,2nd ni_B-,,3rd ni_A-,,67,71,18BQ-059
7/25/2026,12:00 PM,1-2 v 3-4,YORBA LINDA HS,61,1st ni_B-,,1st ni_C-,,80,73,18BQ-061
7/25/2026,1:00 PM,5-6 v 7-8,YORBA LINDA HS,63,W53,,W55,,73,85,18BQ-063
7/25/2026,2:00 PM,1-2 v 3-4,YORBA LINDA HS,65,1st ni_A-,,1st ni_D-,,79,75,18BQ-065
7/25/2026,3:00 PM,5-6 v 7-8,YORBA LINDA HS,67,W57,,W59,,75,85,18BQ-067
7/25/2026,4:00 PM,9-12 semi,YORBA LINDA HS,69,L55,,L53,,82,81,18BQ-069
7/25/2026,5:00 PM,9-12 semi,YORBA LINDA HS,71,L59,,L57,,82,81,18BQ-071
7/25/2026,6:00 PM,qtr final,YORBA LINDA HS,73,L61,,W63,,79,86,18BQ-073
7/25/2026,7:00 PM,qtr final,YORBA LINDA HS,75,L65,,W67,,80,86,18BQ-075
,,,,,,,,,,,
,,,LA SERNA HS,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/25/2026,8:00 AM,5-8 v 9-12,LA SERNA HS,54,2nd cu_D-,,3rd cu_C-,,64,70,18BQ-054
7/25/2026,9:00 AM,5-8 v 9-12,LA SERNA HS,56,2nd cu_A-,,3rd cu_B-,,64,70,18BQ-056
7/25/2026,10:00 AM,5-8 v 9-12,LA SERNA HS,58,2nd cu_C-,,3rd cu_D-,,68,72,18BQ-058
7/25/2026,11:00 AM,5-8 v 9-12,LA SERNA HS,60,2nd cu_B-,,3rd cu_A-,,68,72,18BQ-060
7/25/2026,12:00 PM,1-2 v 3-4,LA SERNA HS,62,1st cu_B-,,1st cu_C-,,78,74,18BQ-062
7/25/2026,1:00 PM,5-6 v 7-8,LA SERNA HS,64,W54,,W56,,74,88,18BQ-064
7/25/2026,2:00 PM,1-2 v 3-4,LA SERNA HS,66,1st cu_A-,,1st cu_D-,,77,76,18BQ-066
7/25/2026,3:00 PM,5-6 v 7-8,LA SERNA HS,68,W58,,W60,,76,88,18BQ-068
7/25/2026,4:00 PM,9-12 semi,LA SERNA HS,70,L56,,L54,,83,84,18BQ-070
7/25/2026,5:00 PM,9-12 semi,LA SERNA HS,72,L60,,L58,,83,84,18BQ-072
7/25/2026,6:00 PM,qtr final,LA SERNA HS,74,L62,,W64,,77,87,18BQ-074
7/25/2026,7:00 PM,qtr final,LA SERNA HS,76,L66,,W68,,78,87,18BQ-076
,,,,,,,,,,,
Day 4,,,,,,,,,,,
7/26/2026,,,,,,,,,,ni_,cu_
,,,YORBA LINDA HS,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/26/2026,7:00 AM,semi,YORBA LINDA HS,77,W66,,W74,,90,89,18BQ-077
7/26/2026,8:00 AM,semi,YORBA LINDA HS,78,W62,,W76,,90,89,18BQ-078
7/26/2026,9:00 AM,semi,YORBA LINDA HS,79,W65,,W73,,92,91,18BQ-079
7/26/2026,10:00 AM,semi,YORBA LINDA HS,80,W61,,W75,,92,91,18BQ-080
7/26/2026,11:00 AM,3rd,YORBA LINDA HS,89,L77,,L78,,cu_3rd,cu_4th,18BQ-089
7/26/2026,12:00 PM,1st,YORBA LINDA HS,90,W77,,W78,,cu_1st,cu_2nd,18BQ-090
7/26/2026,1:00 PM,3rd,YORBA LINDA HS,91,L79,,L80,,ni_3rd,ni_4th,18BQ-091
7/26/2026,2:00 PM,1st,YORBA LINDA HS,92,W79,,W80,,ni_1st,ni_2nd,18BQ-092
,,,,,,,,,,,
,,,LA SERNA HS,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/26/2026,7:00 AM,11th,LA SERNA HS,81,L69,,L71,,ni_11th,ni_12th,18BQ-081
7/26/2026,8:00 AM,9th,LA SERNA HS,82,W69,,W71,,ni_9th,ni_10th,18BQ-082
7/26/2026,9:00 AM,7th,LA SERNA HS,85,L63,,L67,,ni_7th,ni_8th,18BQ-085
7/26/2026,10:00 AM,5th,LA SERNA HS,86,L73,,L75,,ni_5th,ni_6th,18BQ-086
7/26/2026,11:00 AM,5th,LA SERNA HS,87,L74,,L76,,cu_5th,cu_6th,18BQ-087
7/26/2026,12:00 PM,7th,LA SERNA HS,88,L64,,L68,,cu_7th,cu_8th,18BQ-088
7/26/2026,1:00 PM,9th,LA SERNA HS,83,W70,,W72,,cu_9th,cu_10th,18BQ-083
7/26/2026,2:00 PM,11th,LA SERNA HS,84,L70,,L72,,cu_11th,cu_12th,18BQ-084
,,,,,,,,,,,
ni_Place,,cu_Place,,,,,,,,,
1st,W92,1st,W90,,,,,,,,
2nd,L92,2nd,L90,,,,,,,,
3rd,W91,3rd,W89,,,,,,,,
4th,L91,4th,L89,,,,,,,,
5th,W86,5th,W87,,,,,,,,
6th,L86,6th,L87,,,,,,,,
7th,W85,7th,W88,,,,,,,,
8th,L85,8th,L88,,,,,,,,
9th,W82,9th,W83,,,,,,,,
10th,L82,10th,L83,,,,,,,,
11th,W81,11th,W84,,,,,,,,
12th,L81,11th,L84,,,,,,,,
