Day 1,HOT! RESULTS,SUBMIT SCORES!,Quarter Lengths by Day,,,,,,,,
7/23/2026,2:30 PM,Group,SAN JUAN HILLS HS,39,L11,,L15,,55,bz_T2,16BX-039
7/23/2026,3:20 PM,Group,SAN JUAN HILLS HS,43,W19,,W23,,ag_M2,55,16BX-043
7/23/2026,4:10 PM,Group,SAN JUAN HILLS HS,47,L19,,L23,,59,bz_U2,16BX-047
,BREAK,,,,,,,,,,
7/23/2026,5:50 PM,2-3 cross,SAN JUAN HILLS HS,51,L28,,W31,,ag_T1,bz_M3,16BX-051
7/23/2026,6:40 PM,2-3 cross,SAN JUAN HILLS HS,55,L43,,W39,,ag_U2,bz_N2,16BX-055
7/23/2026,7:30 PM,2-3 cross,SAN JUAN HILLS HS,59,L35,,W47,,ag_T2,bz_M2,16BX-059
,,,,,,,,,,,
,,,PORTOLA HS 1,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/23/2026,7:00 AM,Group,PORTOLA HS 1,4,10-VANGUARD SILVER,,39-WCAC UNITED A,,28,32,16BX-004
7/23/2026,7:50 AM,Group,PORTOLA HS 1,8,15-TROJAN GOLD,,34-SAN JOSE EXPRESS BLUE,,28,32,16BX-008
7/23/2026,8:40 AM,Group,PORTOLA HS 1,12,11-PALOS VERDES BLACK,,38-PUGET SOUND,,36,40,16BX-012
7/23/2026,9:30 AM,Group,PORTOLA HS 1,16,14-SD SHORES GOLD,,35-VEGAS PATRIOT,,36,40,16BX-016
7/23/2026,10:20 AM,Group,PORTOLA HS 1,20,12-CAL REPUBLIC,,37-BACK BAY,,44,48,16BX-020
7/23/2026,11:10 AM,Group,PORTOLA HS 1,24,13-DIABLO ALLIANCE,,36-OCWPC,,44,48,16BX-024
7/23/2026,12:00 PM,Group,PORTOLA HS 1,28,W4,,W8,,ag_N3,51,16BX-028
7/23/2026,12:50 PM,Group,PORTOLA HS 1,32,L4,,L8,,52,bz_T1,16BX-032
7/23/2026,1:40 PM,Group,PORTOLA HS 1,36,W12,,W16,,ag_O3,60,16BX-036
7/23/2026,2:30 PM,Group,PORTOLA HS 1,40,L12,,L16,,56,bz_S1,16BX-040
7/23/2026,3:20 PM,Group,PORTOLA HS 1,44,W20,,W24,,ag_P3,56,16BX-044
7/23/2026,4:10 PM,Group,PORTOLA HS 1,48,L20,,L24,,60,bz_R1,16BX-048
,BREAK,,,,,,,,,,
7/23/2026,5:50 PM,2-3 cross,PORTOLA HS 1,52,L27,,W32,,ag_U1,bz_N3,16BX-052
7/23/2026,6:40 PM,2-3 cross,PORTOLA HS 1,56,L44,,W40,,ag_R1,bz_O3,16BX-056
7/23/2026,7:30 PM,2-3 cross,PORTOLA HS 1,60,L36,,W48,,ag_S1,bz_P3,16BX-060
,,,,,,,,,,,
Day 2,,,,,,,,,,,
7/24/2026,,,,,,,,,,,
,Platinum,,,,,,,,,,
,ag_M,ag_N,ag_O,ag_P,,,,,,,
1,W33,W41,W25,W26,,,,,,,
2,W43,W35,W42,W34,,,,,,,
3,W27,W28,W36,W44,,,,,,,
,,,,,,,,,,,
,ag_R,ag_S,ag_T,ag_U,,,,,,,
1,W56,W60,W51,W52,,,,,,,
2,W58,W54,W59,W55,,,,,,,
3,W49,W50,W53,W57,,,,,,,
,,,,,,,,,,,
,Gold,,,,,,,,,,
,bz_M,bz_N,bz_O,bz_P,,,,,,,
1,L53,L57,L49,L50,,,,,,,
2,L59,L55,L58,L54,,,,,,,
3,L51,L52,L56,L60,,,,,,,
,,,,,,,,,,,
,bz_R,bz_S,bz_T,bz_U,,,,,,,
1,L48,L40,L32,L31,,,,,,,
2,L38,L46,L39,L47,,,,,,,
3,L30,L29,L45,L37,,,,,,,
,,,,,,,,,,,
,,,ORANGE COAST COLLEGE 1,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/24/2026,7:00 AM,Group,ORANGE COAST COLLEGE 1,61,ag_M2,,ag_M3,,,,16BX-061
7/24/2026,7:50 AM,Group,ORANGE COAST COLLEGE 1,65,ag_N2,,ag_N3,,,,16BX-065
7/24/2026,8:40 AM,Group,ORANGE COAST COLLEGE 1,69,ag_S1,,ag_S2,,,,16BX-069
7/24/2026,9:30 AM,Group,ORANGE COAST COLLEGE 1,73,ag_R1,,ag_R2,,,,16BX-073
7/24/2026,10:20 AM,Group,ORANGE COAST COLLEGE 1,77,ag_M1,,ag_M3,,,,16BX-077
7/24/2026,11:10 AM,Group,ORANGE COAST COLLEGE 1,81,ag_N1,,ag_N3,,,,16BX-081
7/24/2026,12:00 PM,Group,ORANGE COAST COLLEGE 1,85,ag_S1,,ag_S3,,,,16BX-085
7/24/2026,12:50 PM,Group,ORANGE COAST COLLEGE 1,89,ag_R1,,ag_R3,,,,16BX-089
7/24/2026,1:40 PM,Group,ORANGE COAST COLLEGE 1,93,ag_M1,,ag_M2,,,,16BX-093
7/24/2026,2:30 PM,Group,ORANGE COAST COLLEGE 1,97,ag_N1,,ag_N2,,,,16BX-097
7/24/2026,3:20 PM,Group,ORANGE COAST COLLEGE 1,101,ag_S2,,ag_S3,,,,16BX-101
7/24/2026,4:10 PM,Group,ORANGE COAST COLLEGE 1,105,ag_R2,,ag_R3,,,,16BX-105
,BREAK,,,,,,,,,,
`,BREAK,,,,,,,,,,
7/24/2026,6:40 PM,Play-in,ORANGE COAST COLLEGE 1,109,3rd ag_M-,,1st ag_S-,,129,134,16BX-109
7/24/2026,7:30 PM,Play-in,ORANGE COAST COLLEGE 1,113,3rd ag_N-,,1st ag_R-,,121,126,16BX-113
,,,,,,,,,,,
,,,SAN JUAN HILLS HS,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/24/2026,7:00 AM,Group,SAN JUAN HILLS HS,62,ag_O2,,ag_O3,,,,16BX-062
7/24/2026,7:50 AM,Group,SAN JUAN HILLS HS,66,ag_P2,,ag_P3,,,,16BX-066
7/24/2026,8:40 AM,Group,SAN JUAN HILLS HS,70,ag_U1,,ag_U2,,,,16BX-070
7/24/2026,9:30 AM,Group,SAN JUAN HILLS HS,74,ag_T1,,ag_T2,,,,16BX-074
7/24/2026,10:20 AM,Group,SAN JUAN HILLS HS,78,ag_O1,,ag_O3,,,,16BX-078
7/24/2026,11:10 AM,Group,SAN JUAN HILLS HS,82,ag_P1,,ag_P3,,,,16BX-082
7/24/2026,12:00 PM,Group,SAN JUAN HILLS HS,86,ag_U1,,ag_U3,,,,16BX-086
7/24/2026,12:50 PM,Group,SAN JUAN HILLS HS,90,ag_T1,,ag_T3,,,,16BX-090
7/24/2026,1:40 PM,Group,SAN JUAN HILLS HS,94,ag_O1,,ag_O2,,,,16BX-094
7/24/2026,2:30 PM,Group,SAN JUAN HILLS HS,98,ag_P1,,ag_P2,,,,16BX-098
7/24/2026,3:20 PM,Group,SAN JUAN HILLS HS,102,ag_U2,,ag_U3,,,,16BX-102
7/24/2026,4:10 PM,Group,SAN JUAN HILLS HS,106,ag_T2,,ag_T3,,,,16BX-106
,BREAK,,,,,,,,,,
`,BREAK,,,,,,,,,,
7/24/2026,6:40 PM,Play-in,SAN JUAN HILLS HS,110,3rd ag_O-,,1st ag_U-,,117,138,16BX-110
7/24/2026,7:30 PM,Play-in,SAN JUAN HILLS HS,114,3rd ag_P-,,1st ag_T-,,125,130,16BX-114
,,,,,,,,,,,
,,,LONG BEACH CC 2,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/24/2026,7:00 AM,Group,LONG BEACH CC 2,63,bz_S1,,bz_S2,,,,16BX-063
7/24/2026,7:50 AM,Group,LONG BEACH CC 2,67,bz_R1,,bz_R2,,,,16BX-067
7/24/2026,8:40 AM,Group,LONG BEACH CC 2,71,bz_M2,,bz_M3,,,,16BX-071
7/24/2026,9:30 AM,Group,LONG BEACH CC 2,75,bz_N2,,bz_N3,,,,16BX-075
7/24/2026,10:20 AM,Group,LONG BEACH CC 2,79,bz_S1,,bz_S3,,,,16BX-079
7/24/2026,11:10 AM,Group,LONG BEACH CC 2,83,bz_R1,,bz_R3,,,,16BX-083
7/24/2026,12:00 PM,Group,LONG BEACH CC 2,87,bz_M1,,bz_M3,,,,16BX-087
7/24/2026,12:50 PM,Group,LONG BEACH CC 2,91,bz_N1,,bz_N3,,,,16BX-091
7/24/2026,1:40 PM,Group,LONG BEACH CC 2,95,bz_S2,,bz_S3,,,,16BX-095
7/24/2026,2:30 PM,Group,LONG BEACH CC 2,99,bz_R2,,bz_R3,,,,16BX-099
7/24/2026,3:20 PM,Group,LONG BEACH CC 2,103,bz_M1,,bz_M2,,,,16BX-103
7/24/2026,4:10 PM,Group,LONG BEACH CC 2,107,bz_N1,,bz_N2,,,,16BX-107
,BREAK,,,,,,,,,,
,BREAK,,,,,,,,,,
7/24/2026,6:40 PM,Play-in,LONG BEACH CC 2,111,3rd bz_M-,,1st bz_S-,,131,136,16BX-111
7/24/2026,7:30 PM,Play-in,LONG BEACH CC 2,115,3rd bz_N-,,1st bz_R-,,123,128,16BX-115
,,,,,,,,,,,
,,,EDISON HS,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/24/2026,7:00 AM,Group,EDISON HS,64,bz_U1,,bz_U2,,,,16BX-064
7/24/2026,7:50 AM,Group,EDISON HS,68,bz_T1,,bz_T2,,,,16BX-068
7/24/2026,8:40 AM,Group,EDISON HS,72,bz_O2,,bz_O3,,,,16BX-072
7/24/2026,9:30 AM,Group,EDISON HS,76,bz_P2,,bz_P3,,,,16BX-076
7/24/2026,10:20 AM,Group,EDISON HS,80,bz_U1,,bz_U3,,,,16BX-080
7/24/2026,11:10 AM,Group,EDISON HS,84,bz_T1,,bz_T3,,,,16BX-084
7/24/2026,12:00 PM,Group,EDISON HS,88,bz_O1,,bz_O3,,,,16BX-088
7/24/2026,12:50 PM,Group,EDISON HS,92,bz_P1,,bz_P3,,,,16BX-092
7/24/2026,1:40 PM,Group,EDISON HS,96,bz_U2,,bz_U3,,,,16BX-096
7/24/2026,2:30 PM,Group,EDISON HS,100,bz_T2,,bz_T3,,,,16BX-100
7/24/2026,3:20 PM,Group,EDISON HS,104,bz_O1,,bz_O2,,,,16BX-104
7/24/2026,4:10 PM,Group,EDISON HS,108,bz_P1,,bz_P2,,,,16BX-108
,BREAK,,,,,,,,,,
,BREAK,,,,,,,,,,
7/24/2026,6:40 PM,Play-in,EDISON HS,112,3rd bz_O-,,1st bz_U-,,119,140,16BX-112
7/24/2026,7:30 PM,Play-in,EDISON HS,116,3rd bz_P-,,1st bz_T-,,127,132,16BX-116
,,,,,,,,,,,
Day 3,,,,,,,,,,,
7/25/2026,,,,,,,,,,,
,,,SAN JUAN HILLS HS,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/25/2026,8:00 AM,5-8 v 9-12,SAN JUAN HILLS HS,117,2nd ag_P-,,W110,,141,149,16BX-117
7/25/2026,9:00 AM,5-8 v 9-12,SAN JUAN HILLS HS,121,2nd ag_M-,,W113,,141,149,16BX-121
7/25/2026,10:00 AM,5-8 v 9-12,SAN JUAN HILLS HS,125,2nd ag_O-,,W114,,145,153,16BX-125
7/25/2026,11:00 AM,5-8 v 9-12,SAN JUAN HILLS HS,129,2nd ag_N-,,W109,,145,153,16BX-129
7/25/2026,12:00 PM,1-2 v 3-4,SAN JUAN HILLS HS,133,1st ag_N-,,1st ag_O-,,174,157,16BX-133
7/25/2026,1:00 PM,1-2 v 3-4,SAN JUAN HILLS HS,137,1st ag_M-,,1st ag_P-,,173,161,16BX-137
7/25/2026,2:00 PM,5-6 v 7-8,SAN JUAN HILLS HS,141,W117,,W121,,157,185,16BX-141
7/25/2026,3:00 PM,5-6 v 7-8,SAN JUAN HILLS HS,145,W125,,W129,,161,185,16BX-145
7/25/2026,4:00 PM,9-12 semi,SAN JUAN HILLS HS,149,L121,,L117,,182,181,16BX-149
7/25/2026,5:00 PM,9-12 semi,SAN JUAN HILLS HS,153,L129,,L125,,182,181,16BX-153
7/25/2026,6:00 PM,play to semi,SAN JUAN HILLS HS,157,L133,,W141,,173,186,16BX-157
7/25/2026,7:00 PM,play to semi,SAN JUAN HILLS HS,161,L137,,W145,,174,186,16BX-161
,,,,,,,,,,,
,,,MARINA HS,,,,,,,,
Date,Time,Type,LONG BEACH CC 2,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/25/2026,8:00 AM,21-24 RR,MARINA HS,124,3rd bz_T-,,3rd bz_S-,,,,16BX-124
7/25/2026,9:00 AM,21-24 RR,MARINA HS,118,3rd ag_U-,,3rd ag_R-,,,,16BX-118
7/25/2026,10:00 AM,21-24 RR,MARINA HS,122,3rd ag_T-,,3rd ag_S-,,,,16BX-122
7/25/2026,11:00 AM,13-20 qtr,MARINA HS,126,L113,,2nd ag_U-,,150,154,16BX-126
7/25/2026,12:00 PM,13-20 qtr,MARINA HS,130,L114,,2nd ag_S-,,150,154,16BX-130
7/25/2026,1:00 PM,13-20 qtr,MARINA HS,134,L109,,2nd ag_T-,,158,162,16BX-134
7/25/2026,2:00 PM,13-20 qtr,MARINA HS,138,L110,,2nd ag_R-,,158,162,16BX-138
7/25/2026,3:00 PM,21-24 RR,MARINA HS,142,3rd ag_U-,,3rd ag_S-,,,,16BX-142
7/25/2026,4:00 PM,21-24 RR,MARINA HS,146,3rd ag_T-,,3rd ag_R-,,,,16BX-146
7/25/2026,5:00 PM,13-16 semi,MARINA HS,150,W126,,W130,,178,177,16BX-150
7/25/2026,6:00 PM,17-20 semi,MARINA HS,154,L130,,L126,,170,169,16BX-154
7/25/2026,7:00 PM,13-16 semi,MARINA HS,158,W134,,W138,,178,177,16BX-158
7/25/2026,8:00 PM,17-20 semi,MARINA HS,162,L138,,L134,,170,169,16BX-162
,,,,,,,,,,,
,,,EDISON HS,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/25/2026,8:00 AM,21-24 RR,EDISON HS,120,3rd bz_U-,,3rd bz_R-,,,,16BX-120
7/25/2026,9:00 AM,5-8 v 9-12,EDISON HS,119,2nd bz_P-,,W112,,143,151,16BX-119
7/25/2026,10:00 AM,5-8 v 9-12,EDISON HS,123,2nd bz_M-,,W115,,143,151,16BX-123
7/25/2026,11:00 AM,5-8 v 9-12,EDISON HS,127,2nd bz_O-,,W116,,147,155,16BX-127
7/25/2026,12:00 PM,5-8 v 9-12,EDISON HS,131,2nd bz_N-,,W111,,147,155,16BX-131
7/25/2026,1:00 PM,1-2 v 3-4,EDISON HS,135,1st bz_N-,,1st bz_O-,,172,159,16BX-135
7/25/2026,2:00 PM,1-2 v 3-4,EDISON HS,139,1st bz_M-,,1st bz_P-,,171,163,16BX-139
7/25/2026,3:00 PM,5-6 v 7-8,EDISON HS,143,W119,,W123,,159,188,16BX-143
7/25/2026,4:00 PM,5-6 v 7-8,EDISON HS,147,W127,,W131,,163,188,16BX-147
7/25/2026,5:00 PM,9-12 semi,EDISON HS,151,L123,,L119,,183,184,16BX-151
7/25/2026,6:00 PM,9-12 semi,EDISON HS,155,L131,,L127,,183,184,16BX-155
7/25/2026,7:00 PM,play to semi,EDISON HS,159,L135,,W143,,171,187,16BX-159
7/25/2026,8:00 PM,play to semi,EDISON HS,163,L139,,W147,,172,187,16BX-163
,,,,,,,,,,,
,,,LONG BEACH CC 2,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/25/2026,8:00 AM,13-20 qtr,LONG BEACH CC 2,128,L115,,2nd bz_U-,,152,156,16BX-128
7/25/2026,9:00 AM,13-20 qtr,LONG BEACH CC 2,132,L116,,2nd bz_S-,,152,156,16BX-132
7/25/2026,10:00 AM,13-20 qtr,LONG BEACH CC 2,136,L111,,2nd bz_T-,,160,164,16BX-136
7/25/2026,11:00 AM,13-20 qtr,LONG BEACH CC 2,140,L112,,2nd bz_R-,,160,164,16BX-140
7/25/2026,12:00 PM,21-24 RR,LONG BEACH CC 2,144,3rd bz_U-,,3rd bz_S-,,,,16BX-144
7/25/2026,1:00 PM,21-24 RR,LONG BEACH CC 2,148,3rd bz_T-,,3rd bz_R-,,,,16BX-148
7/25/2026,2:00 PM,13-16 semi,LONG BEACH CC 2,152,W128,,W132,,179,180,16BX-152
,,,,,,,,,,,
,,,,,,,,,,,
7/25/2026,5:00 PM,17-20 semi,LONG BEACH CC 2,156,L132,,L128,,175,176,16BX-156
7/25/2026,6:00 PM,13-16 semi,LONG BEACH CC 2,160,W136,,W140,,179,180,16BX-160
7/25/2026,7:00 PM,17-20 semi,LONG BEACH CC 2,164,L140,,L136,,175,176,16BX-164
,,,,,,,,,,,
Day 4,,,,,,,,,,,
7/26/2026,,,,,,,,,,ag_,bz_
,,,LONG BEACH CC 2,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/26/2026,7:00 AM,21-24 RR,LONG BEACH CC 2,165,3rd ag_T-,,3rd ag_U-,,,,16BX-165
7/26/2026,8:00 AM,21-24 RR,LONG BEACH CC 2,166,3rd ag_R-,,3rd ag_S-,,,,16BX-166
7/26/2026,9:00 AM,11th,LONG BEACH CC 2,181,L149,,L153,,ag_11th,ag_12th,16BX-181
7/26/2026,10:00 AM,13th,LONG BEACH CC 2,178,W150,,W158,,ag_13th,ag_14th,16BX-178
7/26/2026,11:00 AM,15th,LONG BEACH CC 2,177,L150,,L158,,ag_15th,ag_16th,16BX-177
7/26/2026,12:00 PM,17th,LONG BEACH CC 2,170,W154,,W162,,ag_17th,ag_18th,16BX-170
7/26/2026,1:00 PM,19th,LONG BEACH CC 2,169,L154,,L162,,ag_19th,ag_20th,16BX-169
,,,,,,,,,,,
,,,SAN JUAN HILLS HS,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/26/2026,7:00 AM,21-24 RR,SAN JUAN HILLS HS,167,3rd bz_T-,,3rd bz_U-,,,,16BX-167
7/26/2026,8:00 AM,21-24 RR,SAN JUAN HILLS HS,168,3rd bz_R-,,3rd bz_S-,,,,16BX-168
7/26/2026,9:00 AM,13th,SAN JUAN HILLS HS,179,W152,,W160,,bz_13th,bz_14th,16BX-179
7/26/2026,10:00 AM,15th,SAN JUAN HILLS HS,180,L152,,L160,,bz_15th,bz_16th,16BX-180
7/26/2026,11:00 AM,17th,SAN JUAN HILLS HS,175,W156,,W164,,bz_17th,bz_18th,16BX-175
7/26/2026,12:00 PM,19th,SAN JUAN HILLS HS,176,L156,,L164,,bz_19th,bz_20th,16BX-176
,,,,,,,,,,,
,,,MARINA HS,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/26/2026,7:00 AM,11th,MARINA HS,184,L151,,L155,,bz_11th,bz_12th,16BX-184
7/26/2026,8:00 AM,5th,MARINA HS,186,L157,,L161,,ag_5th,ag_6th,16BX-186
7/26/2026,9:00 AM,7th,MARINA HS,185,L141,,L145,,ag_7th,ag_8th,16BX-185
7/26/2026,10:00 AM,9th,MARINA HS,182,W149,,W153,,ag_9th,ag_10th,16BX-182
7/26/2026,11:00 AM,5th,MARINA HS,187,L159,,L163,,bz_5th,bz_6th,16BX-187
7/26/2026,12:00 PM,7th,MARINA HS,188,L143,,L147,,bz_7th,bz_8th,16BX-188
7/26/2026,1:00 PM,9th,MARINA HS,183,W151,,W155,,bz_9th,bz_10th,16BX-183
,,,,,,,,,,,
,,,PORTOLA HS 1,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/26/2026,7:00 AM,semi,PORTOLA HS 1,171,W139,,W159,,190,189,16BX-171
7/26/2026,8:00 AM,semi,PORTOLA HS 1,172,W135,,W163,,190,189,16BX-172
7/26/2026,9:00 AM,semi,PORTOLA HS 1,173,W137,,W157,,192,191,16BX-173
7/26/2026,10:00 AM,semi,PORTOLA HS 1,174,W133,,W161,,192,191,16BX-174
7/26/2026,11:00 AM,3rd,PORTOLA HS 1,189,L171,,L172,,bz_3rd,bz_4th,16BX-189
7/26/2026,12:00 PM,1st,PORTOLA HS 1,190,W171,,W172,,bz_1st,bz_2nd,16BX-190
7/26/2026,1:00 PM,3rd,PORTOLA HS 1,191,L173,,L174,,ag_3rd,ag_4th,16BX-191
7/26/2026,2:00 PM,1st,PORTOLA HS 1,192,W173,,W174,,ag_1st,ag_2nd,16BX-192
,,,,,,,,,,,
ag_Place,,bz_Place,,,,,,,,,
1st,W192,1st,W190,,,,,,,,
2nd,L192,2nd,L190,,,,,,,,
3rd,W191,3rd,W189,,,,,,,,
4th,L191,4th,L189,,,,,,,,
5th,W186,5th,W187,,,,,,,,
6th,L186,6th,L187,,,,,,,,
7th,W185,7th,W188,,,,,,,,
8th,L185,8th,L188,,,,,,,,
9th,W182,9th,W183,,,,,,,,
10th,L182,10th,L183,,,,,,,,
11th,W181,11th,W184,,,,,,,,
12th,L181,12th,L184,,,,,,,,
13th,W178,13th,W179,,,,,,,,
14th,L178,14th,L179,,,,,,,,
15th,W177,15th,W180,,,,,,,,
