DATE,TIME,LOCATION,GAME#,WHITE,S,DARK,S,COMMENTS,DIVISION
19-Jun,2:00 PM,WESTMINSTER HS,14GD113,A1-908,20,A2-ARROYO GRANDE,4,"A bracket A1,A2",14U_GIRLS_D1
19-Jun,2:00 PM,SERVITE HS,14GD114,D1-SANTA CRUZ,15,D2-SAN CLEMENTE A,14,"D bracket D1,D2",14U_GIRLS_D1
19-Jun,3:00 PM,WESTMINSTER HS,14GD115,B1-LAMORINDA A,8,B2-SANTA BARBARA,6,"B bracket B1,B2",14U_GIRLS_D1
19-Jun,3:00 PM,SERVITE HS,14GD116,E1-CCU,5,E2-SHORE AQUATICS,9,"E bracket E1,E2",14U_GIRLS_D1
19-Jun,4:00 PM,WESTMINSTER HS,14GD117,C1-PATRIOT A,9,C2-STANFORD A,6,"C bracket C1,C2",14U_GIRLS_D1
19-Jun,4:00 PM,SERVITE HS,14GD118,F1-CDM,10,F2-SAN JOSE EXPRESS,7,"F bracket F1,F2",14U_GIRLS_D1
20-Jun,8:00 AM,SERVITE HS,14GD119,3rdA-ARROYO GRANDE,13,2ndE-CCU,9,Cross 1 9v16,14U_GIRLS_D1
20-Jun,8:00 AM,BECKMAN HS,14GD120,3rdB-SAN DIEGO SHORES A,14,2ndF-LAGUNA BEACH,6,Cross 2 10v15,14U_GIRLS_D1
20-Jun,9:00 AM,SERVITE HS,14GD121,3rdD-SAN CLEMENTE A,11,1stE-SHORE AQUATICS,4,Cross 4 12v13,14U_GIRLS_D1
20-Jun,9:00 AM,BECKMAN HS,14GD122,3rdC-SAN DIEGO DONS,11,1stF-CDM,2,Cross 3 11v14,14U_GIRLS_D1
20-Jun,11:00 AM,SERVITE HS,14GD123,2ndB-SANTA BARBARA,18,W#3A/2E-ARROYO GRANDE,6,Play in 3,14U_GIRLS_D1
20-Jun,11:00 AM,BECKMAN HS,14GD124,2ndA-GREENWICH,5,W#3B/2F-SAN DIEGO SHORES A,13,Play in 4 8v10,14U_GIRLS_D1
20-Jun,12:00 PM,SERVITE HS,14GD125,2ndC-STANFORD A,10,W#3D/1E-SAN CLEMENTE A,4,Play in 2,14U_GIRLS_D1
20-Jun,12:00 PM,BECKMAN HS,14GD126,2ndD-COMMERCE,10.1,W#3C/1F-SAN DIEGO DONS,10.3,Play in 1 5v11,14U_GIRLS_D1
20-Jun,1:00 PM,SERVITE HS,14GD127,H1(3rdF)-SAN JOSE EXPRESS,7,H3(L#cross4)-SHORE AQUATICS,15,H bracket H1.H3,14U_GIRLS_D1
20-Jun,1:00 PM,BECKMAN HS,14GD128,G1(3rdE)-TEMPLE CITY,4,G3(L#cross3)-CDM,8,"G bracket G1,G3",14U_GIRLS_D1
20-Jun,2:00 PM,SERVITE HS,14GD129,1stD-SANTA CRUZ,18,W#playin3-SANTA BARBARA,14,QF1 4v7,14U_GIRLS_D1
20-Jun,2:00 PM,BECKMAN HS,14GD130,1stC-PATRIOT A,12,W#playin4-SAN DIEGO SHORES A,11,QF3 3v8,14U_GIRLS_D1
20-Jun,3:00 PM,SERVITE HS,14GD131,1stA-908,11,W#playin2-STANFORD A,5,QF2 1v6,14U_GIRLS_D1
20-Jun,3:00 PM,BECKMAN HS,14GD132,1stB-LAMORINDA A,5,W#playin1-SAN DIEGO DONS,4,QF4 2v5,14U_GIRLS_D1
20-Jun,4:00 PM,SERVITE HS,14GD133,J1(L#playin3)-ARROYO GRANDE,6,J4(L#playin2)-SAN CLEMENTE A,15,9v12 semi,14U_GIRLS_D1
20-Jun,4:00 PM,BECKMAN HS,14GD134,J2(L#playin4)-GREENWICH,5,J3(L#playin1)-COMMERCE,8,10v11 semi,14U_GIRLS_D1
20-Jun,5:00 PM,SERVITE HS,14GD135,H2(L#cross1)-CCU,8,H3(L#cross4)-SHORE AQUATICS,5,H bracket H1.H3,14U_GIRLS_D1
20-Jun,5:00 PM,BECKMAN HS,14GD136,G2(L#cross2)-LAGUNA BEACH,11,G3(L#cross3)-CDM,12,"G bracket G2,G3",14U_GIRLS_D1
21-Jun,8:00 AM,WESTMINSTER HS,14GD137,G1(3rdE)-TEMPLE CITY,11.3,G2(L#cross2)-LAGUNA BEACH,11.1,"G bracket G1,G2",14U_GIRLS_D1
21-Jun,8:00 AM,WOOLLETT NEAR RIGHT,14GD146,M1(W#QF2)-908,21,M4(W#QF1)-SANTA CRUZ,6,1v4 semi,14U_GIRLS_D1
21-Jun,9:00 AM,WESTMINSTER HS,14GD138,H1(3rdF)-SAN JOSE EXPRESS,5,H2(L#cross1)-CCU,6,H bracket H1.H2,14U_GIRLS_D1
21-Jun,9:00 AM,WOOLLETT NEAR RIGHT,14GD147,M2(W#QF4)-LAMORINDA A,1,M3(W#QF3)-PATRIOT A,8,2v3 semi,14U_GIRLS_D1
21-Jun,10:00 AM,WESTMINSTER HS,14GD139,K1(L#QF4)-SAN DIEGO DONS,5,K4(L#QF3)-SAN DIEGO SHORES A,11,5v8 semi,14U_GIRLS_D1
21-Jun,11:00 AM,WESTMINSTER HS,14GD140,K2(L#QF2)-STANFORD A,8,K3(L#QF1)-SANTA BARBARA,6,6v7 semi,14U_GIRLS_D1
21-Jun,12:00 PM,WESTMINSTER HS,14GD141,1stG-CDM,6,1stH-CCU,7,13th,14U_GIRLS_D1
21-Jun,12:10 PM,WOOLLETT LEFT,14GD149,W#M1/M4-908,16,W#M2/M3-PATRIOT A,12,1st,14U_GIRLS_D1
21-Jun,1:00 PM,WESTMINSTER HS,14GD142,2ndG-TEMPLE CITY,4,2ndH-SHORE AQUATICS,11,15th,14U_GIRLS_D1
21-Jun,2:00 PM,WESTMINSTER HS,14GD143,3rdG-LAGUNA BEACH,11,3rdH-SAN JOSE EXPRESS,10,17th,14U_GIRLS_D1
21-Jun,2:00 PM,WOOLLETT NEAR RIGHT,14GD148,L#M2/M3-LAMORINDA A,10,L#M1/M4-SANTA CRUZ,3,3rd,14U_GIRLS_D1
21-Jun,2:00 PM,EL MODENA HS,14GD150,W#33-SAN CLEMENTE A,5,GREENWICH,6,9-12RR,14U_GIRLS_D1
21-Jun,3:00 PM,WESTMINSTER HS,14GD144,W#K1/K4-SAN DIEGO SHORES A,6,W#K2/K3-STANFORD A,5,5th,14U_GIRLS_D1
21-Jun,3:00 PM,EL MODENA HS,14GD151,COMMERCE,12,L#33-ARROYO GRANDE,6,9-12RR,14U_GIRLS_D1
21-Jun,4:00 PM,WESTMINSTER HS,14GD145,L#K1/K4-SAN DIEGO DONS,7,L#K2/K3-SANTA BARBARA,12,7th,14U_GIRLS_D1
