14u Division 3,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,A,B,C,D,,,,,,
,,FRIDAY MAY 1 @ VALHALLA HS,,,,,,FRIDAY MAY 1 @ MEMORIAL POOL,,,,,,,Loyola,NSD Stars,SET,Norcal Aquatics B,,,,,,
,,,,White,Dark,Score,Score,,,White,Dark,Score,Score,,NGen,Crown City,CDM White,LACUWP,,,,,,
,,"FRIDAY, MAY 1 @ SOUTH WESTERN COLLEGE 1",,,,,,"FRIDAY, MAY 1 @ SOUTH WESTERN COLLEGE 2",,,,,,"FRIDAY, MAY 1 @ SOUTHWESTERN COLLEGE 3",,,,,,,La Jolla United A,Newport,SD Dons Black,Mission
,,,,White,Dark,Score,Score,,,White,Dark,Score,Score,,,White,Dark,Score,Score,,Tsunami,South Coast,Shore Aquatics,Devil's Gate
,,3:00 PM,1,B1 - Newport,B2 - South Coast,9,4,3:00 PM,9,C2 - Shore Aquatics,C3 - Titans,12,2,3:00 PM,17,I1 - 908,I2 - CDM,9,4,,SJA,Northwest,Titans,Carlsbad
,,3:45 PM,2,K2 - North Irvine,K3 - SD Dons Red,4,2,3:45 PM,10,D1 - Mission,D2 - Devil's Gate,14,2,3:45 PM,18,F2 - OCWPC,F3 - Kingsburg Kings,17,5,,,,,
,,4:30 PM,3,G2 - SOCAL,G3 - Los Al Opal,6,5,4:30 PM,11,L2 - Commerce,L3 - La Jolla United B,10,5,4:30 PM,19,J1 - SD Shores Black,J2 - Stanford,10,9,,E,F,G,H
,,5:15 PM,4,E1 - Greenwich,E2 - ORWP,12,9,5:15 PM,12,A1 - La Jolla United A,A2 - Tsunami,18,2,5:15 PM,20,H2 - SHAQ,H3 - Foothill,9,7,,Greenwich,LA Premier,Norcal,Patriot Navy
,,6:00 PM,5,B1 - Newport,B3 - Northwest,14,2,6:00 PM,13,C1 - SD Dons Black,C3 - Titans,11,1,6:00 PM,21,I2 - CDM,I3 - CC United Blue,14,8,,ORWP,OCWPC,SOCAL,SHAQ
,,6:45 PM,6,K1 - Lamorinda,K3 - SD Dons Red,7,3,6:45 PM,14,D1 - Mission,D3 - Carlsbad,13,0,6:45 PM,22,F1 - LA Premier,F3 - Kingsburg Kings,18,13,,Sharks,Kingsburg Kings,Los Al Opal,Foothill
,,7:30 PM,7,G1 - Norcal,G3 - Los Al Opal,12,2,7:30 PM,15,L1 - CC United Black,L2 - Commerce,6,7,7:30 PM,23,J1 - SD Shores Black,J3 - CHAWP,18,2,,,,,
,,8:15 PM,8,E1 - Greenwich,E3 - Sharks,10,5,8:15 PM,16,A2 - Tsunami,A3 - SJA,14,1,8:15 PM,24,H1 - Patriot Navy,H3 - Foothill,23,10,,I,J,K,L
,,,,,,,,,,,,,,,,,,,,,908,SD Shores Black,Lamorinda,CC United Black
,,,,,,,,,,,,,,,,,,,,,CDM,Stanford,North Irvine,Commerce
,,"SATURDAY, MAY 2 @ SOUTH WESTERN COLLEGE 1",,,,,,"SATURDAY, MAY 2 @ SOUTH WESTERN COLLEGE 2",,,,,,"SATURDAY, MAY 2 @ SOUTH WESTERN COLLEGE 3",,,,,,,CC United Blue,CHAWP,SD Dons Red,La Jolla United B
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,White,Dark,Score,Score,,,White,Dark,Score,Score,,,White,Dark,Score,Score,,,,,
,,8:00 AM,25,G1 - Norcal,G2 - SOCAL,15,2,8:00 AM,41,B2 - South Coast,B3 - Northwest,12,7,8:00 AM,57,L1 - CC United Black,L3 - La Jolla United B,9,4,,M,N,O,P
,,8:45 AM,26,K1 - Lamorinda,K2 - North Irvine,9,11,8:45 AM,42,F1 - LA Premier,F2 - OCWPC,8,5,8:45 AM,58,E2 - ORWP,E3 - Sharks,13,10,,La Jolla United A,Mission,Newport,SD Dons Black
,,9:30 AM,27,A1 - La Jolla United A,A3 - SJA,16,3,9:30 AM,43,H1 - Patriot Navy,H2 - SHAQ,15,3,9:30 AM,59,C1 - SD Dons Black,C2 - Shore Aquatics,8,4,,Patriot Navy,Greenwich,Norcal,LA Premier
,,10:15 AM,28,I1 - 908,I3 - CC United Blue,6,1,10:15 AM,44,J2 - Stanford,J3 - CHAWP,19,3,10:15 AM,60,D2 - Devil's Gate,D3 - Carlsbad,13,1,,908,Commerce,SD Shores Black,North Irvine
,,11:00 AM,29,O1 - Newport,O2 - Norcal,4,4,11:00 AM,45,S1 - South Coast,S2 - SOCAL,7,5,11:00 AM,61,W1 - Northwest,W2 - Los Al Opal,10,14,,,,,
,,11:45 AM,30,P2 - LA Premier,P3 - North Irvine,10,4,11:45 AM,46,T2 - OCWPC,T3 - Lamorinda,7,10,11:45 AM,62,X2 - Kingsburg Kings,X3- SD Dons Red,4,6,,Q,R,S,T
,,12:30 PM,31,N2 - Greenwich,N3 - Commerce,8,10,12:30 PM,47,R2 - ORWP,R3 - CC United Black,7,10,12:30 PM,63,V2 - Sharks,V3 - La Jolla United B,8,12,,Tsunami,Devil's Gate,South Coast,Shore Aquatics
,,1:15 PM,32,M1 - La Jolla United A,M2 - Patriot Navy,15,5,1:15 PM,48,Q1 - Tsunami,Q2 - SHAQ,6,7,1:15 PM,64,U1 - SJA,U2 - Foothill,5,6,,SHAQ,ORWP,SOCAL,OCWPC
,,2:00 PM,33,O2 - Norcal,O3 - SD Shores Black,9,1,2:00 PM,49,S2 - SOCAL,S3 - Stanford,4,10,2:00 PM,65,W2 - Los Al Opal,W3 - CHAWP,10,12,,CDM,CC United Black,Stanford,Lamorinda
,,2:45 PM,34,P1 - SD Dons Black,P3 - North Irvine,11,3,2:45 PM,50,T1 - Shore Aquatics,T3 - Lamorinda,7,5,2:45 PM,66,X1 - Titans,X3- SD Dons Red,4,13,,,,,
,,3:30 PM,35,N1 - Mission,N3 - Commerce,8,3,3:30 PM,51,R1 - Devil's Gate,R3 - CC United Black,8,7,3:30 PM,67,V1 - Carlsbad,V3 - La Jolla United B,3,11,,U,V,W,X
,,4:15 PM,36,M2 - Patriot Navy,M3 - 908,7,6,4:15 PM,52,Q2 - SHAQ,Q3 - CDM,3,8,4:15 PM,68,U2 - Foothill,U3 - CC United Blue,10,5,,SJA,Carlsbad,Northwest,Titans
,,5:00 PM,37,O1 - Newport,O3 - SD Shores Black,9,5,5:00 PM,53,S1 - South Coast,S3 - Stanford,5,7,5:00 PM,69,W1 - Northwest,W3 - CHAWP,16,15,,Foothill,Sharks,Los Al Opal,Kingsburg Kings
,,5:45 PM,38,P1 - SD Dons Black,P2 - LA Premier,6,9,5:45 PM,54,T1 - Shore Aquatics,T2 - OCWPC,6,7,5:45 PM,70,X1 - Titans,X2 - Kingsburg Kings,8,12,,CC United Blue,La Jolla United B,CHAWP,SD Dons Red
,,6:30 PM,39,N1 - Mission,N2 - Greenwich,7,4,6:30 PM,55,R1 - Devil's Gate,R2 - ORWP,2,6,6:30 PM,71,V1 - Carlsbad,V2 - Sharks,6,7,,,,,
,,7:15 PM,40,M1 - La Jolla United A,M3 - 908,9,5,7:15 PM,56,Q1 - Tsunami,Q3 - CDM,7,10,7:15 PM,72,U1 - SJA,U3 - CC United Blue,6,15,,,Norcal 1st O based on goals allowed against common oppo,,
,,,,,,,,"Coggan Family Aquatic Center - 800 Nautilus St, La Jolla",,,,,,"Standley - 3605 Governor Dr, San Diego, CA 92122",,,,,,,Y semi,Z semi,AA 5-8,BB 5-8
,,"SUNDAY, MAY 3 @ SOUTH WESTERN COLLEGE 1",,,,,,"SUNDAY, MAY 3 @ COGGAN FAMILY AQUATIC COMPLEX",,,,,,"SUNDAY, MAY 3 @ STANDLEY AQUATIC CENTER",,,,,,,La Jolla United A,Norcal,Patriot Navy,Newport
,,,,,,,,,,,,,,,,,,,,,Mission,LA Premier,Commerce,SD Dons Black
,,,,White,Dark,Score,Score,,,White,Dark,Score,Score,,,White,Dark,Score,Score,,,,,
,,11:00 AM,73,AA1 - Patriot Navy,AA2 - Commerce,9,10,8:00 AM,89,II1 - Tsunami,II2 - CC United Black,6,4,8:00 AM,81,EE1 - CDM,EE2 - ORWP,9,6,,CC 9-12,DD 9-12,EE 13-16,FF 13-16
,,11:45 AM,74,BB1 - Newport,BB2 - SD Dons Black,5,6,8:45 AM,90,JJ1 - SOCAL,JJ2 - OCWPC,6,11,8:45 AM,82,FF1 - Stanford,FF2 - Shore Aquatics,6,5,,908,SD Shores Black,CDM,Stanford
,5th,3:50 PM,77,Commerce,SD Dons Black,4,6,9:30 AM,91,KK1 - Foothill,KK2 - La Jolla United B,12,8,9:30 AM,83,GG1 - SHAQ,GG2 - Devil's Gate,12,14,,Greenwich,North Irvine,ORWP,Shore Aquatics
,7th,4:35 PM,78,Patriot Navy,Newport,5,6,10:15 AM,92,LL1 - Los Al Opal,LL2 - SD Dons Red,8,9,10:15 AM,84,HH1 - South Coast,HH2 - Lamorinda,10,9,,"ORWP 1st R based on goals allowed, 2nd and 3rd determined by head to head result",,,
,,"SUNDAY, MAY 3 @ SOUTH WESTERN COLLEGE 2",,,,,,11:00 AM,93,MM1 - CC United Blue,MM2 - Sharks,11,7,11:00 AM,85,CDM,Stanford,10,4,13th,GG 17-20,HH 17-20,II 21-24,JJ 21-24
,,,,White,Dark,Score,Score,11:45 AM,94,NN1 - CHAWP,NN2 - Kingsburg Kings,5,12,11:45 AM,86,ORWP,Shore Aquatics,9,11,15th,SHAQ,South Coast,Tsunami,SOCAL
,,11:00 AM,75,CC1 - 908,CC2 - Greenwich,6,8,12:30 PM,95,OO1 - SJA,OO2 - Carlsbad,5,6,12:30 PM,87,Devil's Gate,South Coast,5,6,17th,Devil's Gate,Lamorinda,CC United Black,OCWPC
,,11:45 AM,76,DD1 - SD Shores Black,DD2 - North Irvine,11,1,1:15 PM,96,PP1 - Northwest,PP2 - Titans,8,6,1:15 PM,88,SHAQ,Lamorinda,10,13,19th,,,,
,9th,4:05 PM,79,Greenwich,SD Shores Black,5,9,2:00 PM,97,Tsunami,OCWPC,6,10,21st,,,,,,,KK 25-28,LL 25-28,MM 29-32,NN 29-32
,11th,4:50 PM,80,908,North Irvine,8,4,2:45 PM,98,CC United Black,SOCAL,12,10,23rd,,,,,,,Foothill,Los Al Opal,CC United Blue,CHAWP
,,"SUNDAY, MAY 3 @ SOUTH WESTERN COLLEGE 1",,,,,,"SUNDAY, MAY 3 @ SOUTHWESTERN COLLEGE 2",,,,,,,,,,,,,La Jolla United B,SD Dons Red,Sharks,Kingsburg Kings
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,White,Dark,Score,Score,,,White,Dark,Score,Score,,,,,,,,OO 33-36,PP 33-36,,
,semi,10:15 AM,99,Y1 - La Jolla United A,Y2 - Mission,7,6,10:15 AM,100,Z1 - Norcal,Z2 - LA Premier,5,6,semi,,,,,,,SJA,Northwest,,
,1st,3:00 PM,101,La Jolla United A,LA Premier,8,5,3:15 PM,102,Mission,Norcal,3,4,3rd,,,,,,,,,,
