,,,,,,,,,,,,,,,,,,,,
,,"FRIDAY, MAY 1 @ THE BISHOP'S SCHOOL 1",,,,,,"FRIDAY, MAY 1 @ THE BISHOP'S SCHOOL 2",,,,,,,,,,,,
,,11:00 AM,,BREAK,BREAK,,,11:00 AM,,BREAK,BREAK,,,,,,,,,
,,11:45 AM,16,L1 - CC United B,L2 - YOLO Boys,15,11,11:45 AM,28,K2 - 908 Blue,K3 - San Clem Black,6,11,,,,,,,
,,12:30 PM,17,J1 - SOCAL Black,J2 - ORWP,7,5,12:30 PM,29,I2 - CC United A,I3 - Lamorinda Blue,15,6,,,,,,,
,,1:15 PM,18,H1 - Newport,H2 - 908 Yellow,12,8,1:15 PM,30,G2 - Temple City,G3 - Commerce,6,13,,,,,,,
,,2:00 PM,19,L1 - CC United B,L3 - Lamorinda Gold,15,7,2:00 PM,31,K1 - Greenwich,K3 - San Clem Black,20,6,,,,,,,
,,2:45 PM,20,J1 - SOCAL Black,J3 - Stanford,7,6,2:45 PM,32,I1 - CDM Boys,I3 - Lamorinda Blue,12,4,,,,,,,
,,3:30 PM,21,H1 - Newport,H3 - San Clem Red,15,5,3:30 PM,33,G1 - SD Dons Red,G3 - Commerce,12,5,,,,,,,
,,4:15 PM,22,L2 - YOLO Boys,L3 - Lamorinda Gold,16,4,4:15 PM,34,K1 - Greenwich,K2 - 908 Blue,19,1,,,,,,,
,,5:00 PM,23,J2 - ORWP,J3 - Stanford,1,8,5:00 PM,35,I1 - CDM Boys,I2 - CC United A,4,10,,,,,,,
,,5:45 PM,24,H2 - 908 Yellow,H3 - San Clem Red,15,5,5:45 PM,36,G1 - SD Dons Red,G2 - Temple City,12,2,,,,,,,
,,,,,,,,"Grossmont HS -Dennstedt Pl, El Cajon, CA 92020",,,,,,,,,,,,
,,"SUNDAY, MAY 3 @ THE BISHOP'S SCHOOL 1",,,,,,"SUNDAY, MAY 3 @ GROSSMONT HS 1",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,White,Dark,Score,Score,,,White,Dark,Score,Score,,,,,,,
,semi,8:00 AM,37,SD Dons Red,908 Yellow,11,8,11:00 AM,45,Greenwich,CC United B,23,2,13th,,,,,,
,semi,8:45 AM,38,Newport,Commerce,7,3,11:45 AM,46,San Clem Black,YOLO Boys,,,15th,,,,,,
,5th,9:30 AM,39,Temple City,San Clem Red,7,4,"SUNDAY, MAY 3 @ GROSSMONT HS 2",,,,,,,,,,,,
,7th,10:15 AM,40,CC United A,SOCAL Black,14,1,,,,,,,,,,,,,
,9th,11:00 AM,41,CDM Boys,Stanford,3,2,,,White,Dark,Score,Score,,,,,,,
,11th,11:45 AM,42,Lamorinda Blue,ORWP,5,6,11:00 AM,47,908 Blue,Lamorinda Gold,12,4,17th,,,,,,
,1st,12:30 PM,43,SD Dons Red,Newport,9,6,,,,,,,,,,,,,
,3rd,1:15 PM,44,908 Yellow,Commerce,11,10,,,,,,,,,,,,,
