Division 2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Southwestern College - 900 Otay Lakes Rd 91910,,,,,,,,,,,
,,,SUNDAY MAY 3 @ KROC CENTER,,,,,,SUNDAY MAY 3 @ SOUTHWESTERN COLLEGE 3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,White,Dark,Score,Score,,,White,Dark,Score,Score,,,,,,
,,,8:00 AM,29,Los Al Opal,La Jolla United,3,4,8:00 AM,35,Newport Blue,Commerce,14,4,semi,,,,,
,,7th,8:45 AM,30,South Coast Red,Foothill,7,8,8:45 AM,36,Back Bay,Santa Barbara,8,4,semi,,,,,
,,5th,9:30 AM,31,San Clem Red,Stanford,11,7,12:35 PM,37,Commerce,Santa Barbara,11,4,Bronze,,,,,
,,9th,10:15 AM,32,SD Shores,680 WPC,4,5,1:25 PM,38,Newport Blue,Back Bay,11,3,Gold,,,,,
,,11th,11:00 AM,33,Greenwich,OCWPC,7,13,,,,,,,,,,,,
,,,11:45 AM,34,Los Al Opal,Lamorinda Blue,4,8,,,,,,,,,,,,
