"Day 1","HOT! RESULTS","SUBMIT SCORES!","Quarter Lengths by Day","","","","","","","","","","","","","","","","","","","","","",""
"Sat, July 18","","","6-6-7-7","","","","","","","","","","","","","","","","","","","","","",""
"","","C","D","","F","","","","Teams","","","","","","","","","","","","","","","",""
"18-Jul","12:50 PM","Group","GOLDEN WEST COLLEGE 1","29","L1","","L5","","49","","16GX-029","","","","","","","","","","","","","",""
"18-Jul","1:40 PM","Group","GOLDEN WEST COLLEGE 1","41","W17","","W21","","W-ag_N1","53","16GX-041","","","","","","","","","","","","","",""
"18-Jul","2:30 PM","Group","GOLDEN WEST COLLEGE 1","45","L17","","L21","","57","","16GX-045","","","","","","","","","","","","","",""
"18-Jul","3:20 PM","Group","GOLDEN WEST COLLEGE 1","37","A1(1)-REGENCY","","A2(24)-ROSE BOWL BLACK","","bracket","","16GX-037","","","","","","","","","","","","","",""
"18-Jul","5:00 PM","2-3 cross","GOLDEN WEST COLLEGE 1","49","2nd_D","","W29","","ag_R3","","16GX-049","","","","","","","","","","","","","",""
"18-Jul","5:50 PM","2-3 cross","GOLDEN WEST COLLEGE 1","53","L41","","3rd_A","","ag_T3","","16GX-053","","","","","","","","","","","","","",""
"18-Jul","6:40 PM","2-3 cross","GOLDEN WEST COLLEGE 1","57","2nd_A","","W45","","ag_U3","","16GX-057","","","","","","","","","","","","","",""
"","","","MARINA HS","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","S","Dark","S","W to #","","GMID","","","","","","","","","","","","","",""
"18-Jul","7:00 AM","Group","MARINA HS","4","10-WCAC UNITED A","","39-TRI VALLEY TRITONS","","28","32","16GX-004","","","","","","","","","","","","","",""
"18-Jul","7:50 AM","Group","MARINA HS","8","15-LAMORINDA B","","34-LOYOLA VENICE","","28","32","16GX-008","","","","","","","","","","","","","",""
"18-Jul","8:40 AM","Group","MARINA HS","12","11-SOCAL BLACK","","38-LB SHORE","","36","40","16GX-012","","","","","","","","","","","","","",""
"18-Jul","9:30 AM","Group","MARINA HS","16","14-LA JOLLA UNITED","","35-SACRAMENTO ORANGE","","36","40","16GX-016","","","","","","","","","","","","","",""
"18-Jul","10:20 AM","Group","MARINA HS","20","12-OAHU","","37-SAN JOSE EXPRESS GOLD","","44","48","16GX-020","","","","","","","","","","","","","",""
"18-Jul","11:10 AM","Group","MARINA HS","24","13-STANFORD B","","36-SHAQ WHITE","","44","48","16GX-024","","","","","","","","","","","","","",""
"18-Jul","12:00 PM","Group","MARINA HS","28","W4","","W8","","ag_N3","51","16GX-028","","","","","","","","","","","","","",""
"18-Jul","12:50 PM","Group","MARINA HS","32","L4","","L8","","52","","16GX-032","","","","","","","","","","","","","",""
"18-Jul","1:40 PM","Group","MARINA HS","36","W12","","W16","","ag_O3","","16GX-036","","","","","","","","","","","","","",""
"18-Jul","2:30 PM","Group","MARINA HS","40","L12","","L16","","56","","16GX-040","","","","","","","","","","","","","",""
"18-Jul","3:20 PM","Group","MARINA HS","44","W20","","W24","","ag_P3","56","16GX-044","","","","","","","","","","","","","",""
"18-Jul","4:10 PM","Group","MARINA HS","48","L20","","L24","","60","","16GX-048","","","","","","","","","","","","","",""
"18-Jul","5:50 PM","2-3 cross","MARINA HS","52","2nd_G","","W32","","ag_T2","","16GX-052","","","","","","","","","","","","","",""
"18-Jul","6:40 PM","2-3 cross","MARINA HS","56","L44","","W40","","ag_R1","","16GX-056","","","","","","","","","","","","","",""
"18-Jul","7:30 PM","2-3 cross","MARINA HS","60","L36","","W48","","ag_S1","","16GX-060","","","","","","","","","","","","","",""
"","","","PORTOLA HS 1","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","S","Dark","S","W to #","","GMID","","","","","","","","","","","","","",""
"18-Jul","7:00 AM","bracket","PORTOLA HS 1","3","G1(7)-CAL REPUBLIC","","G3(31)-CHAWP BLUE","","bracket","","16GX-003","","","","","","","","","","","","","",""
"18-Jul","7:50 AM","Group","PORTOLA HS 1","11","8-COMMERCE","","41-MID VALLEY WHITE","","35","39","16GX-011","","","","","","","","","","","","","",""
"18-Jul","8:40 AM","Group","PORTOLA HS 1","15","17-AMERICAN RIVER","","32-CC UNITED","","35","39","16GX-015","","","","","","","","","","","","","",""
"18-Jul","9:30 AM","Group","PORTOLA HS 1","19","9-ASPHALT GREEN","","40-TRI VALLEY","","43","47","16GX-019","","","","","","","","","","","","","",""
"18-Jul","10:20 AM","bracket","PORTOLA HS 1","27","G2(18)-SACRAMENTO BLACK","","G3(31)-CHAWP BLUE","","bracket","","16GX-027","","","","","","","","","","","","","",""
"18-Jul","11:10 AM","Group","PORTOLA HS 1","23","16-FOOTHILL","","33-SURF CITY","","43","47","16GX-023","","","","","","","","","","","","","",""
"18-Jul","12:00 PM","Group","PORTOLA HS 1","35","W11","","W15","","ag_M2","59","16GX-035","","","","","","","","","","","","","",""
"18-Jul","12:50 PM","Group","PORTOLA HS 1","39","L11","","L15","","55","","16GX-039","","","","","","","","","","","","","",""
"18-Jul","1:40 PM","bracket","PORTOLA HS 1","31","G1(7)-CAL REPUBLIC","","G2(18)-SACRAMENTO BLACK","","bracket","","16GX-031","","","","","","","","","","","","","",""
"18-Jul","2:30 PM","Group","PORTOLA HS 1","43","W19","","W23","","ag_M3","55","16GX-043","","","","","","","","","","","","","",""
"18-Jul","3:20 PM","Group","PORTOLA HS 1","47","L19","","L23","","59","","16GX-047","","","","","","","","","","","","","",""
"18-Jul","5:00 PM","2-3 cross","PORTOLA HS 1","51","L28","","3rd_G","","ag_T1","","16GX-051","","","","","","","","","","","","","",""
"18-Jul","5:50 PM","2-3 cross","PORTOLA HS 1","55","L43","","W39","","ag_U1","","16GX-055","","","","","","","","","","","","","",""
"18-Jul","6:40 PM","2-3 cross","PORTOLA HS 1","59","L35","","W47","","ag_U2","","16GX-059","","","","","","","","","","","","","",""
"","","","CAPISTRANO VALLEY HS 1","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","S","Dark","S","W to #","","GMID","","","","","","","","","","","","","",""
"18-Jul","7:00 AM","bracket","CAPISTRANO VALLEY HS 1","2","D1 (4)-CORONA DEL MAR","","D3(28)-WCAC UNITED B","","bracket","","16GX-002","","","","","","","","","","","","","",""
"18-Jul","7:50 AM","Group","CAPISTRANO VALLEY HS 1","10","5-ROSE BOWL RED A","","43-SAN FRANCISCO WARRIORS","","34","38","16GX-010","","","","","","","","","","","","","",""
"18-Jul","8:40 AM","Group","CAPISTRANO VALLEY HS 1","14","20-MIDVALLEY BLUE","","29-SOUTH COAST WHITE","","34","38","16GX-014","","","","","","","","","","","","","",""
"18-Jul","9:30 AM","Group","CAPISTRANO VALLEY HS 1","18","6-TRILOGY","","42-NORCAL TEAL","","42","46","16GX-018","","","","","","","","","","","","","",""
"18-Jul","10:20 AM","bracket","CAPISTRANO VALLEY HS 1","6","D2(21)-SOUTH VALLEY","","D3(28)-WCAC UNITED B","","bracket","","16GX-006","","","","","","","","","","","","","",""
"18-Jul","11:10 AM","Group","CAPISTRANO VALLEY HS 1","22","19-BIG VALLEY","","30-SHARKS","","42","46","16GX-022","","","","","","","","","","","","","",""
"18-Jul","12:00 PM","Group","CAPISTRANO VALLEY HS 1","34","W10","","W14","","ag_P2","58","16GX-034","","","","","","","","","","","","","",""
"18-Jul","12:50 PM","Group","CAPISTRANO VALLEY HS 1","38","L10","","L14","","54","","16GX-038","","","","","","","","","","","","","",""
"18-Jul","1:40 PM","bracket","CAPISTRANO VALLEY HS 1","26","D1 (4)-CORONA DEL MAR","","D2(21)-SOUTH VALLEY","","bracket","","16GX-026","","","","","","","","","","","","","",""
"18-Jul","2:30 PM","Group","CAPISTRANO VALLEY HS 1","42","W18","","W22","","ag_O2","54","16GX-042","","","","","","","","","","","","","",""
"18-Jul","3:20 PM","Group","CAPISTRANO VALLEY HS 1","46","L18","","L22","","58","","16GX-046","","","","","","","","","","","","","",""
"18-Jul","5:00 PM","2-3 cross","CAPISTRANO VALLEY HS 1","50","L25","","3rd_D","","ag_S3","","16GX-050","","","","","","","","","","","","","",""
"18-Jul","5:50 PM","2-3 cross","CAPISTRANO VALLEY HS 1","54","L42","","W38","","ag_S2","","16GX-054","","","","","","","","","","","","","",""
"18-Jul","6:40 PM","2-3 cross","CAPISTRANO VALLEY HS 1","58","L34","","W46","","ag_R2","","16GX-058","","","","","","","","","","","","","",""
"","","6 min Quarters","","","","","","","","","","","","","","","","","","","","","","",""
"Sun, July 19","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","ag_N","ag_O","","","","","","","","","","","","","","","","","","","","","",""
"","","W41","W25","","","","","","","","","","","","","","","","","","","","","",""
"","","1st_G","W42","","","","","","","","","","","","","","","","","","","","","",""
"","","W28","W36","","","","","","","","","","","","","","","","","","","","","",""
"","","ag_S","ag_T","","","","","","","","","","","","","","","","","","","","","",""
"","","W60","W51","","","","","","","","","","","","","","","","","","","","","",""
"","","W54","W52","","","","","","","","","","","","","","","","","","","","","",""
"","","W50","W53","","","","","","","","","","","","","","","","","","","","","",""
"","","bz_N","bz_O","","","","","","","","","","","","","","","","","","","","","",""
"","","L57","L49","","","","","","","","","","","","","","","","","","","","","",""
"","","L51","L58","","","","","","","","","","","","","","","","","","","","","",""
"","","L52","L56","","","","","","","","","","","","","","","","","","","","","",""
"","","bz_S","bz_T","","","","","","","","","","","","","","","","","","","","","",""
"","","L40","L32","","","","","","","","","","","","","","","","","","","","","",""
"","","L39","L47","","","","","","","","","","","","","","","","","","","","","",""
"","","L29","L45","","","","","","","","ag_","","","","","","","","","","","","","",""
"","","","","","","","","","","","bz_","","","","","","","","","","","","","",""
"","","","MARINA HS","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","S","Dark","S","W to #","","GMID","","","","","","","","","","","","","",""
"19-Jul","7:00 AM","Group","MARINA HS","64","ag_P2","","ag_P3","","RR","","16GX-064","","ag_Group","","","","","","","","","","","",""
"19-Jul","7:50 AM","Group","MARINA HS","68","bz_T1","","bz_T2","","RR","","16GX-068","","bz_Group","","","","","","","","","","","",""
"19-Jul","8:40 AM","Group","MARINA HS","72","ag_T1","","ag_T2","","RR","","16GX-072","","ag_Group","","","","","","","","","","","",""
"19-Jul","9:30 AM","Group","MARINA HS","76","bz_P2","","bz_P3","","RR","","16GX-076","","bz_Group","","","","","","","","","","","",""
"19-Jul","10:20 AM","Group","MARINA HS","80","ag_P1","","ag_P3","","RR","","16GX-080","","ag_Group","","","","","","","","","","","",""
"19-Jul","11:10 AM","Group","MARINA HS","84","bz_T1","","bz_T3","","RR","","16GX-084","","bz_Group","","","","","","","","","","","",""
"19-Jul","12:00 PM","Group","MARINA HS","88","ag_T1","","ag_T3","","RR","","16GX-088","","ag_Group","","","","","","","","","","","",""
"19-Jul","12:50 PM","Group","MARINA HS","92","bz_P1","","bz_P3","","RR","","16GX-092","","bz_Group","","","","","","","","","","","",""
"19-Jul","1:40 PM","Group","MARINA HS","96","ag_P1","","ag_P2","","RR","","16GX-096","","ag_Group","","","","","","","","","","","",""
"19-Jul","2:30 PM","Group","MARINA HS","100","bz_T2","","bz_T3","","RR","","16GX-100","","bz_Group","","","","","","","","","","","",""
"19-Jul","3:20 PM","Group","MARINA HS","104","ag_T2","","ag_T3","","RR","","16GX-104","","ag_Group","","","","","","","","","","","",""
"19-Jul","4:10 PM","Group","MARINA HS","108","bz_P1","","bz_P2","","RR","","16GX-108","","bz_Group","","","","","","","","","","","",""
"19-Jul","5:50 PM","play-in","MARINA HS","112","3rd_ag_P","","1st_ag_T","","126","137","16GX-112","","ag_play-in","","","","","","","","","","","",""
"19-Jul","6:40 PM","play-in","MARINA HS","116","3rd_bz_P","","1st_bz_T","","128","","16GX-116","","bz_play-in","","","","","","","","","","","",""
"","","","CAPISTRANO VALLEY HS 1","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","S","Dark","S","W to #","","GMID","","","","","","","","","","","","","",""
"19-Jul","7:00 AM","Group","CAPISTRANO VALLEY HS 1","63","ag_O2","","ag_O3","","RR","","16GX-063","","ag_Group","","","","","","","","","","","",""
"19-Jul","7:50 AM","Group","CAPISTRANO VALLEY HS 1","71","ag_U1","","ag_U2","","RR","","16GX-071","","ag_Group","","","","","","","","","","","",""
"19-Jul","8:40 AM","Group","CAPISTRANO VALLEY HS 1","75","bz_O2","","bz_O3","","RR","","16GX-075","","bz_Group","","","","","","","","","","","",""
"19-Jul","9:30 AM","Group","CAPISTRANO VALLEY HS 1","79","ag_O1","","ag_O3","","RR","","16GX-079","","ag_Group","","","","","","","","","","","",""
"19-Jul","11:10 AM","Group","CAPISTRANO VALLEY HS 1","87","ag_U1","","ag_U3","","RR","","16GX-087","","ag_Group","","","","","","","","","","","",""
"19-Jul","12:00 PM","Group","CAPISTRANO VALLEY HS 1","91","bz_O1","","bz_O3","","RR","","16GX-091","","bz_Group","","","","","","","","","","","",""
"19-Jul","12:50 PM","Group","CAPISTRANO VALLEY HS 1","95","ag_O1","","ag_O2","","RR","","16GX-095","","ag_Group","","","","","","","","","","","",""
"19-Jul","2:30 PM","Group","CAPISTRANO VALLEY HS 1","103","ag_U2","","ag_U3","","RR","","16GX-103","","ag_Group","","","","","","","","","","","",""
"19-Jul","3:20 PM","Group","CAPISTRANO VALLEY HS 1","107","bz_O1","","bz_O2","","RR","","16GX-107","","bz_Group","","","","","","","","","","","",""
"19-Jul","4:10 PM","play-in","CAPISTRANO VALLEY HS 1","111","3rd_ag_O","","1st_ag_U","","125","138","16GX-111","","ag_play-in","","","","","","","","","","","",""
"19-Jul","5:00 PM","play-in","CAPISTRANO VALLEY HS 1","115","2nd_bz_R","","3rd_bz_S","","bz_W2","","16GX-115","","bz_play-in","","","","","","","","","","","",""
"","","","PORTOLA HS 1","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","S","Dark","S","W to #","","GMID","","","","","","","","","","","","","",""
"19-Jul","7:00 AM","Group","PORTOLA HS 1","62","ag_N2","","ag_N3","","RR","","16GX-062","","ag_Group","","","","","","","","","","","",""
"19-Jul","7:50 AM","Group","PORTOLA HS 1","66","bz_R1","","bz_R2","","RR","","16GX-066","","bz_Group","","","","","","","","","","","",""
"19-Jul","8:40 AM","Group","PORTOLA HS 1","70","ag_R1","","ag_R2","","RR","","16GX-070","","ag_Group","","","","","","","","","","","",""
"19-Jul","9:30 AM","Group","PORTOLA HS 1","74","bz_N2","","bz_N3","","RR","","16GX-074","","bz_Group","","","","","","","","","","","",""
"19-Jul","10:20 AM","Group","PORTOLA HS 1","78","ag_N1","","ag_N3","","RR","","16GX-078","","ag_Group","","","","","","","","","","","",""
"19-Jul","11:10 AM","Group","PORTOLA HS 1","82","bz_R1","","bz_R3","","RR","","16GX-082","","bz_Group","","","","","","","","","","","",""
"19-Jul","12:00 PM","Group","PORTOLA HS 1","86","ag_R1","","ag_R3","","RR","","16GX-086","","ag_Group","","","","","","","","","","","",""
"19-Jul","12:50 PM","Group","PORTOLA HS 1","90","bz_N1","","bz_N3","","RR","","16GX-090","","bz_Group","","","","","","","","","","","",""
"19-Jul","1:40 PM","Group","PORTOLA HS 1","94","ag_N1","","ag_N2","","RR","","16GX-094","","ag_Group","","","","","","","","","","","",""
"19-Jul","2:30 PM","Group","PORTOLA HS 1","98","bz_R2","","bz_R3","","RR","","16GX-098","","bz_Group","","","","","","","","","","","",""
"19-Jul","3:20 PM","Group","PORTOLA HS 1","102","ag_R2","","ag_R3","","RR","","16GX-102","","ag_Group","","","","","","","","","","","",""
"19-Jul","4:10 PM","Group","PORTOLA HS 1","106","bz_N1","","bz_N2","","RR","","16GX-106","","bz_Group","","","","","","","","","","","",""
"19-Jul","5:50 PM","play-in","PORTOLA HS 1","110","3rd_ag_N","","1st_ag_R","","129","133","16GX-110","","ag_play-in","","","","","","","","","","","",""
"19-Jul","6:40 PM","play-in","PORTOLA HS 1","114","3rd_bz_N","","1st_bz_R","","131","","16GX-114","","bz_play-in","","","","","","","","","","","",""
"19-Jul","7:30 PM","play-in","PORTOLA HS 1","83","2nd_bz_T","","3rd_bz_R","","bz_W3","","16GX-083","","bz_play-in","","","","","","","","","","","",""
"","","","GOLDEN WEST COLLEGE 1","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","S","Dark","S","W to #","","GMID","","","","","","","","","","","","","",""
"19-Jul","7:00 AM","Group","GOLDEN WEST COLLEGE 1","61","ag_M2","","ag_M3","","RR","","16GX-061","","ag_Group","","","","","","","","","","","",""
"19-Jul","7:50 AM","Group","GOLDEN WEST COLLEGE 1","65","bz_S1","","bz_S2","","RR","","16GX-065","","bz_Group","","","","","","","","","","","",""
"19-Jul","8:40 AM","Group","GOLDEN WEST COLLEGE 1","69","ag_S1","","ag_S2","","RR","","16GX-069","","ag_Group","","","","","","","","","","","",""
"19-Jul","9:30 AM","Group","GOLDEN WEST COLLEGE 1","73","bz_M2","","bz_M3","","RR","","16GX-073","","bz_Group","","","","","","","","","","","",""
"19-Jul","10:20 AM","Group","GOLDEN WEST COLLEGE 1","77","ag_M1","","ag_M3","","RR","","16GX-077","","ag_Group","","","","","","","","","","","",""
"19-Jul","11:10 AM","Group","GOLDEN WEST COLLEGE 1","81","bz_S1","","bz_S3","","RR","","16GX-081","","bz_Group","","","","","","","","","","","",""
"19-Jul","12:00 PM","Group","GOLDEN WEST COLLEGE 1","85","ag_S1","","ag_S3","","RR","","16GX-085","","ag_Group","","","","","","","","","","","",""
"19-Jul","12:50 PM","Group","GOLDEN WEST COLLEGE 1","89","bz_M1","","bz_M3","","RR","","16GX-089","","bz_Group","","","","","","","","","","","",""
"19-Jul","1:40 PM","Group","GOLDEN WEST COLLEGE 1","93","ag_M1","","ag_M2","","RR","","16GX-093","","ag_Group","","","","","","","","","","","",""
"19-Jul","2:30 PM","Group","GOLDEN WEST COLLEGE 1","97","bz_S2","","bz_S3","","RR","","16GX-097","","bz_Group","","","","","","","","","","","",""
"19-Jul","3:20 PM","Group","GOLDEN WEST COLLEGE 1","101","ag_S2","","ag_S3","","RR","","16GX-101","","ag_Group","","","","","","","","","","","",""
"19-Jul","4:10 PM","Group","GOLDEN WEST COLLEGE 1","105","bz_M1","","bz_M2","","RR","","16GX-105","","bz_Group","","","","","","","","","","","",""
"19-Jul","5:50 PM","play-in","GOLDEN WEST COLLEGE 1","109","3rd_ag_M","","1st_ag_S","","130","134","16GX-109","","ag_play-in","","","","","","","","","","","",""
"19-Jul","6:40 PM","play-in","GOLDEN WEST COLLEGE 1","113","3rd_bz_M","","1st_bz_S","","132","","16GX-113","","bz_play-in","","","","","","","","","","","",""
"19-Jul","7:30 PM","play-in","GOLDEN WEST COLLEGE 1","67","2nd_bz_S","","3rd_bz_T","","bz_V3","","16GX-067","","bz_play-in","","","","","","","","","","","",""
"","","6 min Quarters","","","","","","","","","","","","","","","","","","","","","","",""
"Mon, July 20","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","PORTOLA HS 1","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","S","Dark","S","W to #","","GMID","","","","","","","","","","","","","",""
"20-Jul","8:00 AM","21-24 RR","PORTOLA HS 1","117","3rd_ag_T","","3rd_ag_S","","ag_21-24 RR","","16GX-117","","ag_21-24 RR","","","","","","","","","","","",""
"20-Jul","9:00 AM","1-2 v 3-4","PORTOLA HS 1","121","1st_ag_N","","1st_ag_O","","174","161","16GX-121","","ag_1-2 v 3-4","","","","","","","","","","","",""
"20-Jul","10:00 AM","5-8 v 9-12","PORTOLA HS 1","125","2nd_ag_P","","W111","","145","149","16GX-125","","ag_5-8 v 9-12","","","","","","","","","","","",""
"20-Jul","11:00 AM","5-8 v 9-12","PORTOLA HS 1","129","2nd_ag_M","","W110","","145","149","16GX-129","","ag_5-8 v 9-12","","","","","","","","","","","",""
"20-Jul","12:00 PM","13-20 qtr","PORTOLA HS 1","133","L110","","2nd_ag_U","","153","157","16GX-133","","ag_13-20 qtr","","","","","","","","","","","",""
"20-Jul","1:00 PM","13-20 qtr","PORTOLA HS 1","137","L112","","2nd_ag_S","","153","157","16GX-137","","ag_13-20 qtr","","","","","","","","","","","",""
"20-Jul","2:00 PM","21-24 RR","PORTOLA HS 1","141","3rd_ag_T","","3rd_ag_R","","ag_21-24 RR","","16GX-141","","ag_21-24 RR","","","","","","","","","","","",""
"20-Jul","3:00 PM","5-6 v 7-8","PORTOLA HS 1","145","W125","","W129","","161","185","16GX-145","","ag_5-6 v 7-8","","","","","","","","","","","",""
"20-Jul","4:00 PM","9-12 semi","PORTOLA HS 1","149","L129","","L125","","182","181","16GX-149","","ag_9-12 semi","","","","","","","","","","","",""
"20-Jul","5:00 PM","13-16 semi","PORTOLA HS 1","153","W133","","W137","","178","177","16GX-153","","ag_13-16 semi","","","","","","","","","","","",""
"20-Jul","6:00 PM","17-20 semi","PORTOLA HS 1","157","L137","","L133","","170","169","16GX-157","","ag_17-20 semi","","","","","","","","","","","",""
"20-Jul","7:00 PM","play to semi","PORTOLA HS 1","161","L121","","W145","","173","186","16GX-161","","ag_play to semi","","","","","","","","","","","",""
"","","","GOLDEN WEST COLLEGE 1","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","S","Dark","S","W to #","","GMID","","","","","","","","","","","","","",""
"20-Jul","8:00 AM","21-24 RR","GOLDEN WEST COLLEGE 1","118","3rd_ag_U","","3rd_ag_R","","ag_21-24 RR","","16GX-118","","ag_21-24 RR","","","","","","","","","","","",""
"20-Jul","9:00 AM","play to semi","GOLDEN WEST COLLEGE 1","122","1st_ag_M","","1st_ag_P","","173","162","16GX-122","","ag_play to semi","","","","","","","","","","","",""
"20-Jul","10:00 AM","5-8 v 9-12","GOLDEN WEST COLLEGE 1","126","2nd_ag_O","","W112","","146","150","16GX-126","","ag_5-8 v 9-12","","","","","","","","","","","",""
"20-Jul","11:00 AM","5-8 v 9-12","GOLDEN WEST COLLEGE 1","130","2nd_ag_N","","W109","","146","150","16GX-130","","ag_5-8 v 9-12","","","","","","","","","","","",""
"20-Jul","12:00 PM","13-20 qtr","GOLDEN WEST COLLEGE 1","134","L109","","2nd_ag_T","","154","158","16GX-134","","ag_13-20 qtr","","","","","","","","","","","",""
"20-Jul","1:00 PM","13-20 qtr","GOLDEN WEST COLLEGE 1","138","L111","","2nd_ag_R","","154","158","16GX-138","","ag_13-20 qtr","","","","","","","","","","","",""
"20-Jul","2:00 PM","21-24 RR","GOLDEN WEST COLLEGE 1","142","3rd_ag_U","","3rd_ag_S","","ag_21-24 RR","","16GX-142","","ag_21-24 RR","","","","","","","","","","","",""
"20-Jul","3:00 PM","5-6 v 7-8","GOLDEN WEST COLLEGE 1","146","W126","","W130","","162","185","16GX-146","","ag_5-6 v 7-8","","","","","","","","","","","",""
"20-Jul","4:00 PM","9-12 semi","GOLDEN WEST COLLEGE 1","150","L130","","L126","","182","181","16GX-150","","ag_9-12 semi","","","","","","","","","","","",""
"20-Jul","5:00 PM","13-16 semi","GOLDEN WEST COLLEGE 1","154","W134","","W138","","178","177","16GX-154","","ag_13-16 semi","","","","","","","","","","","",""
"20-Jul","6:00 PM","17-20 semi","GOLDEN WEST COLLEGE 1","158","L138","","L134","","170","169","16GX-158","","ag_17-20 semi","","","","","","","","","","","",""
"20-Jul","7:00 PM","play to semi","GOLDEN WEST COLLEGE 1","162","L122","","W146","","174","186","16GX-162","","ag_play to semi","","","","","","","","","","","",""
"","","bz_X","","","","","","","","","","","","","","","","","","","","","","",""
"","","L115","","","","","","","","","","","","","","","","","","","","","","",""
"","","L67","","","","","","","","","","","","","","","","","","","","","","",""
"","","L83","","","","","","","","","","","","","","","","","","","","","","",""
"","","","MARINA HS","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","S","Dark","S","W to #","","GMID","","","","","","","","","","","","","",""
"20-Jul","7:00 AM","bracket","MARINA HS","136","bz_W1","","bz_W3","","bracket","","16GX-136","","bz_bracket","","","","","","","","","","","",""
"20-Jul","8:00 AM","5-8 v 9-12","MARINA HS","128","2nd_bz_O","","W116","","148","152","16GX-128","","bz_5-8 v 9-12","","","","","","","","","","","",""
"20-Jul","9:00 AM","5-8 v 9-12","MARINA HS","132","2nd_bz_N","","W113","","148","152","16GX-132","","bz_5-8 v 9-12","","","","","","","","","","","",""
"20-Jul","10:00 AM","19-21 RR","MARINA HS","120","bz_X1","","bz_X2","","bz_19-21 RR","","16GX-120","","bz_19-21 RR","","","","","","","","","","","",""
"20-Jul","11:00 AM","play to semi","MARINA HS","124","1st_bz_M","","1st_bz_P","","171","164","16GX-124","","bz_play to semi","","","","","","","","","","","",""
"20-Jul","12:00 PM","bracket","MARINA HS","140","bz_W2","","bz_W3","","bracket","","16GX-140","","bz_bracket","","","","","","","","","","","",""
"20-Jul","1:00 PM","1-2 v 3-4","MARINA HS","148","W128","","W132","","164","188","16GX-148","","bz_1-2 v 3-4","","","","","","","","","","","",""
