Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
19-Jul,6:40 PM,Play-in,SADDLEBACK COLLEGE 1,109,3rd pt_M-,,1st pt_S-,,129,134,14G-109
19-Jul,7:30 PM,Play-in,SADDLEBACK COLLEGE 1,113,3rd pt_N-,,1st pt_R-,,121,126,14G-113
19-Jul,7:00 AM,Group,UC IRVINE 2,62,pt_O2,,pt_O3,,,,14G-062
19-Jul,7:50 AM,Group,UC IRVINE 2,66,pt_P2,,pt_P3,,,,14G-066
19-Jul,8:40 AM,Group,UC IRVINE 2,70,pt_U1,,pt_U2,,,,14G-070
19-Jul,9:30 AM,Group,UC IRVINE 2,74,pt_T1,,pt_T2,,,,14G-074
19-Jul,10:20 AM,Group,UC IRVINE 2,78,pt_O1,,pt_O3,,,,14G-078
19-Jul,11:10 AM,Group,UC IRVINE 2,82,pt_P1,,pt_P3,,,,14G-082
19-Jul,12:00 PM,Group,UC IRVINE 2,86,pt_U1,,pt_U3,,,,14G-086
19-Jul,12:50 PM,Group,UC IRVINE 2,90,pt_T1,,pt_T3,,,,14G-090
19-Jul,1:40 PM,Group,UC IRVINE 2,94,pt_O1,,pt_O2,,,,14G-094
19-Jul,2:30 PM,Group,UC IRVINE 2,98,pt_P1,,pt_P2,,,,14G-098
19-Jul,3:20 PM,Group,UC IRVINE 2,102,pt_U2,,pt_U3,,,,14G-102
19-Jul,4:10 PM,Group,UC IRVINE 2,106,pt_T2,,pt_T3,,,,14G-106
19-Jul,6:40 PM,Play-in,UC IRVINE 2,110,3rd pt_O-,,1st pt_U-,,117,138,14G-110
19-Jul,7:30 PM,Play-in,UC IRVINE 2,114,3rd pt_P-,,1st pt_T-,,125,130,14G-114
19-Jul,7:00 AM,Group,GARDEN GROVE HS,63,au_S1,,au_S2,,,,14G-063
19-Jul,7:50 AM,Group,GARDEN GROVE HS,67,au_R1,,au_R2,,,,14G-067
19-Jul,8:40 AM,Group,GARDEN GROVE HS,71,au_M2,,au_M3,,,,14G-071
19-Jul,9:30 AM,Group,GARDEN GROVE HS,75,au_N2,,au_N3,,,,14G-075
19-Jul,10:20 AM,Group,GARDEN GROVE HS,79,au_S1,,au_S3,,,,14G-079
19-Jul,11:10 AM,Group,GARDEN GROVE HS,83,au_R1,,au_R3,,,,14G-083
19-Jul,12:00 PM,Group,GARDEN GROVE HS,87,au_M1,,au_M3,,,,14G-087
19-Jul,12:50 PM,Group,GARDEN GROVE HS,91,au_N1,,au_N3,,,,14G-091
19-Jul,1:40 PM,Group,GARDEN GROVE HS,95,au_S2,,au_S3,,,,14G-095
19-Jul,2:30 PM,Group,GARDEN GROVE HS,99,au_R2,,au_R3,,,,14G-099
19-Jul,3:20 PM,Group,GARDEN GROVE HS,103,au_M1,,au_M2,,,,14G-103
19-Jul,4:10 PM,Group,GARDEN GROVE HS,107,au_N1,,au_N2,,,,14G-107
19-Jul,6:40 PM,Play-in,GARDEN GROVE HS,111,3rd au_M-,,1st au_S-,,131,136,14G-111
19-Jul,7:30 PM,Play-in,GARDEN GROVE HS,115,3rd au_N-,,1st au_R-,,123,128,14G-115
19-Jul,7:00 AM,Group,OCEAN VIEW HS 1,64,au_U1,,au_U2,,,,14G-064
19-Jul,7:50 AM,Group,OCEAN VIEW HS 1,68,au_T1,,au_T2,,,,14G-068
19-Jul,8:40 AM,Group,OCEAN VIEW HS 1,72,au_O2,,au_O3,,,,14G-072
19-Jul,9:30 AM,Group,OCEAN VIEW HS 1,76,au_P2,,au_P3,,,,14G-076
19-Jul,10:20 AM,Group,OCEAN VIEW HS 1,80,au_U1,,au_U3,,,,14G-080
19-Jul,11:10 AM,Group,OCEAN VIEW HS 1,84,au_T1,,au_T3,,,,14G-084
19-Jul,12:00 PM,Group,OCEAN VIEW HS 1,88,au_O1,,au_O3,,,,14G-088
19-Jul,12:50 PM,Group,OCEAN VIEW HS 1,92,au_P1,,au_P3,,,,14G-092
19-Jul,1:40 PM,Group,OCEAN VIEW HS 1,96,au_U2,,au_U3,,,,14G-096
19-Jul,2:30 PM,Group,OCEAN VIEW HS 1,100,au_T2,,au_T3,,,,14G-100
19-Jul,3:20 PM,Group,OCEAN VIEW HS 1,104,au_O1,,au_O2,,,,14G-104
19-Jul,4:10 PM,Group,OCEAN VIEW HS 1,108,au_P1,,au_P2,,,,14G-108
19-Jul,6:40 PM,Play-in,OCEAN VIEW HS 1,112,3rd au_O-,,1st au_U-,,119,140,14G-112
19-Jul,7:30 PM,Play-in,OCEAN VIEW HS 1,116,3rd au_P-,,1st au_T-,,127,132,14G-116
20-Jul,8:00 AM,5-8 v 9-12,UC IRVINE 1,117,2nd pt_P-,,W110,,141,149,14G-117
20-Jul,9:00 AM,5-8 v 9-12,UC IRVINE 1,121,2nd pt_M-,,W113,,141,149,14G-121
20-Jul,10:00 AM,5-8 v 9-12,UC IRVINE 1,125,2nd pt_O-,,W114,,145,153,14G-125
20-Jul,11:00 AM,5-8 v 9-12,UC IRVINE 1,129,2nd pt_N-,,W109,,145,153,14G-129
20-Jul,12:00 PM,1-2 v 3-4,UC IRVINE 1,133,1st pt_N-,,1st pt_O-,,174,157,14G-133
20-Jul,1:00 PM,1-2 v 3-4,UC IRVINE 1,137,1st pt_M-,,1st pt_P-,,173,161,14G-137
20-Jul,2:00 PM,5-6 v 7-8,UC IRVINE 1,141,W117,,W121,,157,185,14G-141
20-Jul,3:00 PM,5-6 v 7-8,UC IRVINE 1,145,W125,,W129,,161,185,14G-145
20-Jul,4:00 PM,9-12 semi,UC IRVINE 1,149,L121,,L117,,182,181,14G-149
20-Jul,5:00 PM,9-12 semi,UC IRVINE 1,153,L129,,L125,,182,181,14G-153
20-Jul,6:00 PM,play to semi,UC IRVINE 1,157,L133,,W141,,173,186,14G-157
20-Jul,7:00 PM,play to semi,UC IRVINE 1,161,L137,,W145,,174,186,14G-161
20-Jul,8:00 AM,21-24 RR,UC IRVINE 2,118,3rd pt_U-,,3rd pt_R-,,,,14G-118
20-Jul,9:00 AM,21-24 RR,UC IRVINE 2,122,3rd pt_T-,,3rd pt_S-,,,,14G-122
20-Jul,10:00 AM,13-20 qtr,UC IRVINE 2,126,L113,,2nd pt_U-,,150,154,14G-126
20-Jul,11:00 AM,13-20 qtr,UC IRVINE 2,130,L114,,2nd pt_S-,,150,154,14G-130
20-Jul,12:00 PM,13-20 qtr,UC IRVINE 2,134,L109,,2nd pt_T-,,158,162,14G-134
20-Jul,1:00 PM,13-20 qtr,UC IRVINE 2,138,L110,,2nd pt_R-,,158,162,14G-138
20-Jul,2:00 PM,21-24 RR,UC IRVINE 2,142,3rd pt_U-,,3rd pt_S-,,,,14G-142
20-Jul,3:00 PM,21-24 RR,UC IRVINE 2,146,3rd pt_T-,,3rd pt_R-,,,,14G-146
20-Jul,4:00 PM,13-16 semi,UC IRVINE 2,150,W126,,W130,,178,177,14G-150
20-Jul,5:00 PM,17-20 semi,UC IRVINE 2,154,L130,,L126,,170,169,14G-154
20-Jul,6:00 PM,13-16 semi,UC IRVINE 2,158,W134,,W138,,178,177,14G-158
20-Jul,7:00 PM,17-20 semi,UC IRVINE 2,162,L138,,L134,,170,169,14G-162
20-Jul,8:00 AM,5-8 v 9-12,LA SERNA HS,119,2nd au_P-,,W112,,143,151,14G-119
20-Jul,9:00 AM,5-8 v 9-12,LA SERNA HS,123,2nd au_M-,,W115,,143,151,14G-123
20-Jul,10:00 AM,5-8 v 9-12,LA SERNA HS,127,2nd au_O-,,W116,,147,155,14G-127
20-Jul,11:00 AM,5-8 v 9-12,LA SERNA HS,131,2nd au_N-,,W111,,147,155,14G-131
20-Jul,12:00 PM,1-2 v 3-4,LA SERNA HS,135,1st au_N-,,1st au_O-,,172,159,14G-135
20-Jul,1:00 PM,1-2 v 3-4,LA SERNA HS,139,1st au_M-,,1st au_P-,,171,163,14G-139
20-Jul,2:00 PM,5-6 v 7-8,LA SERNA HS,143,W119,,W123,,159,188,14G-143
20-Jul,3:00 PM,5-6 v 7-8,LA SERNA HS,147,W127,,W131,,163,188,14G-147
20-Jul,4:00 PM,9-12 semi,LA SERNA HS,151,L123,,L119,,183,184,14G-151
20-Jul,5:00 PM,9-12 semi,LA SERNA HS,155,L131,,L127,,183,184,14G-155
20-Jul,6:00 PM,play to semi,LA SERNA HS,159,L135,,W143,,171,187,14G-159
20-Jul,7:00 PM,play to semi,LA SERNA HS,163,L139,,W147,,172,187,14G-163
20-Jul,8:00 AM,21-24 RR,LONG BEACH CC 2,120,3rd au_U-,,3rd au_R-,,,,14G-120
20-Jul,9:00 AM,21-24 RR,LONG BEACH CC 2,124,3rd au_T-,,3rd au_S-,,,,14G-124
20-Jul,10:00 AM,13-20 qtr,LONG BEACH CC 2,128,L115,,2nd au_U-,,152,156,14G-128
20-Jul,11:00 AM,13-20 qtr,LONG BEACH CC 2,132,L116,,2nd au_S-,,152,156,14G-132
20-Jul,12:00 PM,13-20 qtr,LONG BEACH CC 2,136,L111,,2nd au_T-,,160,164,14G-136
20-Jul,1:00 PM,13-20 qtr,LONG BEACH CC 2,140,L112,,2nd au_R-,,160,164,14G-140
20-Jul,2:00 PM,21-24 RR,LONG BEACH CC 2,144,3rd au_U-,,3rd au_S-,,,,14G-144
20-Jul,3:00 PM,21-24 RR,LONG BEACH CC 2,148,3rd au_T-,,3rd au_R-,,,,14G-148
20-Jul,4:00 PM,13-16 semi,LONG BEACH CC 2,152,W128,,W132,,179,180,14G-152
20-Jul,5:00 PM,17-20 semi,LONG BEACH CC 2,156,L132,,L128,,175,176,14G-156
20-Jul,6:00 PM,13-16 semi,LONG BEACH CC 2,160,W136,,W140,,179,180,14G-160
20-Jul,7:00 PM,17-20 semi,LONG BEACH CC 2,164,L140,,L136,,175,176,14G-164
21-Jul,7:00 AM,21-24 RR,UC IRVINE 2,165,3rd pt_T-,,3rd pt_U-,,,,14G-165
