"","HOT! RESULTS ","SUBMIT SCORES! ","Quarter Lengths by Day 6-6-7-7","","","","","","","","","","","","","","","","","","","","","",""
"18-Jul","12:00 PM","Group","SONORA HS","23","H2(17)-WEST VALLEY","","H3(32)-CHULA VISTA PREMIER","","","","18GX-023","","","","","","","","","","","","","",""
"18-Jul","12:50 PM","Group","SONORA HS","27","W3","","W7","","","52","18GX-027","","","","","","","","","","","","","",""
"18-Jul","1:40 PM","Group","SONORA HS","31","L3","","L7","","51","","18GX-031","","","","","","","","","","","","","",""
"18-Jul","3:20 PM","Group","SONORA HS","35","G1(7)-SANTA BARBARA WPC C","","G2(18)-A TOWN","","","","18GX-035","","","","","","","","","","","","","",""
"18-Jul","4:10 PM","Group","SONORA HS","39","H1(8)-COMMERCE","","H2(17)-WEST VALLEY","","","","18GX-039","","","","","","","","","","","","","",""
"18-Jul","6:40 PM","2-3 cross","SONORA HS","51","L28-2ndJ","","W31-3rdI","","","","18GX-051","","","","","","","","","","","","","",""
"18-Jul","7:30 PM","2-3 cross","SONORA HS","55","2ndH-","","3rdG-","","","","18GX-055","","","","","","","","","","","","","",""
"18-Jul","8:20 PM","2-3 cross","SONORA HS","59","2ndG-","","3rdH-","","","","18GX-059","","","","","","","","","","","","","",""
"","","","FULLERTON HS","","J K L","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","S","Dark","S","","","GMID","","","","","","","","","","","","","",""
"18-Jul","7:00 AM","Group","FULLERTON HS","4","J1(10)-SOCAL GOLD","","J4(39)-WILDKIT","","28","32","18GX-004","","","","","","","","","","","","","",""
"18-Jul","7:50 AM","Group","FULLERTON HS","8","J2(15)-SAN JOSE ALMADEN","","J3(34)-MAVERICKS","","28","32","18GX-008","","","","","","","","","","","","","",""
"18-Jul","8:40 AM","Group","FULLERTON HS","12","K1(11)-AMERICAN RIVER","","K4(38)-LONGHORN","","36","40","18GX-012","","","","","","","","","","","","","",""
"18-Jul","9:30 AM","Group","FULLERTON HS","16","K2(14)-LA VERNE LEGENDS","","K3(35)-NWC","","36","40","18GX-016","","","","","","","","","","","","","",""
"18-Jul","10:20 AM","Group","FULLERTON HS","20","L1(12)-MID VALLEY WHITE","","L4(37)-HILO HAMMAHZ","","44","48","18GX-020","","","","","","","","","","","","","",""
"18-Jul","11:10 AM","Group","FULLERTON HS","24","L2(13)-PRAETORIAN","","L3(36)-KEARNS","","44","48","18GX-024","","","","","","","","","","","","","",""
"18-Jul","12:00 PM","Group","FULLERTON HS","28","W4","","W8","","","51","18GX-028","","","","","","","","","","","","","",""
"18-Jul","12:50 PM","Group","FULLERTON HS","32","L4","","L8","","52","","18GX-032","","","","","","","","","","","","","",""
"18-Jul","1:40 PM","Group","FULLERTON HS","36","W12","","W16","","","60","18GX-036","","","","","","","","","","","","","",""
"18-Jul","2:30 PM","Group","FULLERTON HS","40","L12","","L16","","56","","18GX-040","","","","","","","","","","","","","",""
"18-Jul","3:20 PM","Group","FULLERTON HS","44","W20","","W24","","","56","18GX-044","","","","","","","","","","","","","",""
"18-Jul","4:10 PM","Group","FULLERTON HS","48","L20","","L24","","60","","18GX-048","","","","","","","","","","","","","",""
"18-Jul","6:40 PM","2-3 cross","FULLERTON HS","52","L27-2ndI","","W32-3rdJ","","","","18GX-052","","","","","","","","","","","","","",""
"18-Jul","7:30 PM","2-3 cross","FULLERTON HS","56","L44-2ndL","","W40-3rdK","","","","18GX-056","","","","","","","","","","","","","",""
"18-Jul","8:20 PM","2-3 cross","FULLERTON HS","60","L36-2ndK","","W48-3rdL","","","","18GX-060","","","","","","","","","","","","","",""
"Sun, July 19","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","ag_N","ag_O","","","","","","","","","","","","","","","","","","","","","",""
"","","1stB-","W25-1stC","","","","","","","","","","","","","","","","","","","","","",""
"","","1stG-","W42-1stF","","","","","","","","","","","","","","","","","","","","","",""
"","","W28-1stJ","W36-1stK","","","","","","","","","","","","","","","","","","","","","",""
"","","ag_S","ag_T","","","","","","","","","","","","","","","","","","","","","",""
"","","W60","W51","","","","","","","","","","","","","","","","","","","","","",""
"","","W54","W59","","","","","","","","","","","","","","","","","","","","","",""
"","","W50","W53","","","","","","","","","","","","","","","","","","","","","",""
"","","bz_N","bz_O","","","","","","","","","","","","","","","","","","","","","",""
"","","L57","L49","","","","","","","","","","","","","","","","","","","","","",""
"","","L55","L58","","","","","","","","","","","","","","","","","","","","","",""
"","","L52","L56","","","","","","","","","","","","","","","","","","","","","",""
"","","bz_S","bz_T","","","","","","","","","","","","","","","","","","","","","",""
"","","L40-4thK","L32-4thJ","","","","","","","","","","","","","","","","","","","","","",""
"","","L29-4thC","L38-4thE","","","","","","","","","","","","","","","","","","","","","",""
"","","","BUENA PARK HS","","M N S R","","","","","","ag","","","","","","","","","","","","","",""
"","","Type","Location","","White","S","Dark","S","","","GMID","","","","","","","","","","","","","",""
"19-Jul","7:00 AM","Group","BUENA PARK HS","61","ag_M1-","","ag_M3","","","","18GX-061","","","ag Group","","","","","","","","","","",""
"19-Jul","7:50 AM","Group","BUENA PARK HS","65","ag_N2-","","ag_N3","","","","18GX-065","","","ag Group","","","","","","","","","","",""
"19-Jul","8:40 AM","Group","BUENA PARK HS","69","ag_S1","","ag_S2","","","","18GX-069","","","ag Group","","","","","","","","","","",""
"19-Jul","9:30 AM","Group","BUENA PARK HS","73","ag_R1","","ag_R2","","","","18GX-073","","","ag Group","","","","","","","","","","",""
"19-Jul","10:20 AM","Group","BUENA PARK HS","77","ag_M2-","","ag_M3","","","","18GX-077","","","ag Group","","","","","","","","","","",""
"19-Jul","11:10 AM","Group","BUENA PARK HS","81","ag_N1-","","ag_N3","","","","18GX-081","","","ag Group","","","","","","","","","","",""
"19-Jul","12:00 PM","Group","BUENA PARK HS","85","ag_S1","","ag_S3","","","","18GX-085","","","ag Group","","","","","","","","","","",""
"19-Jul","12:50 PM","Group","BUENA PARK HS","89","ag_R1","","ag_R3","","","","18GX-089","","","ag Group","","","","","","","","","","",""
"19-Jul","1:40 PM","Group","BUENA PARK HS","93","ag_M1-","","ag_M2-","","","","18GX-093","","","ag Group","","","","","","","","","","",""
"19-Jul","2:30 PM","Group","BUENA PARK HS","97","ag_N1-","","ag_N2-","","","","18GX-097","","","ag Group","","","","","","","","","","",""
"19-Jul","3:20 PM","Group","BUENA PARK HS","101","ag_S2","","ag_S3","","","","18GX-101","","","ag Group","","","","","","","","","","",""
"19-Jul","4:10 PM","Group","BUENA PARK HS","105","ag_R2","","ag_R3","","","","18GX-105","","","ag Group","","","","","","","","","","",""
"19-Jul","6:40 PM","Play-in","BUENA PARK HS","109","3rd ag_M-","","1st ag_S-","","129","134","18GX-109","","","ag Play-in","","","","","","","","","","",""
"19-Jul","7:30 PM","Play-in","BUENA PARK HS","113","3rd ag_N-","","1st ag_R-","","121","126","18GX-113","","","ag Play-in","","","","","","","","","","",""
"","","","EDISON HS","","O P U T","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","S","Dark","S","","","GMID","","","","","","","","","","","","","",""
"19-Jul","7:00 AM","Group","EDISON HS","62","ag_O2","","ag_O3","","","","18GX-062","","","ag Group","","","","","","","","","","",""
"19-Jul","7:50 AM","Group","EDISON HS","66","ag_P2","","ag_P3","","","","18GX-066","","","ag Group","","","","","","","","","","",""
"19-Jul","8:40 AM","Group","EDISON HS","70","ag_U1","","ag_U2","","","","18GX-070","","","ag Group","","","","","","","","","","",""
"19-Jul","9:30 AM","Group","EDISON HS","74","ag_T1","","ag_T2","","","","18GX-074","","","ag Group","","","","","","","","","","",""
"19-Jul","10:20 AM","Group","EDISON HS","78","ag_O1","","ag_O3","","","","18GX-078","","","ag Group","","","","","","","","","","",""
"19-Jul","11:10 AM","Group","EDISON HS","82","ag_P1","","ag_P3","","","","18GX-082","","","ag Group","","","","","","","","","","",""
"19-Jul","12:00 PM","Group","EDISON HS","86","ag_U1","","ag_U3","","","","18GX-086","","","ag Group","","","","","","","","","","",""
"19-Jul","12:50 PM","Group","EDISON HS","90","ag_T1","","ag_T3","","","","18GX-090","","","ag Group","","","","","","","","","","",""
"19-Jul","1:40 PM","Group","EDISON HS","94","ag_O1","","ag_O2","","","","18GX-094","","","ag Group","","","","","","","","","","",""
"19-Jul","2:30 PM","Group","EDISON HS","98","ag_P1","","ag_P2","","","","18GX-098","","","ag Group","","","","","","","","","","",""
"19-Jul","3:20 PM","Group","EDISON HS","102","ag_U2","","ag_U3","","","","18GX-102","","","ag Group","","","","","","","","","","",""
"19-Jul","4:10 PM","Group","EDISON HS","106","ag_T2","","ag_T3","","","","18GX-106","","","ag Group","","","","","","","","","","",""
"19-Jul","6:40 PM","Play-in","EDISON HS","110","3rd ag_O-","","1st ag_U-","","117","138","18GX-110","","","ag Play-in","","","","","","","","","","",""
"19-Jul","7:30 PM","Play-in","EDISON HS","114","3rd ag_P-","","1st ag_T-","","125","130","18GX-114","","","ag Play-in","","","","","","","","","","",""
"","","","SONORA HS","","S R M N","","","","","","bz","","","","","","","","","","","","","",""
"","","Type","Location","","White","S","Dark","S","","","GMID","","","","","","","","","","","","","",""
"19-Jul","7:00 AM","Group","SONORA HS","63","bz_S1","","bz_S2","","95","99","18GX-063","","","bz Group","","","","","","","","","","",""
"19-Jul","7:50 AM","Group","SONORA HS","67","bz_R1","","bz_R2","","99","95","18GX-067","","","bz Group","","","","","","","","","","",""
"19-Jul","8:40 AM","Group","SONORA HS","71","bz_M2","","bz_M3","","","","18GX-071","","","bz Group","","","","","","","","","","",""
"19-Jul","9:30 AM","Group","SONORA HS","75","bz_N2","","bz_N3","","","","18GX-075","","","bz Group","","","","","","","","","","",""
"19-Jul","12:00 PM","Group","SONORA HS","87","bz_M1","","bz_M3","","","","18GX-087","","","bz Group","","","","","","","","","","",""
"19-Jul","12:50 PM","Group","SONORA HS","91","bz_N1","","bz_N3","","","","18GX-091","","","bz Group","","","","","","","","","","",""
"19-Jul","1:40 PM","Group","SONORA HS","95","W63","","L67","","111","140","18GX-095","","","bz Group","","","","","","","","","","",""
"19-Jul","2:30 PM","Group","SONORA HS","99","W67","","L63","","115","132","18GX-099","","","bz Group","","","","","","","","","","",""
"19-Jul","3:20 PM","Group","SONORA HS","103","bz_M1","","bz_M2","","","","18GX-103","","","bz Group","","","","","","","","","","",""
"19-Jul","4:10 PM","Group","SONORA HS","107","bz_N1","","bz_N2","","","","18GX-107","","","bz Group","","","","","","","","","","",""
"19-Jul","6:40 PM","Play-in","SONORA HS","111","3rd au_M-","","W95","","131","136","18GX-111","","","bz Play-in","","","","","","","","","","",""
"19-Jul","7:30 PM","Play-in","SONORA HS","115","3rd au_N-","","W99","","123","128","18GX-115","","","bz Play-in","","","","","","","","","","",""
"","","","LA SERNA HS","","U T O P ","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","S","Dark","S","","","GMID","","","","","","","","","","","","","",""
"19-Jul","7:00 AM","Group","LA SERNA HS","64","bz_U1","","bz_U2","","96","100","18GX-064","","","bz Group","","","","","","","","","","",""
"19-Jul","7:50 AM","Group","LA SERNA HS","68","bz_T1","","bz_T2","","100","96","18GX-068","","","bz Group","","","","","","","","","","",""
"19-Jul","8:40 AM","Group","LA SERNA HS","72","bz_O2","","bz_O3","","","","18GX-072","","","bz Group","","","","","","","","","","",""
"19-Jul","9:30 AM","Group","LA SERNA HS","76","bz_P2","","bz_P3","","","","18GX-076","","","bz Group","","","","","","","","","","",""
"19-Jul","12:00 PM","Group","LA SERNA HS","88","bz_O1","","bz_O3","","","","18GX-088","","","bz Group","","","","","","","","","","",""
"19-Jul","12:50 PM","Group","LA SERNA HS","92","bz_P1","","bz_P3","","","","18GX-092","","","bz Group","","","","","","","","","","",""
"19-Jul","1:40 PM","Group","LA SERNA HS","96","W64","","L68","","112","136","18GX-096","","","bz Group","","","","","","","","","","",""
"19-Jul","2:30 PM","Group","LA SERNA HS","100","W68","","L64","","116","128","18GX-100","","","bz Group","","","","","","","","","","",""
"19-Jul","3:20 PM","Group","LA SERNA HS","104","bz_O1","","bz_O2","","","","18GX-104","","","bz Group","","","","","","","","","","",""
"19-Jul","4:10 PM","Group","LA SERNA HS","108","bz_P1","","bz_P2","","","","18GX-108","","","bz Group","","","","","","","","","","",""
"19-Jul","6:40 PM","Play-in","LA SERNA HS","112","3rd bz_O-","","W96","","119","140","18GX-112","","","bz Play-in","","","","","","","","","","",""
"19-Jul","7:30 PM","Play-in","LA SERNA HS","116","3rd bz_P-","","W100","","127","132","18GX-116","","","bz Play-in","","","","","","","","","","",""
"Mon, July 20","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","SERVITE HS","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","S","Dark","S","","","GMID","","","","","","","","","","","","","",""
"20-Jul","8:00 AM","5-8 v 9-12","SERVITE HS","117","2nd ag_P-","","W110","","141","149","18GX-117","","","ag 5-8 v 9-12","","","","","","","","","","",""
"20-Jul","9:00 AM","5-8 v 9-12","SERVITE HS","121","2nd ag_M-","","W113","","141","149","18GX-121","","","ag 5-8 v 9-12","","","","","","","","","","",""
"20-Jul","10:00 AM","5-8 v 9-12","SERVITE HS","125","2nd ag_O-","","W114","","145","153","18GX-125","","","ag 5-8 v 9-12","","","","","","","","","","",""
"20-Jul","11:00 AM","5-8 v 9-12","SERVITE HS","129","2nd ag_N-","","W109","","145","153","18GX-129","","","ag 5-8 v 9-12","","","","","","","","","","",""
"20-Jul","12:00 PM","1-2 v 3-4","SERVITE HS","133","1st ag_N-","","1st ag_O-","","174","157","18GX-133","","","ag 1-2 v 3-4","","","","","","","","","","",""
"20-Jul","1:00 PM","1-2 v 3-4","SERVITE HS","137","1st ag_M-","","1st ag_P-","","173","161","18GX-137","","","ag 1-2 v 3-4","","","","","","","","","","",""
"20-Jul","2:00 PM","5-6 v 7-8","SERVITE HS","141","W117","","W121","","157","185","18GX-141","","","ag 5-6 v 7-8","","","","","","","","","","",""
"20-Jul","3:00 PM","5-6 v 7-8","SERVITE HS","145","W125","","W129","","161","185","18GX-145","","","ag 5-6 v 7-8","","","","","","","","","","",""
"20-Jul","4:00 PM","9-12 semi","SERVITE HS","149","L121","","L117","","182","181","18GX-149","","","ag 9-12 semi","","","","","","","","","","",""
"20-Jul","5:00 PM","9-12 semi","SERVITE HS","153","L129","","L125","","182","181","18GX-153","","","ag 9-12 semi","","","","","","","","","","",""
"20-Jul","6:00 PM","play to semi","SERVITE HS","157","L133","","W141","","173","186","18GX-157","","","ag play to semi","","","","","","","","","","",""
"20-Jul","7:00 PM","play to semi","SERVITE HS","161","L137","","W145","","174","186","18GX-161","","","ag play to semi","","","","","","","","","","",""
"","","","FULLERTON HS","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","S","Dark","S","","","GMID","","","","","","","","","","","","","",""
"20-Jul","8:00 AM","21-24 RR","FULLERTON HS","118","3rd ag_U-","","3rd ag_R-","","","","18GX-118","","","ag 21-24 RR","","","","","","","","","","",""
"20-Jul","9:00 AM","21-24 RR","FULLERTON HS","122","3rd ag_T-","","3rd ag_S-","","","","18GX-122","","","ag 21-24 RR","","","","","","","","","","",""
"20-Jul","10:00 AM","13-20 qtr","FULLERTON HS","126","L113","","2nd ag_U-","","150","154","18GX-126","","","ag 13-20 qtr","","","","","","","","","","",""
"20-Jul","11:00 AM","13-20 qtr","FULLERTON HS","130","L114","","2nd ag_S-","","150","154","18GX-130","","","ag 13-20 qtr","","","","","","","","","","",""
"20-Jul","12:00 PM","13-20 qtr","FULLERTON HS","134","L109","","2nd ag_T-","","158","162","18GX-134","","","ag 13-20 qtr","","","","","","","","","","",""
"20-Jul","1:00 PM","13-20 qtr","FULLERTON HS","138","L110","","2nd ag_R-","","158","162","18GX-138","","","ag 13-20 qtr","","","","","","","","","","",""
"20-Jul","2:00 PM","21-24 RR","FULLERTON HS","142","3rd ag_U-","","3rd ag_S-","","","","18GX-142","","","ag 21-24 RR","","","","","","","","","","",""
"20-Jul","3:00 PM","21-24 RR","FULLERTON HS","146","3rd ag_T-","","3rd ag_R-","","","","18GX-146","","","ag 21-24 RR","","","","","","","","","","",""
"20-Jul","4:00 PM","13-16 semi","FULLERTON HS","150","W126","","W130","","178","177","18GX-150","","","ag 13-16 semi","","","","","","","","","","",""
"20-Jul","5:00 PM","17-20 semi","FULLERTON HS","154","L130","","L126","","170","169","18GX-154","","","ag 17-20 semi","","","","","","","","","","",""
"20-Jul","6:00 PM","13-16 semi","FULLERTON HS","158","W134","","W138","","178","177","18GX-158","","","ag 13-16 semi","","","","","","","","","","",""
"20-Jul","7:00 PM","17-20 semi","FULLERTON HS","162","L138","","L134","","170","169","18GX-162","","","ag 17-20 semi","","","","","","","","","","",""
"","","","SONORA HS","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","S","Dark","S","","","GMID","","","","","","","","","","","","","",""
"20-Jul","8:00 AM","5-8 v 9-12","SONORA HS","119","2nd bz_P-","","W112","","143","151","18GX-119","","","bz 5-8 v 9-12","","","","","","","","","","",""
"20-Jul","9:00 AM","5-8 v 9-12","SONORA HS","123","2nd bz_M-","","W115","","143","151","18GX-123","","","bz 5-8 v 9-12","","","","","","","","","","",""
"20-Jul","10:00 AM","5-8 v 9-12","SONORA HS","127","2nd bz_O-","","W116","","147","155","18GX-127","","","bz 5-8 v 9-12","","","","","","","","","","",""
"20-Jul","11:00 AM","5-8 v 9-12","SONORA HS","131","2nd bz_N-","","W111","","147","155","18GX-131","","","bz 5-8 v 9-12","","","","","","","","","","",""
"20-Jul","12:00 PM","1-2 v 3-4","SONORA HS","135","1st bz_N-","","1st bz_O-","","172","159","18GX-135","","","bz 1-2 v 3-4","","","","","","","","","","",""
"20-Jul","1:00 PM","1-2 v 3-4","SONORA HS","139","1st bz_M-","","1st bz_P-","","171","163","18GX-139","","","bz 1-2 v 3-4","","","","","","","","","","",""
"20-Jul","2:00 PM","5-6 v 7-8","SONORA HS","143","W119","","W123","","159","188","18GX-143","","","bz 5-6 v 7-8","","","","","","","","","","",""
"20-Jul","3:00 PM","5-6 v 7-8","SONORA HS","147","W127","","W131","","163","188","18GX-147","","","bz 5-6 v 7-8","","","","","","","","","","",""
"20-Jul","4:00 PM","9-12 semi","SONORA HS","151","L123","","L119","","183","184","18GX-151","","","bz 9-12 semi","","","","","","","","","","",""
"20-Jul","5:00 PM","9-12 semi","SONORA HS","155","L131","","L127","","183","184","18GX-155","","","bz 9-12 semi","","","","","","","","","","",""
"20-Jul","6:00 PM","play to semi","SONORA HS","159","L135","","W143","","171","187","18GX-159","","","bz play to semi","","","","","","","","","","",""
"20-Jul","7:00 PM","play to semi","SONORA HS","163","L139","","W147","","172","187","18GX-163","","","bz play to semi","","","","","","","","","","",""
"","","","OCEAN VIEW HS 1","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","S","Dark","S","","","GMID","","","","","","","","","","","","","",""
"20-Jul","8:00 AM","13-20 qtr","OCEAN VIEW HS 1","128","L115","","L100","","152","156","18GX-128","","","bz 13-20 qtr","","","","","","","","","","",""
"20-Jul","9:00 AM","13-20 qtr","OCEAN VIEW HS 1","132","L116","","L99","","152","156","18GX-132","","","bz 13-20 qtr","","","","","","","","","","",""
"20-Jul","10:00 AM","13-20 qtr","OCEAN VIEW HS 1","136","L111","","L96","","160","164","18GX-136","","","bz 13-20 qtr","","","","","","","","","","",""
"20-Jul","11:00 AM","13-20 qtr","OCEAN VIEW HS 1","140","L112","","L95","","160","164","18GX-140","","","bz 13-20 qtr","","","","","","","","","","",""
"","","","EDISON HS","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","S","Dark","S","","","GMID","","","","","","","","","","","","","",""
"20-Jul","2:00 PM","13-16 semi","EDISON HS","152","W128","","W132","","179","180","18GX-152","","","bz 13-16 semi","","","","","","","","","","",""
"20-Jul","3:00 PM","17-20 semi","EDISON HS","156","L132","","L128","","175","176","18GX-156","","","bz 17-20 semi","","","","","","","","","","",""
"20-Jul","4:00 PM","13-16 semi","EDISON HS","160","W136","","W140","","179","180","18GX-160","","","bz 13-16 semi","","","","","","","","","","",""
"20-Jul","5:00 PM","17-20 semi","EDISON HS","164","L140","","L136","","175","176","18GX-164","","","bz 17-20 semi","","","","","","","","","","",""
"Tue, July 21","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","SERVITE HS","","","","","","","","","","","","","","","","","","","","","",""
