Day 1,HOT! RESULTS,SUBMIT SCORES!,Quarter Lengths by Day,,,,,,,,,,
1-Aug,2:00 PM,9-12 semi,CARROL ISD 1,153,L125,,L121,,177,181,18G-153,,pt_9-12 semi
1-Aug,3:00 PM,9-12 semi,CARROL ISD 1,157,L133,,L129,,177,181,18G-157,,pt_9-12 semi
1-Aug,4:00 PM,play to semi,CARROL ISD 1,161,L137,,W145,,173,193,18G-161,,pt_play to semi
,,,,,,,,,,,,,
,,,CARROL ISD 2,,,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID,,
1-Aug,8:00 AM,Group,CARROL ISD 2,122,au_V1(3rd pt_R)-,,au_V3(L113),,,,18G-122,,au_Group
1-Aug,9:00 AM,Group,CARROL ISD 2,126,au_W1(3rd pt_S)-,,au_W3(L110),,,,18G-126,,au_Group
1-Aug,10:00 AM,5-8 v 9-12,CARROL ISD 2,133,2nd pt_N,,W109,,149,157,18G-133,,pt_5-8 v 9-12
1-Aug,11:00 AM,Group,CARROL ISD 2,130,au_V2(L114),,au_V3(L113),,,,18G-130,,au_Group
1-Aug,12:00 PM,Group,CARROL ISD 2,134,au_W2(L109),,au_W3(L110),,,,18G-134,,au_Group
1-Aug,1:00 PM,5-6 v 7-8,CARROL ISD 2,149,W129,,W133,,165,178,18G-149,,pt_5-6 v 7-8
1-Aug,2:00 PM,Group,CARROL ISD 2,138,au_V1(3rd pt_R)-,,au_V2(L114),,,,18G-138,,au_Group
1-Aug,3:00 PM,Group,CARROL ISD 2,142,au_W1(3rd pt_S)-,,au_W2(L109),,,,18G-142,,au_Group
1-Aug,4:00 PM,play to semi,CARROL ISD 2,165,L141,,W149,,174,193,18G-165,,pt_play to semi
,,,,,,,,,,,,,
Day 4,,,,,,,,,,,,,
2-Aug,,,,,,,,,,,,,
,,,CARROL ISD 1,,,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID,,
2-Aug,8:00 AM,5th,CARROL ISD 1,193,L161,,L165,,pt_5th,pt_6th,18G-193,,pt_5th
2-Aug,9:00 AM,7th,CARROL ISD 1,178,L145,,L149,,pt_7th,pt_8th,18G-178,,pt_7th
2-Aug,10:00 AM,3rd,CARROL ISD 1,191,2nd au_V,,2nd au_W,,au_3rd,au_4th,18G-191,,au_3rd
