Day 1,HOT! RESULTS,SUBMIT SCORES!,Quarter Lengths by Day,,,,,,,,,,,
31-Jul,9:10 AM,RR N1/N4,LEWISVILLE ISD WESTSIDE 3,30,au_N1(3rdB)-, ,au_N4(4thF)(L14),,,,12C-030,,au_RR N1/N4,
31-Jul,10:00 AM,RR N2/N3,LEWISVILLE ISD WESTSIDE 3,32,au_N2(3rdC)-, ,au_N3(L23),,,,12C-032,,au_RR N2/N3,
,,,,,,,,,,,,,,
31-Jul,11:40 AM,RR M3/M5,LEWISVILLE ISD WESTSIDE 3,34,au_M3(L24), ,au_M5(4thD)(L18),,,,12C-034,,au_RR M3/M5,
31-Jul,12:30 PM,RR M1/M4,LEWISVILLE ISD WESTSIDE 3,36,au_M1(3rdA)-, ,au_M4(4thE)(L10),,,,12C-036,,au_RR M1/M4,
31-Jul,1:20 PM,RR N1/N3,LEWISVILLE ISD WESTSIDE 3,38,au_N1(3rdB)-, ,au_N3(L23),,,,12C-038,,au_RR N1/N3,
31-Jul,2:10 PM,RR N2/N4,LEWISVILLE ISD WESTSIDE 3,40,au_N2(3rdC)-, ,au_N4(4thF)(L14),,,,12C-040,,au_RR N2/N4,
31-Jul,3:00 PM,RR M2/M5,LEWISVILLE ISD WESTSIDE 3,42,au_M2(L22), ,au_M5(4thD)(L18),,,,12C-042,,au_RR M2/M5,
,,,,,,,,,,,,,,
Day 3,,,,,,,,,,,,,,
"Sat, August 1",,,,,,,,,,,,,,
,,,DALLAS JESUIT,,,,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID,,,
1-Aug,7:30 AM,5-8 v 9-12,DALLAS JESUIT,49,2nd pt_P-,,3rd pt_O-,,59,64,12C-049,,pt_5-8 v 9-12,
1-Aug,8:20 AM,5-8 v 9-12,DALLAS JESUIT,51,2nd pt_M-,,3rd pt_N-,,59,64,12C-051,,pt_5-8 v 9-12,
1-Aug,9:10 AM,5-8 v 9-12,DALLAS JESUIT,53,2nd pt_O-,,3rd pt_P-,,63,65,12C-053,,pt_5-8 v 9-12,
1-Aug,10:00 AM,5-8 v 9-12,DALLAS JESUIT,55,2nd pt_N-,,3rd pt_M-,,63,65,12C-055,,pt_5-8 v 9-12,
1-Aug,10:50 AM,1-2 v 3-4,DALLAS JESUIT,57,1st pt_N-,,1st pt_O-,,77,67,12C-057,,pt_1-2 v 3-4,
1-Aug,11:40 AM,5-6 v 7-8,DALLAS JESUIT,59,W49,,W51,,67,79,12C-059,,pt_5-6 v 7-8,
1-Aug,12:30 PM,1-2 v 3-4,DALLAS JESUIT,61,1st pt_M-,,1st pt_P-,,75,70,12C-061,,pt_1-2 v 3-4,
1-Aug,1:20 PM,5-6 v 7-8,DALLAS JESUIT,63,W53,,W55,,69,79,12C-063,,pt_5-6 v 7-8,
1-Aug,2:10 PM,9-12 semi,DALLAS JESUIT,64,L51,,L49,,73,71,12C-064,,pt_9-12 semi,
1-Aug,3:00 PM,9-12 semi,DALLAS JESUIT,65,L55,,L53,,73,71,12C-065,,pt_9-12 semi,
1-Aug,3:50 PM,qtr final,DALLAS JESUIT,67,L57,,W59,,75,81,12C-067,,pt_qtr final,
1-Aug,4:40 PM,qtr final,DALLAS JESUIT,69,L61,,W63,,77,81,12C-069,,pt_qtr final,
,,,,,,,,,,,,,,
,,,LEWISVILLE ISD WESTSIDE 3,,,,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID,,,
1-Aug,7:30 AM,Group,LEWISVILLE ISD WESTSIDE 3,50,au_M5(4thD)(L18),,au_M4(4thE)(L10),,,,12C-050,,au_Group,
1-Aug,8:30 AM,Group,LEWISVILLE ISD WESTSIDE 3,52,au_M3(L24),,au_M2(L22),,,,12C-052,,au_Group,
1-Aug,9:30 AM,Group,LEWISVILLE ISD WESTSIDE 3,54,au_N1(3rdB)-,,au_N2(3rdC)-,,,,12C-054,,au_Group,
1-Aug,10:30 AM,Group,LEWISVILLE ISD WESTSIDE 3,56,au_N4(4thF)(L14),,au_N3(L23),,,,12C-056,,au_Group,
1-Aug,11:30 AM,Group,LEWISVILLE ISD WESTSIDE 3,58,au_M1(3rdA)-,,au_M5(4thD)(L18),,,,12C-058,,au_Group,
1-Aug,12:30 PM,Group,LEWISVILLE ISD WESTSIDE 3,60,au_M4(4thE)(L10),,au_M3(L24),,,,12C-060,,au_Group,
1-Aug,1:30 PM,Group,LEWISVILLE ISD WESTSIDE 3,62,au_M2(L22),,au_M1(3rdA)-,,,,12C-062,,au_Group,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1-Aug,4:30 PM,Play to semi,LEWISVILLE ISD WESTSIDE 3,66,2nd au_M-,,3rd au_N-,,72,76,12C-066,,au_Play to semi,
1-Aug,5:30 PM,Play to semi,LEWISVILLE ISD WESTSIDE 3,68,2nd au_N-,,3rd au_M-,,70,76,12C-068,,au_Play to semi,
,,,,,,,,,,,,,,
Day 4,,,,,,,,,,,,,,
"Sun, August 2",,,,,,,,,,,,,,
,,,LEWISVILLE ISD WESTSIDE 3,,,,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID,,,
2-Aug,7:30 AM,RR 7-9,LEWISVILLE ISD WESTSIDE 3,74,5th au_M-,,4th au_N-,,RR,RR,12C-074,,au_RR 7-9,
2-Aug,8:30 AM,5th,LEWISVILLE ISD WESTSIDE 3,81,L67,,L69,,pt_5th,pt_6th,12C-081,,pt_5th,
2-Aug,9:30 AM,7th,LEWISVILLE ISD WESTSIDE 3,79,L59,,L63,,pt_7th,pt_8th,12C-079,,pt_7th,
2-Aug,10:30 AM,9th,LEWISVILLE ISD WESTSIDE 3,73,W64,,W65,,pt_9th,pt_10th,12C-073,,pt_9th,
2-Aug,11:30 AM,5th,LEWISVILLE ISD WESTSIDE 3,76,L66,,L68,,au_5th,au_6th,12C-076,,au_5th,
2-Aug,12:30 PM,RR 7-9,LEWISVILLE ISD WESTSIDE 3,82,4th au_M-,,4th au_N-,,RR,RR,12C-082,,au_RR 7-9,
2-Aug,1:30 PM,11th,LEWISVILLE ISD WESTSIDE 3,71,L64,,L65,,pt_11th,pt_12th,12C-071,,pt_11th,
,,,,,,,,,,,,,,
,,,DALLAS JESUIT,,,,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID,,,
2-Aug,7:30 AM,semi,DALLAS JESUIT,70,1st au_M-,,W68,,80,78,12C-070,,au_semi,
2-Aug,8:30 AM,semi,DALLAS JESUIT,72,1st au_N-,,W66,,80,78,12C-072,,au_semi,
2-Aug,9:30 AM,semi,DALLAS JESUIT,75,W61,,W67,,84,83,12C-075,,pt_semi,
2-Aug,10:30 AM,semi,DALLAS JESUIT,77,W57,,W69,,84,83,12C-077,,pt_semi,
2-Aug,11:30 AM,1st,DALLAS JESUIT,80,W70,,W72,,au_1st,au_2nd,12C-080,,au_1st,
2-Aug,12:30 PM,3rd,DALLAS JESUIT,83,L75,,L77,,pt_3rd,pt_4th,12C-083,,pt_3rd,
2-Aug,1:30 PM,1st,DALLAS JESUIT,84,W75,,W77,,pt_1st,pt_2nd,12C-084,,pt_1st,
2-Aug,2:30 PM,3rd,DALLAS JESUIT,78,L70,,L72,,au_3rd,au_4th,12C-078,,au_3rd,
,,,,,,,,,,,,,,
pt_Place,,au_Place,,,,,,,,,,,,
1st,W84,1st,W80,,,,,,,,,,,
2nd,L84,2nd,L80,,,,,,,,,,,
3rd,W83,3rd,W78,,,,,,,,,,,
4th,L83,4th,L78,,,,,,,,,,,
5th,W81,5th,W76,,,,,,,,,,,
6th,L81,6th,L76,,,,,,,,,,,
7th,W79,7th,,,,,,,,,,,,
8th,L79,8th,,,,,,,,,,,,
9th,W73,9th,,,,,,,,,,,,
10th,L73,,,,,,,,,,,,,
11th,W71,,,,KAHUNA EVENTS,,,,,,,,,
12th,L71,,,,BRACKET BREAKER PROGRAM,,,,,,,,,
,,,,,CLICK HERE,,,,,,,,,
,,,,,,,<---points | scores--->,,,,,,,
,,,,,,,Gold,,,,,,,
total points,,,,,,,au_M,,,,,,,
0,,,,,,,au_M1(3rdA)-,,,,,,,
0,,,,,,,au_M2(L22),,,,,,,
0,,,,,,,au_M3(L24),,,,,,,
0,,,,,,,au_M4(4thE)(L10),,,,,,,
0,,,,,,,au_M5(4thD)(L18),,,,,,,
,,,,,,,,,,,,,,
,,,,,Gold,,,,,,,,,
,,,,,au_N,,,,,,,,,
0,,,,,au_N1(3rdB)-,,,,,,,,,
0,,,,,au_N2(3rdC)-,,,,,,,,,
0,,,,,au_N3(L23),,,,,,,,,
0,,,,,au_N4(4thF)(L14),,,,,,,,,
