Day 1,HOT! RESULTS,SUBMIT SCORES!,Quarter Lengths by Day,,,,,,,,
"Thu, July 30",,,6-6-7-7,,,,,,,,
,,,Seeds,,,,,,,,
BRACKETS,,SEEDS not! Snake no QF rematch,,,,,,,,,
A,B,A,B,,KAHUNA EVENTS,,,,,,
A1-WEST SUBURBAN,B1-TEAM ORLANDO,1,2,,BRACKET BREAKER PROGRAM,,,,,,
A2-SLAP,B2-HOUSTON HYDRA,3,4,,CLICK HERE,,,,,,
A3-NEW HAVEN HYDRAS,B3-SEA MONSTERS PREMIER,5,6,,,,,,,,
A4-KRAKEN SATX,B4-ALAMO,7,8,,,,,,,,
A5-DISTRICT BLOSSOMS,B5-VIPER PIGEON PINK,9,10,,,,,,,,
A6-VIPER PIGEON RED,B6-PAC,11,12,,,,,,,,16G
,,,,,,,,,,,
,,,,,,,,,,,
Day 1,,,SMU 2,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
2-Aug,8:00 AM,5th,CARROL ISD 2,46,W#39,,W#40,,5th,6th,16G-046
2-Aug,9:00 AM,7th,CARROL ISD 2,45,L#40,,L#39,,7th,8th,16G-045
,,,,,,,,,,,
2-Aug,11:00 AM,9th,CARROL ISD 2,44,9th(afterRR),,10th(afterRR),,9th,10th,16G-044
2-Aug,12:00 PM,11th,CARROL ISD 2,43,11th(afterRR),,12th(afterRR)-,,11th,12th,16G-043
,,,,,,,,,,,
,,,GARLAND ISD 2,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
2-Aug,10:30 AM,3rd,GARLAND ISD 2,47,L#42,,L#41,,3rd,4th,16G-047
,,,,,,,,,,,
,,,GARLAND ISD 1,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
2-Aug,10:30 AM,1st,GARLAND ISD 1,48,W#41,,W#42,,1st,2nd,16G-048
,,,,,,,,,,,
pt_Place,,,,,,,,,,,
1st,,,,,,,,,,,
2nd,,,,,,,,,,,
3rd,,,,,,,,,,,
4th,,,,,,,,,,,
5th,,,,,,,,,,,
6th,,,,,,,,,,,
7th,,,,,,,,,,,
8th,,,,,,,,,,,
9th,,KAHUNA EVENTS,,,,,,,,,
10th,,BRACKET BREAKER PROGRAM,,,,,,,,,
11th,,CLICK HERE,,,,,,,,,
12th,,,,,,,,,,,
