Day 1,HOT! RESULTS,SUBMIT SCORES!,Quarter Lengths by Day,,,,,,,,,,,
1-Aug,7:30 PM,11-13 RR,LEWISVILLE ISD WESTSIDE 1,76A,pt_R1(L70),,pt_R3(L52),,,,16B-76A,,,pt_11-13 RR
,,,,,,,,,,,,,,
,,,LEWISVILLE ISD WESTSIDE 2,,,,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID,,,
1-Aug,7:30 AM,5-8 v 9-12,LEWISVILLE ISD WESTSIDE 2,53,2nd au_P-,,3rd au_O-,,63,69,16B-053,,,au_5-8 v 9-12
1-Aug,8:30 AM,5-8 v 9-12,LEWISVILLE ISD WESTSIDE 2,55,2nd au_M-,,3rd au_N-,,63,69,16B-055,,,au_5-8 v 9-12
1-Aug,9:30 AM,5-8 v 9-12,LEWISVILLE ISD WESTSIDE 2,57,2nd au_O-,,3rd au_P-,,67,71,16B-057,,,au_5-8 v 9-12
1-Aug,10:30 AM,5-8 v 9-12,LEWISVILLE ISD WESTSIDE 2,59,2nd au_N-,,3rd au_M-,,67,71,16B-059,,,au_5-8 v 9-12
1-Aug,11:30 AM,1-2 v 3-4,LEWISVILLE ISD WESTSIDE 2,61,1st au_N-,,1st au_O-,,80,73,16B-061,,,au_1-2 v 3-4
1-Aug,12:30 PM,5-6 v 7-8,LEWISVILLE ISD WESTSIDE 2,63,W53,,W55,,73,85,16B-063,,,au_5-6 v 7-8
1-Aug,1:30 PM,1-2 v 3-4,LEWISVILLE ISD WESTSIDE 2,65,1st au_M-,,1st au_P-,,79,75,16B-065,,,au_1-2 v 3-4
1-Aug,2:30 PM,5-6 v 7-8,LEWISVILLE ISD WESTSIDE 2,67,W57,,W59,,75,85,16B-067,,,au_5-6 v 7-8
1-Aug,3:30 PM,9-12 semi,LEWISVILLE ISD WESTSIDE 2,69,L55,,L53,,82,81,16B-069,,,au_9-12 semi
1-Aug,4:30 PM,9-12 semi,LEWISVILLE ISD WESTSIDE 2,71,L59,,L57,,82,81,16B-071,,,au_9-12 semi
1-Aug,5:30 PM,qtr final,LEWISVILLE ISD WESTSIDE 2,73,L61,,W63,,79,86,16B-073,,,au_qtr final
1-Aug,6:30 PM,qtr final,LEWISVILLE ISD WESTSIDE 2,75,L65,,W67,,80,86,16B-075,,,au_qtr final
,,,,,,,,,,,,,,
Day 4,,,,,,,,,,,,,,
"Sun, August 2",,,,,,,,,,,,,,
,,,LEWISVILLE ISD WESTSIDE 1,,,,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID,,,
2-Aug,7:30 AM,semi,LEWISVILLE ISD WESTSIDE 1,79,W65,,W73,,92,91,16B-079,,,au_semi
2-Aug,8:30 AM,semi,LEWISVILLE ISD WESTSIDE 1,80,W61,,W75,,92,91,16B-080,,,au_semi
2-Aug,9:30 AM,5th,LEWISVILLE ISD WESTSIDE 1,86,L73,,L75,,au_5th,au_6th,16B-086,,,au_5th
2-Aug,10:30 AM,7th,LEWISVILLE ISD WESTSIDE 1,85,L63,,L67,,au_7th,au_8th,16B-085,,,au_7th
2-Aug,11:30 AM,3rd,LEWISVILLE ISD WESTSIDE 1,91,L79,,L80,,au_3rd,au_4th,16B-091,,,au_3rd
2-Aug,12:30 PM,1st,LEWISVILLE ISD WESTSIDE 1,92,W79,,W80,,au_1st,au_2nd,16B-092,,,au_1st
,,,,,,,,,,,,,,
,,,LEWISVILLE ISD WESTSIDE 2,,,,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID,,,
2-Aug,7:30 AM,11th,LEWISVILLE ISD WESTSIDE 2,81,L69,,L71,,au_11th,au_12th,16B-081,,,au_11th
2-Aug,8:30 AM,9th,LEWISVILLE ISD WESTSIDE 2,82,W69,,W71,,au_9th,au_10th,16B-082,,,au_9th
2-Aug,9:30 AM,11-13 RR,LEWISVILLE ISD WESTSIDE 2,80A,pt_R3(L52),,pt_R2(L72),,,,16B-80A,,,pt_11-13 RR
